case,max_distance,tail_mean_distance,tail_std_distance,final_distance
ideal_4d_hpc_matlab,3.222052,0.051755,0.000140,0.051863
matlab_leader_original_delay,3.178044,0.680348,0.138299,0.533177
matlab_leader_forward_prediction_only,3.176321,0.604933,0.079340,0.647419
matlab_leader_artstein_prediction,3.176194,0.259515,0.027051,0.281143
circle_original_delay_clean,1.601634,0.602789,0.014411,0.605325
circle_forward_prediction_only_clean,1.586662,0.283212,0.000014,0.283226
circle_artstein_prediction_clean,1.586662,0.079195,0.000000,0.079195
circle_original_delay_noise,1.610287,0.594400,0.059597,0.665172
circle_forward_prediction_only_noise,1.586662,0.306377,0.006465,0.310296
circle_artstein_prediction_noise,1.586662,0.168539,0.008495,0.168095
