case,max_distance,tail_mean_distance,tail_std_distance,final_distance
ideal_4d_hpc_matlab,3.192967,0.010785,0.000026,0.010805
matlab_leader_original_delay,3.593972,1.489441,0.318969,1.623616
matlab_leader_artstein_prediction,3.188282,0.432689,0.074398,0.389942
matlab_leader_pseudo_velocity_feedback,3.177658,0.240095,0.000590,0.240736
circle_original_delay_clean,2.813901,0.357950,0.075753,0.363536
circle_artstein_prediction_clean,1.698874,0.030210,0.000378,0.030588
circle_pseudo_velocity_feedback_clean,1.588170,0.048517,0.000000,0.048517
circle_original_delay_noise,2.849221,0.553873,0.189320,0.328424
circle_artstein_prediction_noise,1.709525,0.042279,0.005097,0.040616
circle_pseudo_velocity_feedback_noise,1.588197,0.083582,0.003781,0.086064
