case,max_distance,tail_mean_distance,tail_std_distance,final_distance
ideal_4d_hpc_matlab,3.222052,0.051755,0.000140,0.051863
matlab_leader_original_delay,3.178044,0.680348,0.138299,0.533177
matlab_leader_forward_prediction_only,3.176311,0.502822,0.085304,0.435900
matlab_leader_artstein_td_only,3.177343,0.309929,0.138377,0.369351
matlab_leader_artstein_prediction,3.176184,0.285211,0.097963,0.203271
circle_original_delay_clean,1.601634,0.602789,0.014411,0.605325
circle_forward_prediction_only_clean,1.586662,0.197070,0.000002,0.197068
circle_artstein_td_only_clean,1.586662,0.283296,0.005715,0.281971
circle_artstein_prediction_clean,1.586662,0.068332,0.000000,0.068332
circle_original_delay_noise,1.610287,0.594400,0.059597,0.665172
circle_forward_prediction_only_noise,1.586662,0.233692,0.009289,0.241933
circle_artstein_td_only_noise,1.586662,0.218580,0.084647,0.056652
circle_artstein_prediction_noise,1.586662,0.140306,0.005583,0.134811
