case,max_distance,tail_mean_distance,tail_std_distance,final_distance
ideal_4d_hpc_matlab,3.222052,0.051755,0.000140,0.051863
matlab_leader_original_delay,3.178044,0.680348,0.138299,0.533177
matlab_leader_forward_prediction_only,3.176311,0.502822,0.085304,0.435900
matlab_leader_artstein_td_only,3.177343,0.309929,0.138377,0.369351
matlab_leader_artstein_prediction,3.176184,0.285211,0.097963,0.203271
circle_original_delay_clean,1.521551,0.059031,0.000753,0.059003
circle_forward_prediction_only_clean,1.521551,0.101580,0.000000,0.101580
circle_artstein_td_only_clean,1.521500,0.050749,0.000007,0.050748
circle_artstein_prediction_clean,1.521500,0.035961,0.000000,0.035961
circle_original_delay_noise,1.521500,0.065965,0.014546,0.066331
circle_forward_prediction_only_noise,1.521549,0.102793,0.004327,0.102135
circle_artstein_td_only_noise,1.521500,0.055351,0.008677,0.053602
circle_artstein_prediction_noise,1.521500,0.041458,0.006381,0.043165
