case,max_distance,tail_mean_distance,tail_std_distance,final_distance
ideal_4d_hpc_matlab,3.222052,0.051755,0.000140,0.051863
matlab_leader_original_delay,3.178044,0.680348,0.138299,0.533177
matlab_leader_forward_prediction_only_tau020,3.176298,0.291200,0.100340,0.165476
matlab_leader_artstein_prediction_tau043,3.176184,0.285211,0.097963,0.203271
circle_original_delay_clean,1.601634,0.602789,0.014411,0.605325
circle_forward_prediction_only_tau020_clean,1.586662,0.529271,0.000019,0.529269
circle_artstein_prediction_tau043_clean,1.586662,0.068332,0.000000,0.068332
circle_original_delay_noise,1.610287,0.594400,0.059597,0.665172
circle_forward_prediction_only_tau020_noise,1.586662,0.525970,0.016246,0.537648
circle_artstein_prediction_tau043_noise,1.586662,0.140306,0.005583,0.134811
