t,x,y,h,correction_norm,distance_obs1,physical_margin_obs1,filter_margin_obs1,distance_obs2,physical_margin_obs2,filter_margin_obs2
5.000000000000000278e-02,4.200000000000000178e+00,-4.000000000000000222e-01,3.331448326648704494e+01,0.000000000000000000e+00,5.802971933973750218e+00,5.352971933973750041e+00,5.202971933973750573e+00,7.332434367630461303e+00,6.732434367630461658e+00,6.582434367630461303e+00
1.000000000000000056e-01,4.200000000000000178e+00,-4.000000000000000222e-01,3.214968853528962711e+01,0.000000000000000000e+00,5.802971933973750218e+00,5.352971933973750041e+00,5.202971933973750573e+00,7.332434367630461303e+00,6.732434367630461658e+00,6.582434367630461303e+00
1.500000000000000222e-01,4.200000000000000178e+00,-4.000000000000000222e-01,3.144754311117868895e+01,0.000000000000000000e+00,5.802971933973750218e+00,5.352971933973750041e+00,5.202971933973750573e+00,7.332434367630461303e+00,6.732434367630461658e+00,6.582434367630461303e+00
2.000000000000000111e-01,4.200000000000000178e+00,-4.000000000000000222e-01,3.091019249305315952e+01,0.000000000000000000e+00,5.802971933973750218e+00,5.352971933973750041e+00,5.202971933973750573e+00,7.332434367630461303e+00,6.732434367630461658e+00,6.582434367630461303e+00
2.500000000000000000e-01,4.199339683976313964e+00,-3.996763413114708952e-01,3.042643976306558784e+01,8.598469388871660861e-05,5.802239020746704945e+00,5.352239020746704767e+00,5.202239020746705300e+00,7.331709631651829540e+00,6.731709631651829895e+00,6.581709631651829540e+00
2.999999999999999889e-01,4.195913984737146940e+00,-3.979674957957355375e-01,2.994866818706556089e+01,4.627822485127082029e-04,5.798421483533141796e+00,5.348421483533141618e+00,5.198421483533142151e+00,7.327941393116776503e+00,6.727941393116776858e+00,6.577941393116776503e+00
3.499999999999999778e-01,4.189019010554229538e+00,-3.944101933376646385e-01,2.946610302884132082e+01,9.671670097587998930e-04,5.790677522424010348e+00,5.340677522424010171e+00,5.190677522424010704e+00,7.320324012332956265e+00,6.720324012332956620e+00,6.570324012332956265e+00
3.999999999999999667e-01,4.178587366926872271e+00,-3.888451693046569568e-01,2.897890531155323401e+01,1.513981041893516614e-03,5.778867721724576079e+00,5.328867721724575901e+00,5.178867721724576434e+00,7.308748539658920684e+00,6.708748539658921040e+00,6.558748539658920684e+00
4.499999999999999556e-01,4.164785232016575911e+00,-3.812454140236089528e-01,2.848823559383743742e+01,2.065657337966154885e-03,5.763120982948244375e+00,5.313120982948244198e+00,5.163120982948244730e+00,7.293367827547841742e+00,6.693367827547842097e+00,6.543367827547841742e+00
4.999999999999999445e-01,4.147860576116817022e+00,-3.716427293571047952e-01,2.799569503903553525e+01,2.604261238553404103e-03,5.743666541984253193e+00,5.293666541984253016e+00,5.143666541984253548e+00,7.274430259264383913e+00,6.674430259264384269e+00,6.524430259264383913e+00
5.499999999999999334e-01,4.128088129565751885e+00,-3.600964252466732352e-01,2.750300286465363087e+01,3.119904090198971722e-03,5.720770685592662552e+00,5.270770685592662375e+00,5.120770685592662907e+00,7.252218152689390962e+00,6.652218152689391317e+00,6.502218152689390962e+00
5.999999999999999778e-01,4.105747066228329523e+00,-3.466794430952805928e-01,2.701182534546312297e+01,3.606568053083002937e-03,5.694710505135293310e+00,5.244710505135293133e+00,5.094710505135293666e+00,7.227022449012009631e+00,6.627022449012009986e+00,6.477022449012009631e+00
6.500000000000000222e-01,4.081110942431718236e+00,-3.314723092046237274e-01,2.652370054798964816e+01,4.060403091638561945e-03,5.665762194967558507e+00,5.215762194967558329e+00,5.065762194967558862e+00,7.199131353143089385e+00,6.599131353143089740e+00,6.449131353143089385e+00
7.000000000000000666e-01,4.054443152378724768e+00,-3.145603197167911591e-01,2.604001355362487757e+01,4.478920586855056687e-03,5.634195748242242452e+00,5.184195748242242274e+00,5.034195748242242807e+00,7.168825164871137190e+00,6.568825164871137545e+00,6.418825164871137190e+00
7.500000000000001110e-01,4.025994895034007648e+00,-2.960320443060720508e-01,2.556199265162616285e+01,4.860591101191658395e-03,5.600272486009203021e+00,5.150272486009202844e+00,5.000272486009203377e+00,7.136373879234503725e+00,6.536373879234504081e+00,6.386373879234503725e+00
8.000000000000001554e-01,3.996004283785168365e+00,-2.759783753977314014e-01,2.509071439377564872e+01,5.204625345087183705e-03,5.564243845207055728e+00,5.114243845207055550e+00,4.964243845207056083e+00,7.102036025922295437e+00,6.502036025922295792e+00,6.352036025922295437e+00
8.500000000000001998e-01,3.964695997198015132e+00,-2.544918059905914021e-01,2.462711235804714249e+01,5.510836923221312626e-03,5.526350744276643745e+00,5.076350744276643567e+00,4.926350744276644100e+00,7.066058082342779656e+00,6.466058082342780011e+00,6.316058082342779656e+00
9.000000000000002442e-01,3.932281207620195840e+00,-2.316658092204844366e-01,2.417198729906012034e+01,5.779542332425885789e-03,5.486823233738616246e+00,5.036823233738616068e+00,4.886823233738616601e+00,7.028674173517318380e+00,6.428674173517318735e+00,6.278674173517318380e+00
9.500000000000002887e-01,3.898957668471899840e+00,-2.075942721475156905e-01,2.372601761222891525e+01,6.019012338837012935e-03,5.445880303992042926e+00,4.995880303992042748e+00,4.845880303992043281e+00,6.990105932704963720e+00,6.390105932704964076e+00,6.240105932704963720e+00
1.000000000000000222e+00,3.864909903897287169e+00,-1.823709678704528436e-01,2.328722408694750357e+01,6.256449461398123565e-03,5.403729793205941156e+00,4.953729793205940979e+00,4.803729793205941512e+00,6.950562465935526291e+00,6.350562465935526646e+00,6.200562465935526291e+00
