tau,delay_model,delay_actual,initial_clearance,min_h,min_distance,min_psi2,max_command_norm,infeasible_steps,braking_steps
0.3,0.0,0.0,0.4,0.0013384833684311204,0.8008361151749035,-1.2212453270876722e-15,0.3825,0,0
0.3,0.0,0.02,0.4,0.0008322404688878571,0.8005199813052064,-1.2065001775418693e-15,0.3825,0,0
0.3,0.0,0.05,0.4,0.00012245497376373038,0.8000765306980101,-1.1379786002407855e-15,0.3825,0,0
0.3,0.0,0.0,0.8,0.0035021341604136724,0.8021858476440568,-1.6653345369377348e-15,0.701875,0,0
0.3,0.0,0.02,0.8,0.0022358584686950067,0.8013961931957845,-1.27675647831893e-15,0.701875,0,0
0.3,0.0,0.05,0.8,0.0004161785203947721,0.8002600693027204,-1.7763568394002505e-15,0.701875,0,0
0.3,0.0,0.0,1.2,0.007276853387874316,0.8045351784651026,-1.7763568394002505e-15,0.8,0,0
0.3,0.0,0.02,1.2,0.004942054245828054,0.8030828439493825,-1.27675647831893e-15,0.8,0,0
0.3,0.0,0.05,1.2,0.0014588768164777166,0.8009112789919229,-1.1102230246251565e-15,0.8,0,0
0.3,0.22,0.22,0.4,0.002162217031281277,0.8013502461666069,-1.1102230246251565e-15,0.3774114289670839,0,0
0.3,0.22,0.24,0.4,0.0014737548073119333,0.8009205671022015,-1.1102230246251565e-15,0.3774114289670839,0,0
0.3,0.22,0.27,0.4,0.0004792996172959807,0.8002995061958342,-1.4986384529180885e-15,0.3774114289670839,0,0
0.3,0.22,0.22,0.8,0.005553849627715213,0.8034636579383758,-1.1102230246251565e-15,0.699114556870817,0,0
0.3,0.22,0.24,0.8,0.0038562524264255105,0.8024065381254228,-1.7763568394002505e-15,0.699114556870817,0,0
0.3,0.22,0.27,0.8,0.0013483348122382832,0.8008422658752711,-1.1102230246251565e-15,0.699114556870817,0,0
0.3,0.22,0.22,1.2,0.011364352205717188,0.8070714666036195,-8.881784197001252e-16,0.8,0,0
0.3,0.22,0.24,1.2,0.008307042863939462,0.8051751628459112,-1.7763568394002505e-15,0.8,0,0
0.3,0.22,0.27,1.2,0.0036343137119521085,0.8022682305263946,-1.7763568394002505e-15,0.8,0,0
0.43,0.0,0.0,0.4,0.0016436893535635155,0.8010266470933184,-8.881784197001252e-16,0.5049166666666669,0,0
0.43,0.0,0.02,0.4,0.0013683226019270966,0.8008547450080615,-8.881784197001252e-16,0.5049166666666669,0,0
0.43,0.0,0.05,0.4,0.0010026361636117365,0.8006264023648058,-8.881784197001252e-16,0.5062173027077086,0,0
0.43,0.0,0.0,0.8,0.0043611609317848465,0.802721097848926,-6.661338147750939e-16,0.8,0,0
0.43,0.0,0.02,0.8,0.0036561562744998888,0.8022818434157039,-6.661338147750939e-16,0.8,0,0
0.43,0.0,0.05,0.8,0.002690859185825345,0.8016800229429604,-8.881784197001252e-16,0.8,0,0
0.43,0.0,0.0,1.2,0.010410637187926342,0.8064804009942997,-8.881784197001252e-16,0.8,0,0
0.43,0.0,0.02,1.2,0.009012858960291026,0.8056133433355552,-5.551115123125783e-16,0.8,0,0
