vx_leader,vy_leader,omega_leader,tau_x,tau_y,tau_omega,rank,sigma_min,sigma_max,condition_number
-0.5,-0.5,-0.5,0.25,0.25,0.25,6,0.9552205172258957,4383.960091995494,4589.474380980817
-0.5,-0.5,-0.5,0.43,0.43,0.43,6,0.8863510870477032,195.42010602295656,220.47708732875859
-0.5,-0.5,-0.5,0.55,0.55,0.55,6,0.8348041171550048,51.61940359370107,61.83415071025157
-0.5,-0.5,0.0,0.25,0.25,0.25,6,0.9464704724435279,4385.218334481894,4633.233114140856
-0.5,-0.5,0.0,0.43,0.43,0.43,6,0.871286669583406,195.91089829205708,224.85239948148094
-0.5,-0.5,0.0,0.55,0.55,0.55,6,0.817913109944507,51.9410877897096,63.5044079355002
-0.5,-0.5,0.5,0.25,0.25,0.25,6,0.9552205172255445,4383.960091995497,4589.474380982509
-0.5,-0.5,0.5,0.43,0.43,0.43,6,0.8863510870477096,195.4201060229565,220.47708732875694
-0.5,-0.5,0.5,0.55,0.55,0.55,6,0.8348041171550032,51.619403593701065,61.83415071025168
-0.5,0.0,-0.5,0.25,0.25,0.25,6,0.9592423979442013,4376.398579481845,4562.348983803381
-0.5,0.0,-0.5,0.43,0.43,0.43,6,0.894732189022646,193.81949319838102,216.6229130641855
-0.5,0.0,-0.5,0.55,0.55,0.55,6,0.8452281861634923,50.816606263470234,60.12176012980333
-0.5,0.0,0.0,0.25,0.25,0.25,6,0.9480908686347084,4377.5556666045995,4617.23217829159
-0.5,0.0,0.0,0.43,0.43,0.43,6,0.8764872515332791,194.2484775154264,221.62156628703804
-0.5,0.0,0.0,0.55,0.55,0.55,6,0.8251972195322733,51.09073728410046,61.91336576856015
-0.5,0.0,0.5,0.25,0.25,0.25,6,0.9592423979442013,4376.398579481845,4562.348983803381
-0.5,0.0,0.5,0.43,0.43,0.43,6,0.894732189022646,193.81949319838102,216.6229130641855
-0.5,0.0,0.5,0.55,0.55,0.55,6,0.8452281861634923,50.816606263470234,60.12176012980333
-0.5,0.5,-0.5,0.25,0.25,0.25,6,0.9552205172255445,4383.960091995497,4589.474380982509
-0.5,0.5,-0.5,0.43,0.43,0.43,6,0.8863510870477096,195.4201060229565,220.47708732875694
-0.5,0.5,-0.5,0.55,0.55,0.55,6,0.8348041171550032,51.619403593701065,61.83415071025168
-0.5,0.5,0.0,0.25,0.25,0.25,6,0.9464704724435279,4385.218334481894,4633.233114140856
-0.5,0.5,0.0,0.43,0.43,0.43,6,0.871286669583406,195.91089829205708,224.85239948148094
-0.5,0.5,0.0,0.55,0.55,0.55,6,0.817913109944507,51.9410877897096,63.5044079355002
-0.5,0.5,0.5,0.25,0.25,0.25,6,0.9552205172258957,4383.960091995494,4589.474380980817
-0.5,0.5,0.5,0.43,0.43,0.43,6,0.8863510870477032,195.42010602295656,220.47708732875859
-0.5,0.5,0.5,0.55,0.55,0.55,6,0.8348041171550048,51.61940359370107,61.83415071025157
0.0,-0.5,-0.5,0.25,0.25,0.25,6,0.9592423979443498,4376.3985794818445,4562.3489838026735
0.0,-0.5,-0.5,0.43,0.43,0.43,6,0.8947321890226392,193.81949319838088,216.62291306418697
0.0,-0.5,-0.5,0.55,0.55,0.55,6,0.845228186163496,50.81660626347024,60.121760129803064
0.0,-0.5,0.0,0.25,0.25,0.25,6,0.9480908686347315,4377.555666604601,4617.232178291479
0.0,-0.5,0.0,0.43,0.43,0.43,6,0.8764872515332691,194.24847751542643,221.6215662870406
0.0,-0.5,0.0,0.55,0.55,0.55,6,0.8251972195322744,51.09073728410049,61.9133657685601
0.0,-0.5,0.5,0.25,0.25,0.25,6,0.9592423979443498,4376.3985794818445,4562.3489838026735
0.0,-0.5,0.5,0.43,0.43,0.43,6,0.8947321890226392,193.81949319838088,216.62291306418697
0.0,-0.5,0.5,0.55,0.55,0.55,6,0.845228186163496,50.81660626347024,60.121760129803064
0.0,0.0,-0.5,0.25,0.25,0.25,6,0.9701421159790902,4360.524631145236,4494.727689194786
0.0,0.0,-0.5,0.43,0.43,0.43,6,0.9186115475400446,190.72384154141523,207.62186372700816
0.0,0.0,-0.5,0.55,0.55,0.55,6,0.875758720224912,49.33061904427243,56.32900695707987
0.0,0.0,0.0,0.25,0.25,0.25,6,0.9701421159788622,4360.524631145235,4494.727689195841
0.0,0.0,0.0,0.43,0.43,0.43,6,0.9186115475400446,190.72384154141528,207.62186372700822
