time_s,leader_x_m,leader_y_m,leader_vx_ms,leader_vy_ms,leader_v_ms,follower_x_m,follower_y_m,follower_vx_ms,follower_vy_ms,follower_v_ms,distance_m
0.0076,2.0814,-0.1482,0.0617,0.2423,0.2500,0.9377,-0.1696,0.2667,0.0123,0.2670,1.1439
0.0755,2.0860,-0.1287,0.0536,0.2442,0.2500,0.9494,-0.1625,0.2747,0.0216,0.2756,1.1371
0.1103,2.0881,-0.1190,0.0496,0.2450,0.2500,0.9612,-0.1549,0.2725,0.0349,0.2747,1.1275
0.1744,2.0909,-0.1042,0.0434,0.2462,0.2500,0.9730,-0.1471,0.2789,0.0403,0.2818,1.1187
0.2078,2.0917,-0.0993,0.0414,0.2466,0.2500,0.9846,-0.1395,0.2771,0.0477,0.2812,1.1078
0.2752,2.0947,-0.0795,0.0331,0.2478,0.2500,0.9952,-0.1325,0.2590,0.0508,0.2640,1.1008
0.3087,2.0953,-0.0746,0.0311,0.2481,0.2500,1.0060,-0.1250,0.2576,0.0599,0.2645,1.0905
0.3754,2.0975,-0.0547,0.0228,0.2490,0.2500,1.0166,-0.1177,0.2489,0.0667,0.2577,1.0828
0.4074,2.0979,-0.0497,0.0207,0.2491,0.2500,1.0270,-0.1109,0.2429,0.0650,0.2514,1.0727
0.4768,2.0993,-0.0297,0.0124,0.2497,0.2500,1.0365,-0.1043,0.2255,0.0717,0.2366,1.0653
0.5088,2.0995,-0.0247,0.0103,0.2498,0.2500,1.0455,-0.0969,0.2155,0.0898,0.2335,1.0564
0.5789,2.1000,-0.0047,0.0020,0.2500,0.2500,1.0542,-0.0891,0.2064,0.1027,0.2305,1.0492
0.6086,2.1000,0.0002,-0.0001,0.2500,0.2500,1.0619,-0.0813,0.1864,0.1159,0.2194,1.0413
0.6745,2.0997,0.0202,-0.0084,0.2499,0.2500,1.0690,-0.0732,0.1739,0.1258,0.2146,1.0349
0.7074,2.0995,0.0252,-0.0105,0.2498,0.2500,1.0762,-0.0649,0.1771,0.1312,0.2204,1.0272
0.7753,2.0983,0.0452,-0.0188,0.2493,0.2500,1.0827,-0.0558,0.1652,0.1489,0.2224,1.0206
0.8086,2.0979,0.0502,-0.0209,0.2491,0.2500,1.0883,-0.0457,0.1516,0.1727,0.2298,1.0142
0.8766,2.0959,0.0702,-0.0292,0.2483,0.2500,1.0935,-0.0349,0.1448,0.1883,0.2376,1.0079
0.9078,2.0953,0.0750,-0.0313,0.2480,0.2500,1.0976,-0.0239,0.1232,0.2000,0.2349,1.0026
0.9799,2.0924,0.0949,-0.0396,0.2469,0.2500,1.1005,-0.0119,0.1044,0.2239,0.2470,0.9977
1.0074,2.0916,0.0998,-0.0416,0.2465,0.2500,1.1028,0.0003,0.0968,0.2270,0.2468,0.9938
1.0772,2.0880,0.1195,-0.0498,0.2450,0.2500,1.1044,0.0128,0.0845,0.2338,0.2486,0.9894
1.1074,2.0870,0.1244,-0.0518,0.2446,0.2500,1.1053,0.0268,0.0775,0.2478,0.2596,0.9865
1.1751,2.0825,0.1438,-0.0599,0.2427,0.2500,1.1050,0.0390,0.0670,0.2556,0.2643,0.9831
1.2091,2.0813,0.1487,-0.0620,0.2422,0.2500,1.1041,0.0524,0.0550,0.2595,0.2653,0.9819
1.2753,2.0760,0.1680,-0.0700,0.2400,0.2500,1.1019,0.0657,0.0376,0.2609,0.2636,0.9794
1.3086,2.0746,0.1728,-0.0720,0.2394,0.2500,1.0984,0.0788,0.0189,0.2653,0.2660,0.9807
1.3788,2.0685,0.1919,-0.0799,0.2369,0.2500,1.0940,0.0917,0.0065,0.2726,0.2727,0.9797
1.4087,2.0669,0.1966,-0.0819,0.2362,0.2500,1.0881,0.1048,-0.0155,0.2853,0.2857,0.9831
1.4769,2.0600,0.2154,-0.0897,0.2333,0.2500,1.0809,0.1178,-0.0335,0.2926,0.2945,0.9840
1.5087,2.0582,0.2200,-0.0917,0.2326,0.2500,1.0727,0.1303,-0.0449,0.2922,0.2956,0.9895
1.5770,2.0505,0.2385,-0.0994,0.2294,0.2500,1.0638,0.1429,-0.0561,0.3028,0.3080,0.9913
1.6087,2.0486,0.2431,-0.1013,0.2286,0.2500,1.0537,0.1556,-0.0725,0.3112,0.3196,0.9987
1.6743,2.0402,0.2612,-0.1088,0.2251,0.2500,1.0430,0.1679,-0.0756,0.3112,0.3202,1.0015
1.7087,2.0380,0.2657,-0.1107,0.2242,0.2500,1.0315,0.1800,-0.0837,0.3179,0.3287,1.0101
1.7744,2.0288,0.2835,-0.1181,0.2203,0.2500,1.0185,0.1923,-0.0983,0.3337,0.3479,1.0144
1.8085,2.0264,0.2879,-0.1199,0.2193,0.2500,1.0053,0.2042,-0.1035,0.3358,0.3514,1.0246
1.8765,2.0165,0.3053,-0.1272,0.2152,0.2500,0.9922,0.2154,-0.1033,0.3290,0.3448,1.0282
1.9075,2.0140,0.3096,-0.1290,0.2142,0.2500,0.9790,0.2265,-0.1040,0.3323,0.3482,1.0383
1.9744,2.0034,0.3265,-0.1360,0.2097,0.2500,0.9654,0.2376,-0.1049,0.3414,0.3572,1.0418
2.0099,2.0006,0.3307,-0.1378,0.2086,0.2500,0.9520,0.2483,-0.0959,0.3352,0.3486,1.0519
2.0753,1.9893,0.3472,-0.1447,0.2039,0.2500,0.9384,0.2581,-0.1048,0.3274,0.3438,1.0547
2.1086,1.9864,0.3513,-0.1464,0.2027,0.2500,0.9243,0.2678,-0.1083,0.3222,0.3400,1.0654
2.1738,1.9745,0.3673,-0.1530,0.1977,0.2500,0.9114,0.2780,-0.0826,0.3201,0.3305,1.0668
2.2078,1.9714,0.3712,-0.1547,0.1964,0.2500,0.8978,0.2889,-0.0905,0.3431,0.3548,1.0768
2.2748,1.9587,0.3867,-0.1611,0.1911,0.2500,0.8836,0.3001,-0.0898,0.3463,0.3578,1.0786
2.3086,1.9555,0.3905,-0.1627,0.1898,0.2500,0.8701,0.3113,-0.0805,0.3492,0.3583,1.0883
2.3789,1.9421,0.4056,-0.1690,0.1842,0.2500,0.8571,0.3225,-0.0716,0.3391,0.3466,1.0882
2.4268,1.9354,0.4128,-0.1720,0.1814,0.2500,0.8447,0.3335,-0.0650,0.3256,0.3320,1.0935
2.4756,1.9249,0.4236,-0.1765,0.1771,0.2500,0.8326,0.3450,-0.0561,0.3183,0.3232,1.0952
2.5089,1.9214,0.4271,-0.1780,0.1756,0.2500,0.8216,0.3567,-0.0435,0.3227,0.3257,1.1020
2.5736,1.9070,0.4409,-0.1837,0.1696,0.2500,0.8118,0.3678,-0.0353,0.3093,0.3113,1.0976
2.6080,1.9033,0.4443,-0.1851,0.1680,0.2500,1.0620,0.1393,-0.0301,0.3082,0.3096,0.8948
2.6745,1.8882,0.4575,-0.1906,0.1618,0.2500,1.0528,0.1512,-0.0240,0.3018,0.3027,0.8899
2.7074,1.8844,0.4607,-0.1919,0.1602,0.2500,1.0437,0.1631,-0.0199,0.2998,0.3005,0.8918
2.7745,1.8689,0.4732,-0.1972,0.1537,0.2500,1.0352,0.1759,-0.0040,0.3053,0.3053,0.8851
2.8075,1.8649,0.4763,-0.1985,0.1520,0.2500,1.0269,0.1881,-0.0118,0.2983,0.2985,0.8862
2.8766,1.8487,0.4882,-0.2034,0.1453,0.2500,1.0186,0.2002,-0.0151,0.2927,0.2931,0.8787
2.9092,1.8447,0.4911,-0.2046,0.1436,0.2500,1.0106,0.2123,-0.0155,0.2898,0.2902,0.8795
2.9756,1.8282,0.5023,-0.2093,0.1367,0.2500,1.0023,0.2245,-0.0253,0.2935,0.2946,0.8714
3.0102,1.8198,0.5077,-0.2115,0.1332,0.2500,0.9942,0.2369,-0.0277,0.2964,0.2977,0.8689
3.0765,1.8069,0.5156,-0.2148,0.1279,0.2500,0.9858,0.2493,-0.0386,0.2985,0.3010,0.8631
3.1080,1.8027,0.5181,-0.2159,0.1261,0.2500,0.9779,0.2617,-0.0378,0.2980,0.3003,0.8637
3.1742,1.7852,0.5279,-0.2199,0.1188,0.2500,0.9692,0.2744,-0.0511,0.3027,0.3070,0.8545
3.2099,1.7808,0.5302,-0.2209,0.1170,0.2500,0.9606,0.2874,-0.0538,0.3075,0.3122,0.8554
3.2754,1.7630,0.5393,-0.2247,0.1096,0.2500,0.9526,0.3006,-0.0518,0.3067,0.3111,0.8448
3.3086,1.7585,0.5415,-0.2256,0.1077,0.2500,0.9440,0.3142,-0.0639,0.3128,0.3193,0.8456
3.3752,1.7403,0.5498,-0.2291,0.1001,0.2500,0.9352,0.3279,-0.0754,0.3141,0.3230,0.8351
3.4100,1.7357,0.5518,-0.2299,0.0982,0.2500,0.9261,0.3417,-0.0867,0.3135,0.3253,0.8364
3.4771,1.7172,0.5593,-0.2330,0.0905,0.2500,0.9166,0.3562,-0.0949,0.3123,0.3264,0.8260
3.5088,1.7125,0.5611,-0.2338,0.0886,0.2500,0.9077,0.3697,-0.1024,0.3218,0.3377,0.8273
3.5746,1.6937,0.5679,-0.2366,0.0807,0.2500,0.8979,0.3836,-0.1215,0.3190,0.3413,0.8169
3.6085,1.6890,0.5695,-0.2373,0.0787,0.2500,0.8869,0.3980,-0.1413,0.3232,0.3528,0.8202
3.6754,1.6699,0.5754,-0.2398,0.0708,0.2500,0.8748,0.4117,-0.1692,0.3209,0.3628,0.8118
3.7086,1.6651,0.5768,-0.2404,0.0688,0.2500,0.8627,0.4244,-0.1734,0.2983,0.3450,0.8168
3.7746,1.6458,0.5820,-0.2425,0.0607,0.2500,0.8500,0.4364,-0.1937,0.2901,0.3488,0.8090
