time_s,leader_x_m,leader_y_m,leader_vx_ms,leader_vy_ms,leader_v_ms,follower_x_m,follower_y_m,follower_vx_ms,follower_vy_ms,follower_v_ms,distance_m
0.0006,-0.6262,1.2201,-0.0136,-0.2703,0.2707,-2.2331,1.3562,0.2625,-0.2100,0.3362,1.6127
0.0008,-0.6262,1.2201,-0.0136,-0.2703,0.2707,-2.2305,1.3539,0.2625,-0.2100,0.3362,1.6099
0.0201,-0.6262,1.2182,-0.0132,-0.2694,0.2698,-2.2283,1.3520,0.2649,-0.2127,0.3397,1.6077
0.0204,-0.6262,1.2161,-0.0132,-0.2694,0.2698,-2.2257,1.3497,0.2659,-0.2137,0.3411,1.6050
0.0299,-0.6262,1.2139,-0.0123,-0.2681,0.2684,-2.2229,1.3475,0.2674,-0.2154,0.3434,1.6023
0.0303,-0.6262,1.2117,-0.0123,-0.2681,0.2684,-2.2201,1.3454,0.2674,-0.2154,0.3434,1.5994
0.0503,-0.6262,1.2074,-0.0106,-0.2674,0.2676,-2.2174,1.3432,0.2715,-0.2181,0.3482,1.5971
0.0507,-0.6262,1.2074,-0.0106,-0.2674,0.2676,-2.2147,1.3410,0.2731,-0.2196,0.3504,1.5941
0.0702,-0.6261,1.2054,-0.0100,-0.2673,0.2674,-2.2123,1.3391,0.2749,-0.2212,0.3529,1.5918
0.0707,-0.6260,1.2034,-0.0100,-0.2673,0.2674,-2.2099,1.3370,0.2754,-0.2217,0.3536,1.5895
0.0801,-0.6258,1.2012,-0.0086,-0.2660,0.2662,-2.2074,1.3348,0.2763,-0.2226,0.3548,1.5873
0.0805,-0.6255,1.1993,-0.0086,-0.2660,0.2662,-2.2050,1.3328,0.2763,-0.2226,0.3548,1.5851
0.1002,-0.6253,1.1970,-0.0069,-0.2652,0.2653,-2.2022,1.3304,0.2790,-0.2256,0.3588,1.5826
0.1007,-0.6251,1.1950,-0.0069,-0.2652,0.2653,-2.1998,1.3284,0.2790,-0.2256,0.3588,1.5803
0.1202,-0.6249,1.1930,-0.0054,-0.2642,0.2643,-2.1972,1.3265,0.2816,-0.2277,0.3622,1.5779
0.1204,-0.6248,1.1909,-0.0048,-0.2635,0.2635,-2.1944,1.3243,0.2816,-0.2277,0.3622,1.5753
0.1301,-0.6247,1.1888,-0.0043,-0.2636,0.2636,-2.1917,1.3223,0.2846,-0.2296,0.3657,1.5727
0.1304,-0.6246,1.1868,-0.0043,-0.2636,0.2636,-2.1891,1.3203,0.2846,-0.2296,0.3657,1.5702
