time_s,leader_x_m,leader_y_m,leader_vx_ms,leader_vy_ms,leader_v_ms,follower_x_m,follower_y_m,follower_vx_ms,follower_vy_ms,follower_v_ms,distance_m
0.0007,0.2387,1.7146,0.2725,0.1861,0.3300,-2.0174,1.5516,0.4012,0.0462,0.4038,2.2620
0.0010,0.2387,1.7146,0.2725,0.1861,0.3300,-2.0143,1.5525,0.4011,0.0480,0.4040,2.2588
0.0102,0.2409,1.7159,0.2730,0.1860,0.3304,-2.0110,1.5535,0.4015,0.0499,0.4046,2.2577
0.0105,0.2436,1.7174,0.2731,0.1855,0.3302,-2.0075,1.5547,0.4017,0.0519,0.4050,2.2570
0.0302,0.2456,1.7186,0.2733,0.1846,0.3298,-2.0043,1.5556,0.4010,0.0545,0.4047,2.2558
0.0403,0.2480,1.7201,0.2731,0.1839,0.3292,-2.0006,1.5567,0.4010,0.0564,0.4049,2.2545
0.0405,0.2500,1.7212,0.2731,0.1839,0.3292,-1.9974,1.5576,0.4010,0.0564,0.4049,2.2533
0.0603,0.2522,1.7228,0.2721,0.1826,0.3277,-1.9939,1.5587,0.4015,0.0607,0.4061,2.2521
0.0606,0.2541,1.7241,0.2721,0.1826,0.3277,-1.9905,1.5598,0.4015,0.0607,0.4061,2.2506
0.0702,0.2563,1.7256,0.2711,0.1824,0.3267,-1.9871,1.5610,0.4028,0.0652,0.4081,2.2494
0.0706,0.2583,1.7268,0.2711,0.1824,0.3267,-1.9839,1.5619,0.4021,0.0676,0.4077,2.2483
0.0899,0.2608,1.7284,0.2701,0.1811,0.3252,-1.9802,1.5632,0.4027,0.0694,0.4086,2.2470
0.0903,0.2633,1.7301,0.2701,0.1811,0.3252,-1.9765,1.5646,0.4029,0.0720,0.4093,2.2459
0.0999,0.2656,1.7315,0.2710,0.1808,0.3258,-1.9731,1.5659,0.4033,0.0748,0.4102,2.2448
0.1003,0.2677,1.7328,0.2710,0.1808,0.3258,-1.9698,1.5671,0.4030,0.0774,0.4104,2.2436
0.1203,0.2699,1.7343,0.2707,0.1799,0.3250,-1.9662,1.5684,0.4027,0.0797,0.4105,2.2422
0.1206,0.2719,1.7355,0.2707,0.1799,0.3250,-1.9630,1.5696,0.4032,0.0823,0.4115,2.2410
0.1404,0.2740,1.7369,0.2699,0.1791,0.3239,-1.9596,1.5708,0.4024,0.0846,0.4112,2.2398
0.1408,0.2764,1.7384,0.2699,0.1791,0.3239,-1.9561,1.5722,0.4026,0.0868,0.4119,2.2387
0.1500,0.2784,1.7395,0.2695,0.1786,0.3233,-1.9531,1.5732,0.4026,0.0892,0.4124,2.2377
0.1503,0.2808,1.7409,0.2695,0.1786,0.3233,-1.9496,1.5745,0.4026,0.0892,0.4124,2.2366
0.1703,0.2829,1.7421,0.2692,0.1776,0.3225,-1.9463,1.5756,0.4026,0.0930,0.4132,2.2354
0.1706,0.2851,1.7433,0.2692,0.1776,0.3225,-1.9427,1.5768,0.4029,0.0948,0.4139,2.2341
0.1903,0.2873,1.7447,0.2693,0.1759,0.3216,-1.9392,1.5781,0.4029,0.0968,0.4144,2.2328
0.1907,0.2895,1.7459,0.2693,0.1759,0.3216,-1.9358,1.5793,0.4029,0.0987,0.4148,2.2315
