time_s,leader_x_m,leader_y_m,leader_vx_ms,leader_vy_ms,leader_v_ms,follower_x_m,follower_y_m,follower_vx_ms,follower_vy_ms,follower_v_ms,distance_m
0.0007,-0.5047,1.3010,-0.0410,-0.2595,0.2627,-2.4180,1.5208,0.0000,-0.0000,0.0000,1.9258
0.0010,-0.5047,1.3010,-0.0410,-0.2595,0.2627,-2.4180,1.5208,0.0000,-0.0000,0.0000,1.9258
0.0101,-0.5049,1.2985,-0.0395,-0.2617,0.2646,-2.4180,1.5208,0.0000,-0.0000,0.0000,1.9260
0.0105,-0.5050,1.2965,-0.0395,-0.2617,0.2646,-2.4180,1.5208,0.0000,-0.0000,0.0000,1.9261
0.0299,-0.5051,1.2942,-0.0371,-0.2625,0.2651,-2.4180,1.5208,0.0000,-0.0000,0.0000,1.9262
0.0301,-0.5052,1.2921,-0.0371,-0.2625,0.2651,-2.4180,1.5208,0.0000,-0.0000,0.0000,1.9264
0.0499,-0.5053,1.2898,-0.0346,-0.2629,0.2652,-2.4180,1.5208,0.0000,-0.0000,0.0000,1.9265
0.0502,-0.5054,1.2877,-0.0346,-0.2629,0.2652,-2.4180,1.5208,0.0000,-0.0000,0.0000,1.9267
0.0600,-0.5055,1.2851,-0.0329,-0.2640,0.2661,-2.4180,1.5208,0.0000,-0.0000,0.0000,1.9269
0.0604,-0.5056,1.2831,-0.0329,-0.2640,0.2661,-2.4180,1.5208,0.0000,-0.0000,0.0000,1.9270
0.0799,-0.5057,1.2809,-0.0312,-0.2648,0.2666,-2.4180,1.5208,0.0000,-0.0000,0.0000,1.9272
0.0802,-0.5058,1.2786,-0.0303,-0.2651,0.2668,-2.4180,1.5208,0.0000,-0.0000,0.0000,1.9274
0.0898,-0.5059,1.2762,-0.0296,-0.2653,0.2670,-2.4180,1.5208,0.0000,-0.0000,0.0000,1.9276
0.0903,-0.5061,1.2738,-0.0296,-0.2653,0.2670,-2.4180,1.5208,0.0000,-0.0000,0.0000,1.9277
0.1097,-0.5062,1.2717,-0.0279,-0.2660,0.2674,-2.4180,1.5208,0.0000,-0.0000,0.0000,1.9279
0.1200,-0.5063,1.2693,-0.0272,-0.2660,0.2674,-2.4180,1.5208,0.0000,-0.0000,0.0000,1.9281
0.1202,-0.5063,1.2674,-0.0272,-0.2660,0.2674,-2.4180,1.5208,0.0000,-0.0000,0.0000,1.9284
0.1300,-0.5064,1.2648,-0.0255,-0.2658,0.2670,-2.4180,1.5208,0.0000,-0.0000,0.0000,1.9286
0.1304,-0.5064,1.2628,-0.0255,-0.2658,0.2670,-2.4180,1.5208,0.0000,-0.0000,0.0000,1.9289
0.1502,-0.5065,1.2605,-0.0239,-0.2664,0.2675,-2.4180,1.5208,0.0000,-0.0000,0.0000,1.9291
0.1507,-0.5065,1.2583,-0.0239,-0.2664,0.2675,-2.4179,1.5208,0.0000,-0.0000,0.0000,1.9293
0.1701,-0.5066,1.2560,-0.0229,-0.2671,0.2681,-2.4179,1.5208,0.0000,-0.0000,0.0000,1.9296
0.1705,-0.5068,1.2538,-0.0229,-0.2671,0.2681,-2.4179,1.5208,0.0000,-0.0000,0.0000,1.9297
0.1800,-0.5069,1.2516,-0.0221,-0.2671,0.2680,-2.4179,1.5208,0.0000,-0.0000,0.0000,1.9300
0.1899,-0.5070,1.2491,-0.0216,-0.2674,0.2683,-2.4179,1.5208,0.0000,-0.0000,0.0000,1.9302
0.1902,-0.5071,1.2468,-0.0216,-0.2674,0.2683,-2.4179,1.5208,0.0000,-0.0000,0.0000,1.9304
0.2100,-0.5072,1.2443,-0.0205,-0.2684,0.2692,-2.4179,1.5208,0.0001,-0.0000,0.0001,1.9307
0.2105,-0.5072,1.2425,-0.0205,-0.2684,0.2692,-2.4179,1.5208,0.0001,-0.0000,0.0001,1.9309
0.2297,-0.5073,1.2397,-0.0195,-0.2688,0.2695,-2.4179,1.5208,0.0001,-0.0000,0.0001,1.9311
0.2300,-0.5074,1.2374,-0.0195,-0.2688,0.2695,-2.4179,1.5208,0.0001,-0.0000,0.0001,1.9314
0.2397,-0.5075,1.2351,-0.0186,-0.2703,0.2710,-2.4179,1.5208,0.0001,-0.0000,0.0001,1.9316
0.2400,-0.5076,1.2327,-0.0186,-0.2703,0.2710,-2.4179,1.5208,0.0001,-0.0000,0.0001,1.9319
0.2598,-0.5077,1.2305,-0.0176,-0.2714,0.2720,-2.4179,1.5208,0.0001,-0.0000,0.0001,1.9322
