time_s,leader_x_m,leader_y_m,leader_vx_ms,leader_vy_ms,leader_v_ms,follower_x_m,follower_y_m,follower_vx_ms,follower_vy_ms,follower_v_ms,distance_m
0.0007,0.2580,1.7215,0.2650,0.1820,0.3215,-2.0397,1.5618,0.3943,0.0503,0.3975,2.3032
0.0197,0.2602,1.7229,0.2659,0.1818,0.3221,-2.0359,1.5629,0.3964,0.0526,0.3999,2.3017
0.0200,0.2622,1.7242,0.2659,0.1818,0.3221,-2.0324,1.5637,0.3982,0.0549,0.4020,2.3002
0.0297,0.2665,1.7270,0.2655,0.1811,0.3213,-2.0290,1.5648,0.3995,0.0567,0.4035,2.3012
0.0300,0.2665,1.7270,0.2655,0.1811,0.3213,-2.0257,1.5657,0.4001,0.0589,0.4044,2.2978
0.0499,0.2708,1.7297,0.2648,0.1807,0.3206,-2.0223,1.5667,0.4006,0.0608,0.4051,2.2988
0.0502,0.2708,1.7297,0.2648,0.1807,0.3206,-2.0187,1.5678,0.4009,0.0628,0.4058,2.2952
0.0697,0.2730,1.7310,0.2639,0.1798,0.3193,-2.0152,1.5688,0.4012,0.0651,0.4065,2.2939
0.0700,0.2752,1.7324,0.2639,0.1798,0.3193,-2.0115,1.5700,0.4027,0.0673,0.4083,2.2925
0.0794,0.2773,1.7337,0.2646,0.1796,0.3199,-2.0081,1.5711,0.4041,0.0695,0.4101,2.2911
0.0894,0.2797,1.7352,0.2640,0.1789,0.3189,-2.0044,1.5725,0.4042,0.0718,0.4105,2.2899
0.0897,0.2818,1.7365,0.2640,0.1789,0.3189,-2.0013,1.5737,0.4042,0.0718,0.4105,2.2889
0.1098,0.2843,1.7380,0.2646,0.1782,0.3190,-1.9978,1.5751,0.4058,0.0769,0.4130,2.2878
0.1101,0.2862,1.7392,0.2653,0.1779,0.3194,-1.9947,1.5761,0.4064,0.0796,0.4141,2.2867
0.1296,0.2883,1.7406,0.2647,0.1768,0.3183,-1.9911,1.5772,0.4062,0.0813,0.4143,2.2853
0.1301,0.2904,1.7421,0.2648,0.1766,0.3183,-1.9874,1.5785,0.4075,0.0833,0.4159,2.2837
0.1393,0.2922,1.7433,0.2644,0.1763,0.3178,-1.9841,1.5796,0.4083,0.0855,0.4172,2.2822
0.1396,0.2946,1.7450,0.2644,0.1763,0.3178,-1.9800,1.5810,0.4083,0.0855,0.4172,2.2805
0.1596,0.2966,1.7463,0.2636,0.1763,0.3171,-1.9766,1.5822,0.4101,0.0900,0.4199,2.2792
0.1600,0.2989,1.7476,0.2636,0.1763,0.3171,-1.9730,1.5836,0.4101,0.0900,0.4199,2.2778
0.1795,0.3011,1.7490,0.2627,0.1752,0.3157,-1.9694,1.5850,0.4109,0.0942,0.4215,2.2765
0.1799,0.3030,1.7502,0.2627,0.1752,0.3157,-1.9662,1.5862,0.4109,0.0942,0.4215,2.2751
0.1893,0.3052,1.7516,0.2626,0.1742,0.3151,-1.9624,1.5877,0.4126,0.0987,0.4242,2.2735
0.1895,0.3072,1.7530,0.2626,0.1742,0.3151,-1.9590,1.5891,0.4126,0.0987,0.4242,2.2722
0.2093,0.3093,1.7545,0.2617,0.1729,0.3136,-1.9553,1.5905,0.4137,0.1035,0.4265,2.2706
0.2095,0.3114,1.7559,0.2617,0.1729,0.3136,-1.9520,1.5919,0.4137,0.1035,0.4265,2.2693
0.2296,0.3135,1.7573,0.2610,0.1727,0.3130,-1.9485,1.5934,0.4156,0.1082,0.4295,2.2679
0.2301,0.3155,1.7586,0.2610,0.1727,0.3130,-1.9451,1.5946,0.4152,0.1101,0.4295,2.2666
0.2395,0.3179,1.7602,0.2603,0.1720,0.3120,-1.9411,1.5963,0.4163,0.1120,0.4311,2.2650
0.2400,0.3200,1.7614,0.2603,0.1720,0.3120,-1.9376,1.5976,0.4163,0.1120,0.4311,2.2635
0.2594,0.3222,1.7629,0.2604,0.1712,0.3116,-1.9338,1.5991,0.4181,0.1164,0.4340,2.2619
0.2599,0.3240,1.7640,0.2604,0.1712,0.3116,-1.9304,1.6004,0.4181,0.1164,0.4340,2.2603
0.2793,0.3263,1.7655,0.2599,0.1700,0.3105,-1.9267,1.6021,0.4190,0.1206,0.4360,2.2589
0.2798,0.3283,1.7668,0.2605,0.1699,0.3110,-1.9232,1.6037,0.4200,0.1231,0.4376,2.2574
0.2892,0.3304,1.7682,0.2602,0.1693,0.3104,-1.9196,1.6053,0.4198,0.1254,0.4381,2.2559
0.2895,0.3326,1.7696,0.2602,0.1693,0.3104,-1.9162,1.6068,0.4202,0.1275,0.4391,2.2548
0.2992,0.3346,1.7706,0.2600,0.1685,0.3098,-1.9129,1.6082,0.4208,0.1295,0.4403,2.2534
0.3193,0.3370,1.7720,0.2593,0.1675,0.3087,-1.9092,1.6098,0.4208,0.1312,0.4408,2.2520
0.3195,0.3389,1.7733,0.2593,0.1675,0.3087,-1.9055,1.6112,0.4212,0.1330,0.4417,2.2502
0.3294,0.3410,1.7749,0.2587,0.1668,0.3078,-1.9016,1.6129,0.4224,0.1349,0.4434,2.2485
0.3297,0.3428,1.7762,0.2587,0.1668,0.3078,-1.8983,1.6143,0.4223,0.1368,0.4439,2.2469
0.3495,0.3449,1.7777,0.2575,0.1664,0.3066,-1.8946,1.6160,0.4224,0.1386,0.4445,2.2453
0.3499,0.3471,1.7791,0.2575,0.1664,0.3066,-1.8911,1.6176,0.4224,0.1406,0.4452,2.2441
0.3696,0.3493,1.7804,0.2572,0.1660,0.3061,-1.8878,1.6193,0.4223,0.1427,0.4458,2.2429
0.3698,0.3517,1.7818,0.2572,0.1660,0.3061,-1.8844,1.6208,0.4223,0.1427,0.4458,2.2419
0.3793,0.3538,1.7832,0.2572,0.1653,0.3057,-1.8810,1.6222,0.4219,0.1462,0.4465,2.2407
0.3796,0.3561,1.7847,0.2572,0.1653,0.3057,-1.8774,1.6238,0.4219,0.1462,0.4465,2.2393
0.3994,0.3605,1.7874,0.2581,0.1657,0.3067,-1.8737,1.6253,0.4225,0.1494,0.4481,2.2400
0.3997,0.3605,1.7874,0.2581,0.1657,0.3067,-1.8698,1.6270,0.4237,0.1510,0.4498,2.2361
0.4196,0.3625,1.7887,0.2578,0.1655,0.3063,-1.8663,1.6285,0.4234,0.1524,0.4499,2.2345
0.4199,0.3647,1.7901,0.2577,0.1653,0.3062,-1.8625,1.6302,0.4236,0.1539,0.4507,2.2329
0.4294,0.3688,1.7929,0.2580,0.1655,0.3065,-1.8590,1.6316,0.4241,0.1556,0.4517,2.2337
0.4297,0.3688,1.7929,0.2580,0.1655,0.3065,-1.8554,1.6331,0.4243,0.1569,0.4524,2.2300
0.4494,0.3732,1.7957,0.2579,0.1661,0.3068,-1.8516,1.6348,0.4250,0.1584,0.4535,2.2306
0.4497,0.3732,1.7957,0.2579,0.1661,0.3068,-1.8484,1.6362,0.4254,0.1600,0.4545,2.2272
0.4693,0.3755,1.7970,0.2569,0.1652,0.3055,-1.8445,1.6381,0.4246,0.1605,0.4539,2.2257
0.4697,0.3778,1.7982,0.2569,0.1652,0.3055,-1.8409,1.6397,0.4256,0.1622,0.4555,2.2244
0.4793,0.3802,1.7996,0.2576,0.1650,0.3059,-1.8371,1.6415,0.4260,0.1638,0.4564,2.2230
0.4797,0.3824,1.8009,0.2576,0.1650,0.3059,-1.8336,1.6429,0.4260,0.1638,0.4564,2.2217
0.4996,0.3869,1.8040,0.2580,0.1643,0.3059,-1.8298,1.6445,0.4267,0.1662,0.4579,2.2224
0.4998,0.3869,1.8040,0.2580,0.1643,0.3059,-1.8264,1.6460,0.4275,0.1677,0.4592,2.2189
0.5195,0.3889,1.8053,0.2579,0.1651,0.3062,-1.8227,1.6475,0.4266,0.1684,0.4587,2.2173
0.5198,0.3912,1.8067,0.2579,0.1651,0.3062,-1.8189,1.6493,0.4262,0.1694,0.4586,2.2157
0.5294,0.3932,1.8079,0.2580,0.1650,0.3062,-1.8155,1.6509,0.4271,0.1712,0.4601,2.2143
0.5298,0.3954,1.8092,0.2580,0.1650,0.3062,-1.8116,1.6526,0.4271,0.1712,0.4601,2.2125
0.5494,0.3973,1.8103,0.2578,0.1643,0.3057,-1.8079,1.6542,0.4282,0.1738,0.4621,2.2107
0.5497,0.3995,1.8118,0.2578,0.1643,0.3057,-1.8039,1.6561,0.4282,0.1738,0.4621,2.2089
0.5593,0.4015,1.8130,0.2574,0.1641,0.3053,-1.8003,1.6577,0.4297,0.1766,0.4646,2.2073
0.5695,0.4056,1.8156,0.2570,0.1640,0.3049,-1.7963,1.6596,0.4298,0.1778,0.4651,2.2074
0.5697,0.4056,1.8156,0.2570,0.1640,0.3049,-1.7929,1.6612,0.4298,0.1778,0.4651,2.2039
