time_s,leader_x_m,leader_y_m,leader_vx_ms,leader_vy_ms,leader_v_ms,follower_x_m,follower_y_m,follower_vx_ms,follower_vy_ms,follower_v_ms,distance_m
0.0009,0.2850,1.7357,0.2662,0.1828,0.3229,-2.0393,1.5359,0.4020,0.0758,0.4091,2.3329
0.0102,0.2875,1.7374,0.2657,0.1825,0.3223,-2.0356,1.5371,0.4024,0.0774,0.4098,2.3317
0.0107,0.2895,1.7387,0.2657,0.1825,0.3223,-2.0325,1.5380,0.4024,0.0774,0.4098,2.3306
0.0301,0.2919,1.7403,0.2654,0.1822,0.3219,-2.0289,1.5392,0.4040,0.0804,0.4120,2.3295
0.0303,0.2938,1.7416,0.2654,0.1822,0.3219,-2.0259,1.5401,0.4040,0.0804,0.4120,2.3285
0.0506,0.2960,1.7432,0.2657,0.1822,0.3221,-2.0223,1.5411,0.4053,0.0829,0.4137,2.3271
0.0511,0.2981,1.7447,0.2653,0.1820,0.3217,-2.0190,1.5421,0.4054,0.0842,0.4140,2.3258
0.0603,0.3004,1.7463,0.2653,0.1820,0.3217,-2.0151,1.5434,0.4060,0.0856,0.4150,2.3244
0.0608,0.3026,1.7477,0.2653,0.1820,0.3217,-2.0119,1.5444,0.4068,0.0874,0.4161,2.3234
0.0804,0.3049,1.7490,0.2652,0.1813,0.3213,-2.0084,1.5454,0.4070,0.0888,0.4166,2.3222
0.0905,0.3093,1.7516,0.2652,0.1805,0.3208,-2.0048,1.5466,0.4073,0.0899,0.4171,2.3231
0.0909,0.3093,1.7516,0.2652,0.1805,0.3208,-2.0018,1.5474,0.4087,0.0913,0.4188,2.3201
0.1001,0.3118,1.7532,0.2655,0.1795,0.3205,-1.9980,1.5487,0.4082,0.0919,0.4184,2.3188
0.1004,0.3139,1.7546,0.2655,0.1795,0.3205,-1.9946,1.5498,0.4082,0.0919,0.4184,2.3176
0.1202,0.3163,1.7562,0.2654,0.1792,0.3202,-1.9909,1.5511,0.4095,0.0951,0.4204,2.3163
0.1204,0.3181,1.7574,0.2654,0.1792,0.3202,-1.9878,1.5520,0.4095,0.0951,0.4204,2.3150
0.1402,0.3204,1.7589,0.2646,0.1785,0.3192,-1.9841,1.5533,0.4102,0.0977,0.4216,2.3137
0.1405,0.3225,1.7603,0.2646,0.1785,0.3192,-1.9810,1.5544,0.4102,0.0977,0.4216,2.3126
0.1502,0.3248,1.7619,0.2645,0.1778,0.3187,-1.9773,1.5558,0.4099,0.1008,0.4221,2.3112
0.1505,0.3271,1.7636,0.2645,0.1778,0.3187,-1.9737,1.5571,0.4105,0.1026,0.4232,2.3100
0.1703,0.3291,1.7650,0.2647,0.1776,0.3188,-1.9704,1.5582,0.4104,0.1040,0.4234,2.3088
0.1706,0.3312,1.7662,0.2646,0.1773,0.3185,-1.9671,1.5594,0.4105,0.1052,0.4238,2.3076
0.1801,0.3333,1.7675,0.2642,0.1766,0.3177,-1.9638,1.5606,0.4103,0.1065,0.4239,2.3065
0.2004,0.3359,1.7692,0.2640,0.1762,0.3174,-1.9602,1.5622,0.4108,0.1081,0.4248,2.3054
0.2007,0.3379,1.7705,0.2640,0.1762,0.3174,-1.9571,1.5632,0.4115,0.1100,0.4259,2.3044
0.2104,0.3399,1.7716,0.2645,0.1757,0.3175,-1.9541,1.5642,0.4112,0.1110,0.4259,2.3034
0.2108,0.3421,1.7730,0.2645,0.1757,0.3175,-1.9507,1.5653,0.4103,0.1117,0.4253,2.3022
0.2302,0.3445,1.7744,0.2641,0.1745,0.3165,-1.9472,1.5665,0.4109,0.1128,0.4261,2.3011
0.2399,0.3470,1.7759,0.2640,0.1739,0.3162,-1.9434,1.5679,0.4105,0.1137,0.4260,2.2998
0.2403,0.3470,1.7759,0.2640,0.1739,0.3162,-1.9402,1.5689,0.4105,0.1137,0.4260,2.2965
0.2501,0.3515,1.7788,0.2646,0.1735,0.3164,-1.9362,1.5705,0.4111,0.1162,0.4273,2.2971
0.2503,0.3534,1.7801,0.2646,0.1735,0.3164,-1.9331,1.5717,0.4111,0.1162,0.4273,2.2960
0.2703,0.3577,1.7831,0.2640,0.1730,0.3156,-1.9297,1.5728,0.4122,0.1192,0.4291,2.2971
0.2705,0.3577,1.7831,0.2640,0.1730,0.3156,-1.9260,1.5742,0.4109,0.1198,0.4280,2.2933
0.2903,0.3620,1.7857,0.2643,0.1733,0.3161,-1.9227,1.5755,0.4119,0.1213,0.4294,2.2943
0.2906,0.3620,1.7857,0.2643,0.1733,0.3161,-1.9193,1.5767,0.4114,0.1223,0.4292,2.2909
0.3003,0.3644,1.7870,0.2648,0.1734,0.3165,-1.9158,1.5782,0.4123,0.1239,0.4305,2.2897
0.3006,0.3664,1.7882,0.2648,0.1734,0.3165,-1.9125,1.5794,0.4124,0.1255,0.4310,2.2884
0.3202,0.3684,1.7894,0.2640,0.1719,0.3151,-1.9091,1.5805,0.4117,0.1263,0.4306,2.2871
0.3205,0.3706,1.7907,0.2640,0.1719,0.3151,-1.9057,1.5818,0.4117,0.1272,0.4309,2.2858
0.3303,0.3729,1.7921,0.2642,0.1714,0.3149,-1.9022,1.5831,0.4123,0.1286,0.4319,2.2846
0.3306,0.3749,1.7934,0.2642,0.1714,0.3149,-1.8988,1.5844,0.4123,0.1286,0.4319,2.2834
0.3507,0.3771,1.7948,0.2644,0.1712,0.3149,-1.8952,1.5860,0.4122,0.1311,0.4325,2.2819
0.3510,0.3790,1.7959,0.2641,0.1708,0.3145,-1.8921,1.5872,0.4119,0.1326,0.4327,2.2807
0.3703,0.3812,1.7972,0.2632,0.1697,0.3132,-1.8886,1.5887,0.4111,0.1337,0.4322,2.2794
0.3705,0.3831,1.7984,0.2632,0.1697,0.3132,-1.8854,1.5900,0.4111,0.1337,0.4322,2.2781
0.3804,0.3878,1.8015,0.2631,0.1697,0.3131,-1.8818,1.5915,0.4112,0.1364,0.4332,2.2794
0.3807,0.3878,1.8015,0.2631,0.1697,0.3131,-1.8784,1.5930,0.4112,0.1364,0.4332,2.2758
0.4002,0.3898,1.8027,0.2632,0.1703,0.3135,-1.8749,1.5942,0.4118,0.1388,0.4346,2.2743
0.4004,0.3917,1.8039,0.2621,0.1697,0.3122,-1.8715,1.5955,0.4113,0.1395,0.4343,2.2728
0.4204,0.3940,1.8052,0.2616,0.1693,0.3116,-1.8680,1.5968,0.4113,0.1404,0.4346,2.2715
0.4207,0.3962,1.8065,0.2612,0.1683,0.3108,-1.8643,1.5983,0.4109,0.1413,0.4345,2.2701
0.4403,0.3983,1.8076,0.2624,0.1686,0.3119,-1.8611,1.5997,0.4122,0.1431,0.4364,2.2689
0.4407,0.4005,1.8088,0.2624,0.1686,0.3119,-1.8577,1.6012,0.4122,0.1431,0.4364,2.2677
0.4504,0.4044,1.8113,0.2608,0.1658,0.3090,-1.8544,1.6025,0.4111,0.1445,0.4357,2.2684
0.4508,0.4044,1.8113,0.2608,0.1658,0.3090,-1.8509,1.6040,0.4104,0.1452,0.4353,2.2648
0.4702,0.4065,1.8125,0.2608,0.1658,0.3091,-1.8474,1.6055,0.4112,0.1466,0.4366,2.2633
0.4705,0.4084,1.8136,0.2608,0.1658,0.3091,-1.8439,1.6070,0.4112,0.1466,0.4366,2.2617
0.4902,0.4105,1.8149,0.2600,0.1646,0.3077,-1.8399,1.6087,0.4117,0.1484,0.4376,2.2598
0.4904,0.4124,1.8161,0.2600,0.1646,0.3077,-1.8362,1.6102,0.4135,0.1499,0.4398,2.2581
0.5003,0.4139,1.8170,0.2590,0.1634,0.3063,-1.8332,1.6114,0.4131,0.1505,0.4397,2.2565
0.5009,0.4160,1.8183,0.2590,0.1634,0.3063,-1.8295,1.6130,0.4123,0.1510,0.4391,2.2548
0.5204,0.4181,1.8196,0.2569,0.1617,0.3036,-1.8259,1.6147,0.4121,0.1517,0.4392,2.2534
0.5209,0.4201,1.8208,0.2569,0.1617,0.3036,-1.8226,1.6163,0.4132,0.1532,0.4407,2.2520
0.5301,0.4223,1.8219,0.2563,0.1610,0.3026,-1.8194,1.6179,0.4126,0.1541,0.4405,2.2510
0.5303,0.4246,1.8233,0.2563,0.1610,0.3026,-1.8157,1.6198,0.4126,0.1541,0.4405,2.2496
0.5506,0.4261,1.8242,0.2571,0.1601,0.3029,-1.8131,1.6211,0.4130,0.1573,0.4420,2.2484
0.5509,0.4284,1.8254,0.2571,0.1601,0.3029,-1.8094,1.6230,0.4130,0.1573,0.4420,2.2469
0.5705,0.4306,1.8269,0.2558,0.1583,0.3008,-1.8056,1.6248,0.4115,0.1592,0.4412,2.2453
0.5710,0.4324,1.8282,0.2559,0.1584,0.3010,-1.8022,1.6265,0.4126,0.1609,0.4428,2.2437
0.5806,0.4345,1.8295,0.2551,0.1583,0.3002,-1.7983,1.6283,0.4124,0.1621,0.4431,2.2418
0.5811,0.4363,1.8305,0.2542,0.1580,0.2993,-1.7953,1.6296,0.4129,0.1634,0.4441,2.2406
0.6003,0.4382,1.8318,0.2540,0.1578,0.2990,-1.7917,1.6313,0.4130,0.1645,0.4446,2.2389
0.6009,0.4400,1.8329,0.2540,0.1578,0.2990,-1.7882,1.6330,0.4125,0.1652,0.4444,2.2372
0.6204,0.4417,1.8339,0.2521,0.1567,0.2968,-1.7852,1.6344,0.4127,0.1663,0.4450,2.2357
0.6207,0.4437,1.8352,0.2508,0.1554,0.2950,-1.7813,1.6364,0.4114,0.1668,0.4439,2.2338
0.6303,0.4457,1.8365,0.2512,0.1556,0.2955,-1.7777,1.6384,0.4131,0.1689,0.4463,2.2322
0.6308,0.4473,1.8374,0.2512,0.1556,0.2955,-1.7746,1.6401,0.4131,0.1689,0.4463,2.2307
0.6502,0.4494,1.8386,0.2498,0.1543,0.2936,-1.7709,1.6419,0.4128,0.1713,0.4469,2.2290
0.6504,0.4515,1.8396,0.2498,0.1543,0.2936,-1.7673,1.6436,0.4128,0.1713,0.4469,2.2275
0.6702,0.4533,1.8405,0.2490,0.1521,0.2918,-1.7640,1.6450,0.4128,0.1730,0.4476,2.2259
0.6805,0.4576,1.8427,0.2488,0.1510,0.2910,-1.7600,1.6470,0.4129,0.1737,0.4479,2.2262
0.6808,0.4576,1.8427,0.2488,0.1510,0.2910,-1.7564,1.6486,0.4129,0.1737,0.4479,2.2225
0.6904,0.4592,1.8435,0.2486,0.1504,0.2905,-1.7534,1.6500,0.4149,0.1760,0.4507,2.2210
0.6909,0.4613,1.8448,0.2486,0.1504,0.2905,-1.7495,1.6520,0.4136,0.1757,0.4494,2.2192
0.7104,0.4632,1.8459,0.2467,0.1486,0.2880,-1.7461,1.6537,0.4153,0.1775,0.4517,2.2177
0.7107,0.4655,1.8473,0.2467,0.1486,0.2880,-1.7424,1.6557,0.4160,0.1790,0.4529,2.2162
0.7201,0.4673,1.8484,0.2468,0.1486,0.2881,-1.7390,1.6574,0.4166,0.1808,0.4541,2.2145
0.7203,0.4693,1.8495,0.2468,0.1486,0.2881,-1.7353,1.6591,0.4166,0.1808,0.4541,2.2128
0.7403,0.4709,1.8503,0.2447,0.1473,0.2856,-1.7321,1.6605,0.4162,0.1825,0.4545,2.2111
0.7406,0.4727,1.8513,0.2440,0.1462,0.2845,-1.7285,1.6622,0.4161,0.1832,0.4546,2.2093
0.7505,0.4749,1.8524,0.2425,0.1449,0.2825,-1.7246,1.6640,0.4155,0.1835,0.4542,2.2075
0.7512,0.4771,1.8537,0.2425,0.1449,0.2825,-1.7206,1.6661,0.4155,0.1835,0.4542,2.2057
0.7801,0.4790,1.8546,0.2435,0.1445,0.2832,-1.7175,1.6676,0.4182,0.1865,0.4579,2.2044
0.7804,0.4810,1.8556,0.2435,0.1445,0.2832,-1.7140,1.6693,0.4182,0.1865,0.4579,2.2029
0.7903,0.4830,1.8567,0.2421,0.1423,0.2808,-1.7105,1.6711,0.4173,0.1876,0.4575,2.2014
0.7905,0.4850,1.8576,0.2421,0.1423,0.2808,-1.7072,1.6728,0.4176,0.1887,0.4583,2.2000
0.8003,0.4873,1.8588,0.2411,0.1412,0.2794,-1.7034,1.6746,0.4171,0.1891,0.4579,2.1984
0.8008,0.4894,1.8599,0.2417,0.1411,0.2799,-1.6998,1.6765,0.4181,0.1905,0.4594,2.1969
0.8204,0.4915,1.8610,0.2420,0.1411,0.2801,-1.6963,1.6783,0.4187,0.1919,0.4606,2.1955
0.8302,0.4937,1.8621,0.2419,0.1406,0.2798,-1.6929,1.6800,0.4187,0.1930,0.4611,2.1941
0.8304,0.4954,1.8629,0.2419,0.1406,0.2798,-1.6897,1.6814,0.4187,0.1930,0.4611,2.1927
0.8403,0.4998,1.8652,0.2410,0.1384,0.2779,-1.6860,1.6833,0.4182,0.1940,0.4610,2.1933
0.8406,0.4998,1.8652,0.2410,0.1384,0.2779,-1.6823,1.6851,0.4184,0.1946,0.4615,2.1894
0.8605,0.5016,1.8660,0.2415,0.1385,0.2784,-1.6789,1.6868,0.4197,0.1958,0.4632,2.1878
0.8609,0.5037,1.8671,0.2408,0.1376,0.2773,-1.6751,1.6886,0.4194,0.1962,0.4630,2.1861
0.8804,0.5075,1.8689,0.2398,0.1361,0.2757,-1.6719,1.6902,0.4206,0.1972,0.4645,2.1867
0.8807,0.5075,1.8689,0.2398,0.1361,0.2757,-1.6681,1.6921,0.4199,0.1974,0.4640,2.1828
0.9005,0.5093,1.8698,0.2393,0.1349,0.2747,-1.6648,1.6938,0.4205,0.1982,0.4648,2.1812
0.9008,0.5113,1.8708,0.2390,0.1342,0.2741,-1.6613,1.6955,0.4203,0.1991,0.4651,2.1797
0.9104,0.5137,1.8720,0.2391,0.1337,0.2740,-1.6573,1.6977,0.4204,0.2002,0.4656,2.1780
0.9204,0.5159,1.8731,0.2395,0.1337,0.2743,-1.6536,1.6997,0.4214,0.2018,0.4672,2.1764
0.9208,0.5176,1.8738,0.2395,0.1337,0.2743,-1.6506,1.7011,0.4215,0.2027,0.4677,2.1750
0.9405,0.5198,1.8748,0.2386,0.1323,0.2729,-1.6466,1.7032,0.4210,0.2027,0.4673,2.1732
0.9408,0.5218,1.8756,0.2387,0.1320,0.2727,-1.6431,1.7048,0.4223,0.2041,0.4690,2.1716
0.9604,0.5237,1.8764,0.2388,0.1313,0.2725,-1.6394,1.7066,0.4225,0.2047,0.4694,2.1697
0.9607,0.5256,1.8773,0.2386,0.1304,0.2719,-1.6359,1.7082,0.4230,0.2051,0.4702,2.1681
0.9706,0.5294,1.8790,0.2382,0.1296,0.2712,-1.6320,1.7103,0.4230,0.2054,0.4702,2.1680
0.9708,0.5294,1.8790,0.2382,0.1296,0.2712,-1.6289,1.7117,0.4238,0.2066,0.4714,2.1648
0.9900,0.5314,1.8799,0.2379,0.1281,0.2702,-1.6251,1.7135,0.4221,0.2060,0.4697,2.1629
0.9903,0.5332,1.8807,0.2379,0.1281,0.2702,-1.6218,1.7154,0.4222,0.2067,0.4701,2.1613
1.0006,0.5354,1.8816,0.2386,0.1274,0.2705,-1.6181,1.7173,0.4228,0.2080,0.4712,2.1598
1.0009,0.5375,1.8826,0.2386,0.1274,0.2705,-1.6145,1.7193,0.4228,0.2080,0.4712,2.1582
1.0202,0.5394,1.8834,0.2387,0.1260,0.2699,-1.6113,1.7211,0.4228,0.2093,0.4718,2.1568
1.0206,0.5413,1.8841,0.2387,0.1260,0.2699,-1.6081,1.7226,0.4226,0.2095,0.4717,2.1554
1.0408,0.5454,1.8856,0.2379,0.1243,0.2684,-1.6044,1.7246,0.4227,0.2095,0.4717,2.1558
1.0410,0.5454,1.8856,0.2379,0.1243,0.2684,-1.6016,1.7261,0.4228,0.2096,0.4719,2.1529
1.0503,0.5476,1.8864,0.2387,0.1229,0.2684,-1.5980,1.7279,0.4230,0.2101,0.4723,2.1515
1.0604,0.5498,1.8872,0.2386,0.1219,0.2679,-1.5947,1.7298,0.4226,0.2100,0.4719,2.1503
1.0608,0.5518,1.8879,0.2386,0.1219,0.2679,-1.5914,1.7314,0.4226,0.2100,0.4719,2.1489
1.0802,0.5533,1.8885,0.2387,0.1195,0.2669,-1.5885,1.7327,0.4215,0.2100,0.4709,2.1475
1.0806,0.5553,1.8892,0.2387,0.1195,0.2669,-1.5849,1.7344,0.4215,0.2100,0.4709,2.1458
1.0900,0.5574,1.8901,0.2380,0.1174,0.2654,-1.5809,1.7362,0.4209,0.2096,0.4702,2.1439
1.0903,0.5594,1.8909,0.2380,0.1174,0.2654,-1.5774,1.7378,0.4209,0.2096,0.4702,2.1423
1.1105,0.5614,1.8918,0.2388,0.1160,0.2655,-1.5739,1.7395,0.4217,0.2097,0.4709,2.1407
1.1109,0.5632,1.8925,0.2394,0.1158,0.2660,-1.5706,1.7410,0.4217,0.2097,0.4709,2.1391
1.1309,0.5669,1.8939,0.2389,0.1146,0.2650,-1.5670,1.7427,0.4214,0.2091,0.4704,2.1392
1.1311,0.5669,1.8939,0.2389,0.1146,0.2650,-1.5638,1.7443,0.4214,0.2086,0.4702,2.1359
1.1403,0.5688,1.8947,0.2392,0.1130,0.2645,-1.5605,1.7460,0.4216,0.2085,0.4704,2.1345
1.1408,0.5709,1.8956,0.2392,0.1130,0.2645,-1.5568,1.7477,0.4216,0.2085,0.4704,2.1329
1.1605,0.5730,1.8964,0.2387,0.1119,0.2636,-1.5533,1.7495,0.4209,0.2083,0.4697,2.1314
1.1610,0.5747,1.8972,0.2387,0.1119,0.2636,-1.5501,1.7511,0.4209,0.2083,0.4697,2.1299
1.1807,0.5767,1.8979,0.2383,0.1109,0.2628,-1.5465,1.7527,0.4196,0.2082,0.4685,2.1282
