time_s,leader_x_m,leader_y_m,leader_vx_map_ms,leader_vy_map_ms,leader_v_ms,leader_yaw_rad,leader_omega_rads,follower_x_m,follower_y_m,follower_vx_map_ms,follower_vy_map_ms,follower_v_ms,follower_yaw_rad,follower_omega_rads,distance_m
0.0005,0.1973,1.7984,-0.2584,-0.1439,0.2958,0.0854,0.0070,-2.1395,1.9003,0.3475,-0.0564,0.3521,-0.2386,0.0144,2.3390
0.0008,0.1973,1.7984,-0.2584,-0.1439,0.2958,0.0854,0.0070,-2.1366,1.8997,0.3475,-0.0564,0.3521,-0.2380,0.0144,2.3360
0.0202,0.1948,1.7972,-0.2607,-0.1457,0.2986,0.0830,0.0069,-2.1334,1.8990,0.3502,-0.0583,0.3550,-0.2372,0.0115,2.3305
0.0301,0.1923,1.7960,-0.2623,-0.1465,0.3004,0.0810,0.0050,-2.1301,1.8982,0.3517,-0.0592,0.3566,-0.2364,0.0121,2.3247
0.0304,0.1901,1.7950,-0.2623,-0.1465,0.3004,0.0798,0.0050,-2.1272,1.8977,0.3530,-0.0605,0.3582,-0.2359,0.0110,2.3196
0.0503,0.1875,1.7935,-0.2641,-0.1478,0.3026,0.0790,-0.0076,-2.1236,1.8970,0.3541,-0.0612,0.3593,-0.2352,0.0124,2.3134
0.0506,0.1853,1.7923,-0.2654,-0.1490,0.3044,0.0781,-0.0087,-2.1206,1.8965,0.3557,-0.0622,0.3611,-0.2348,0.0117,2.3083
0.0602,0.1824,1.7907,-0.2665,-0.1499,0.3057,0.0765,-0.0029,-2.1171,1.8957,0.3565,-0.0630,0.3620,-0.2339,0.0097,2.3019
0.0605,0.1803,1.7895,-0.2665,-0.1499,0.3057,0.0752,-0.0029,-2.1142,1.8951,0.3565,-0.0630,0.3620,-0.2330,0.0097,2.2970
0.0804,0.1779,1.7880,-0.2688,-0.1518,0.3087,0.0739,0.0033,-2.1110,1.8945,0.3587,-0.0647,0.3645,-0.2324,0.0109,2.2913
0.0807,0.1753,1.7866,-0.2688,-0.1518,0.3087,0.0725,0.0033,-2.1076,1.8937,0.3587,-0.0647,0.3645,-0.2308,0.0109,2.2854
0.0903,0.1704,1.7838,-0.2727,-0.1540,0.3132,0.0689,0.0107,-2.1044,1.8932,0.3614,-0.0665,0.3675,-0.2298,0.0114,2.2774
0.0905,0.1704,1.7838,-0.2727,-0.1540,0.3132,0.0689,0.0107,-2.1009,1.8924,0.3614,-0.0665,0.3675,-0.2283,0.0114,2.2739
0.1102,0.1682,1.7828,-0.2740,-0.1548,0.3147,0.0677,0.0103,-2.0978,1.8919,0.3635,-0.0680,0.3698,-0.2274,0.0098,2.2687
0.1107,0.1662,1.7818,-0.2740,-0.1548,0.3147,0.0669,0.0103,-2.0948,1.8914,0.3635,-0.0680,0.3698,-0.2265,0.0098,2.2637
0.1305,0.1639,1.7807,-0.2748,-0.1550,0.3155,0.0661,0.0077,-2.0915,1.8908,0.3647,-0.0688,0.3711,-0.2250,0.0093,2.2582
0.1309,0.1613,1.7793,-0.2748,-0.1550,0.3155,0.0653,0.0077,-2.0879,1.8901,0.3654,-0.0693,0.3719,-0.2239,0.0142,2.2519
0.1400,0.1589,1.7780,-0.2762,-0.1553,0.3168,0.0641,0.0047,-2.0845,1.8895,0.3666,-0.0698,0.3732,-0.2214,0.0164,2.2462
0.1403,0.1569,1.7769,-0.2762,-0.1553,0.3168,0.0632,0.0047,-2.0815,1.8890,0.3673,-0.0703,0.3740,-0.2209,0.0177,2.2412
0.1602,0.1543,1.7754,-0.2769,-0.1554,0.3175,0.0620,-0.0004,-2.0774,1.8888,0.3679,-0.0702,0.3746,-0.2160,0.0155,2.2346
0.1606,0.1521,1.7740,-0.2769,-0.1554,0.3175,0.0605,-0.0004,-2.0743,1.8882,0.3679,-0.0702,0.3746,-0.2150,0.0155,2.2292
0.1803,0.1497,1.7726,-0.2790,-0.1574,0.3204,0.0586,0.0003,-2.0709,1.8875,0.3718,-0.0705,0.3785,-0.2138,-0.0100,2.2235
0.1902,0.1470,1.7710,-0.2787,-0.1577,0.3202,0.0569,0.0050,-2.0670,1.8867,0.3724,-0.0708,0.3791,-0.2126,-0.0021,2.2170
0.1908,0.1450,1.7699,-0.2787,-0.1577,0.3202,0.0555,0.0050,-2.0641,1.8861,0.3749,-0.0718,0.3817,-0.2122,-0.0005,2.2122
0.2003,0.1428,1.7689,-0.2793,-0.1581,0.3210,0.0542,0.0147,-2.0608,1.8856,0.3746,-0.0721,0.3814,-0.2117,0.0055,2.2067
0.2101,0.1401,1.7676,-0.2800,-0.1581,0.3215,0.0526,0.0132,-2.0573,1.8848,0.3762,-0.0725,0.3832,-0.2102,0.0089,2.2005
0.2104,0.1381,1.7666,-0.2800,-0.1581,0.3215,0.0517,0.0132,-2.0541,1.8843,0.3762,-0.0725,0.3832,-0.2080,0.0089,2.1953
0.2305,0.1357,1.7652,-0.2806,-0.1573,0.3216,0.0510,0.0005,-2.0506,1.8836,0.3770,-0.0728,0.3840,-0.2060,0.0101,2.1895
0.2309,0.1336,1.7641,-0.2811,-0.1574,0.3221,0.0504,-0.0054,-2.0474,1.8831,0.3779,-0.0733,0.3849,-0.2033,0.0092,2.1842
