time_s,leader_x_m,leader_y_m,leader_vx_map_ms,leader_vy_map_ms,leader_v_ms,leader_yaw_rad,leader_omega_rads,follower_x_m,follower_y_m,follower_vx_map_ms,follower_vy_map_ms,follower_v_ms,follower_yaw_rad,follower_omega_rads,distance_m
0.0007,0.2060,1.7989,-0.2455,-0.1385,0.2819,0.0994,-0.0176,-2.1939,1.9190,0.2595,-0.0125,0.2598,-0.0729,0.0128,2.4029
0.0010,0.2060,1.7989,-0.2455,-0.1385,0.2819,0.0994,-0.0176,-2.1914,1.9188,0.2595,-0.0125,0.2598,-0.0728,0.0128,2.4004
0.0203,0.2036,1.7976,-0.2487,-0.1417,0.2863,0.0974,-0.0118,-2.1893,1.9186,0.2620,-0.0133,0.2623,-0.0728,0.0136,2.3959
0.0208,0.2014,1.7966,-0.2487,-0.1417,0.2863,0.0955,-0.0118,-2.1872,1.9185,0.2620,-0.0133,0.2623,-0.0729,0.0136,2.3917
0.0402,0.1991,1.7955,-0.2509,-0.1438,0.2892,0.0941,0.0016,-2.1851,1.9184,0.2630,-0.0138,0.2633,-0.0728,0.0162,2.3873
0.0406,0.1965,1.7943,-0.2509,-0.1438,0.2892,0.0928,0.0016,-2.1824,1.9183,0.2630,-0.0138,0.2633,-0.0729,0.0162,2.3822
0.0499,0.1941,1.7931,-0.2536,-0.1450,0.2922,0.0919,-0.0030,-2.1801,1.9182,0.2638,-0.0140,0.2642,-0.0729,0.0171,2.3776
0.0502,0.1917,1.7917,-0.2536,-0.1450,0.2922,0.0910,-0.0030,-2.1779,1.9180,0.2638,-0.0140,0.2642,-0.0729,0.0171,2.3729
0.0702,0.1892,1.7902,-0.2567,-0.1461,0.2954,0.0901,-0.0103,-2.1754,1.9179,0.2649,-0.0140,0.2653,-0.0729,0.0141,2.3681
0.0707,0.1868,1.7886,-0.2580,-0.1467,0.2968,0.0891,-0.0115,-2.1730,1.9177,0.2657,-0.0141,0.2661,-0.0729,0.0143,2.3633
0.1205,0.1844,1.7870,-0.2594,-0.1475,0.2984,0.0873,-0.0115,-2.1690,1.9174,0.2666,-0.0141,0.2669,-0.0730,0.0111,2.3570
0.1210,0.1820,1.7855,-0.2607,-0.1486,0.3001,0.0859,-0.0099,-2.1669,1.9172,0.2667,-0.0143,0.2671,-0.0729,0.0103,2.3526
0.1212,0.1797,1.7840,-0.2614,-0.1493,0.3011,0.0840,-0.0064,-2.1646,1.9170,0.2672,-0.0144,0.2676,-0.0729,0.0096,2.3481
0.1214,0.1773,1.7826,-0.2628,-0.1505,0.3029,0.0820,-0.0042,-2.1625,1.9169,0.2677,-0.0148,0.2681,-0.0729,0.0101,2.3436
0.1217,0.1750,1.7813,-0.2639,-0.1517,0.3044,0.0804,-0.0011,-2.1600,1.9167,0.2674,-0.0151,0.2678,-0.0729,0.0099,2.3389
0.1403,0.1700,1.7785,-0.2654,-0.1527,0.3061,0.0779,0.0090,-2.1577,1.9164,0.2677,-0.0155,0.2682,-0.0729,0.0076,2.3317
0.1406,0.1677,1.7772,-0.2664,-0.1533,0.3073,0.0772,0.0110,-2.1553,1.9161,0.2685,-0.0161,0.2689,-0.0729,0.0070,2.3271
0.1502,0.1654,1.7759,-0.2674,-0.1537,0.3084,0.0765,0.0114,-2.1530,1.9158,0.2691,-0.0167,0.2697,-0.0726,0.0093,2.3226
0.1506,0.1630,1.7745,-0.2674,-0.1537,0.3084,0.0753,0.0114,-2.1509,1.9155,0.2691,-0.0167,0.2697,-0.0724,0.0093,2.3182
0.1702,0.1606,1.7731,-0.2687,-0.1532,0.3093,0.0738,0.0093,-2.1489,1.9152,0.2691,-0.0179,0.2697,-0.0718,0.0189,2.3138
0.1705,0.1582,1.7717,-0.2697,-0.1531,0.3101,0.0723,-0.0065,-2.1467,1.9150,0.2691,-0.0179,0.2697,-0.0712,0.0189,2.3093
0.1901,0.1556,1.7701,-0.2707,-0.1534,0.3111,0.0708,-0.0146,-2.1445,1.9148,0.2691,-0.0187,0.2698,-0.0708,0.0325,2.3046
0.1905,0.1532,1.7687,-0.2707,-0.1534,0.3111,0.0692,-0.0146,-2.1421,1.9146,0.2691,-0.0191,0.2698,-0.0702,0.0352,2.2999
0.2000,0.1508,1.7673,-0.2726,-0.1551,0.3137,0.0675,-0.0175,-2.1396,1.9144,0.2695,-0.0194,0.2702,-0.0694,0.0313,2.2951
0.2002,0.1485,1.7660,-0.2726,-0.1551,0.3137,0.0663,-0.0175,-2.1371,1.9142,0.2695,-0.0194,0.2702,-0.0689,0.0313,2.2904
0.2200,0.1462,1.7647,-0.2735,-0.1565,0.3151,0.0653,-0.0097,-2.1347,1.9140,0.2704,-0.0199,0.2712,-0.0684,0.0299,2.2858
0.2203,0.1438,1.7634,-0.2735,-0.1565,0.3151,0.0644,-0.0097,-2.1324,1.9138,0.2704,-0.0199,0.2712,-0.0673,0.0299,2.2812
0.2402,0.1389,1.7605,-0.2757,-0.1580,0.3178,0.0616,-0.0071,-2.1300,1.9134,0.2710,-0.0204,0.2718,-0.0658,0.0244,2.2740
