time_s,leader_x_m,leader_y_m,leader_vx_map_ms,leader_vy_map_ms,leader_v_ms,leader_yaw_rad,leader_omega_rads,follower_x_m,follower_y_m,follower_vx_map_ms,follower_vy_map_ms,follower_v_ms,follower_yaw_rad,follower_omega_rads,distance_m
0.0005,0.1221,1.7572,-0.2825,-0.1536,0.3216,0.0479,0.0035,-2.0365,1.8941,0.3942,-0.0458,0.3969,0.0341,-0.0131,2.1629
0.0008,0.1221,1.7572,-0.2825,-0.1536,0.3216,0.0479,0.0035,-2.0331,1.8934,0.3942,-0.0458,0.3969,0.0343,-0.0131,2.1595
0.0095,0.1197,1.7559,-0.2829,-0.1540,0.3221,0.0460,0.0012,-2.0298,1.8927,0.3946,-0.0475,0.3975,0.0354,-0.0117,2.1538
0.0098,0.1173,1.7545,-0.2829,-0.1540,0.3221,0.0444,0.0012,-2.0261,1.8919,0.3948,-0.0484,0.3978,0.0362,-0.0135,2.1478
0.0297,0.1150,1.7532,-0.2832,-0.1547,0.3227,0.0432,0.0041,-2.0225,1.8911,0.3957,-0.0493,0.3987,0.0373,-0.0171,2.1420
0.0300,0.1125,1.7518,-0.2832,-0.1547,0.3227,0.0414,0.0041,-2.0191,1.8903,0.3957,-0.0493,0.3987,0.0386,-0.0171,2.1361
0.0503,0.1104,1.7506,-0.2836,-0.1550,0.3232,0.0401,0.0042,-2.0156,1.8896,0.3971,-0.0517,0.4005,0.0391,-0.0224,2.1306
0.0507,0.1081,1.7494,-0.2836,-0.1550,0.3232,0.0386,0.0042,-2.0123,1.8889,0.3971,-0.0517,0.4005,0.0402,-0.0224,2.1249
0.0594,0.1059,1.7482,-0.2838,-0.1546,0.3231,0.0375,0.0063,-2.0090,1.8882,0.3985,-0.0536,0.4021,0.0411,-0.0250,2.1196
0.0599,0.1038,1.7470,-0.2838,-0.1546,0.3231,0.0361,0.0063,-2.0057,1.8875,0.3988,-0.0546,0.4025,0.0415,-0.0249,2.1142
0.0796,0.1014,1.7456,-0.2831,-0.1547,0.3226,0.0342,0.0077,-2.0022,1.8866,0.3990,-0.0556,0.4029,0.0420,-0.0292,2.1083
0.0800,0.0993,1.7444,-0.2833,-0.1553,0.3231,0.0329,0.0099,-1.9989,1.8857,0.3990,-0.0556,0.4029,0.0421,-0.0292,2.1029
0.0994,0.0968,1.7431,-0.2829,-0.1554,0.3228,0.0316,0.0111,-1.9954,1.8848,0.3997,-0.0581,0.4039,0.0427,-0.0218,2.0970
0.0998,0.0947,1.7421,-0.2831,-0.1555,0.3230,0.0304,0.0123,-1.9921,1.8840,0.4000,-0.0593,0.4044,0.0429,-0.0229,2.0916
0.1093,0.0921,1.7408,-0.2831,-0.1555,0.3230,0.0294,0.0135,-1.9884,1.8831,0.4011,-0.0605,0.4057,0.0432,-0.0234,2.0853
0.1098,0.0899,1.7397,-0.2831,-0.1555,0.3230,0.0284,0.0135,-1.9852,1.8823,0.4013,-0.0617,0.4060,0.0432,-0.0208,2.0800
0.1295,0.0875,1.7382,-0.2828,-0.1548,0.3224,0.0271,0.0146,-1.9815,1.8813,0.4013,-0.0629,0.4062,0.0431,-0.0117,2.0739
0.1298,0.0857,1.7373,-0.2828,-0.1548,0.3224,0.0265,0.0146,-1.9786,1.8806,0.4013,-0.0629,0.4062,0.0431,-0.0117,2.0693
0.1393,0.0833,1.7360,-0.2822,-0.1545,0.3218,0.0258,0.0103,-1.9750,1.8796,0.4016,-0.0654,0.4069,0.0430,-0.0079,2.0633
0.1396,0.0810,1.7347,-0.2822,-0.1545,0.3218,0.0251,0.0103,-1.9714,1.8786,0.4016,-0.0654,0.4069,0.0428,-0.0079,2.0575
0.1596,0.0789,1.7335,-0.2816,-0.1536,0.3208,0.0245,0.0079,-1.9676,1.8781,0.4029,-0.0680,0.4086,0.0427,-0.0087,2.0516
0.1599,0.0766,1.7322,-0.2811,-0.1534,0.3202,0.0238,0.0059,-1.9639,1.8775,0.4041,-0.0685,0.4099,0.0427,-0.0183,2.0456
0.1797,0.0746,1.7310,-0.2810,-0.1536,0.3202,0.0229,0.0065,-1.9609,1.8762,0.4053,-0.0693,0.4112,0.0427,-0.0278,2.0406
0.1800,0.0722,1.7296,-0.2810,-0.1536,0.3202,0.0219,0.0065,-1.9573,1.8748,0.4053,-0.0693,0.4112,0.0428,-0.0278,2.0347
0.1894,0.0701,1.7283,-0.2800,-0.1537,0.3194,0.0210,0.0099,-1.9536,1.8738,0.4046,-0.0737,0.4112,0.0427,-0.0146,2.0289
0.1897,0.0678,1.7270,-0.2800,-0.1537,0.3194,0.0200,0.0099,-1.9502,1.8726,0.4046,-0.0737,0.4112,0.0428,-0.0146,2.0233
0.2096,0.0658,1.7259,-0.2792,-0.1536,0.3186,0.0192,0.0134,-1.9469,1.8718,0.4047,-0.0769,0.4119,0.0426,-0.0089,2.0180
0.2193,0.0635,1.7246,-0.2789,-0.1532,0.3182,0.0180,0.0135,-1.9435,1.8706,0.4056,-0.0781,0.4130,0.0420,-0.0091,2.0123
0.2198,0.0615,1.7235,-0.2789,-0.1532,0.3182,0.0173,0.0135,-1.9403,1.8697,0.4057,-0.0798,0.4135,0.0399,-0.0050,2.0072
0.2394,0.0594,1.7224,-0.2782,-0.1525,0.3173,0.0168,0.0060,-1.9370,1.8686,0.4065,-0.0812,0.4145,0.0387,-0.0046,2.0018
0.2398,0.0573,1.7212,-0.2782,-0.1525,0.3173,0.0164,0.0060,-1.9335,1.8675,0.4065,-0.0812,0.4145,0.0376,-0.0046,1.9961
0.2495,0.0552,1.7199,-0.2770,-0.1522,0.3160,0.0160,0.0069,-1.9301,1.8665,0.4072,-0.0844,0.4158,0.0369,-0.0010,1.9907
0.2499,0.0531,1.7188,-0.2770,-0.1522,0.3160,0.0160,0.0069,-1.9267,1.8654,0.4072,-0.0844,0.4158,0.0349,-0.0010,1.9852
0.2692,0.0512,1.7177,-0.2753,-0.1518,0.3144,0.0157,0.0109,-1.9235,1.8645,0.4067,-0.0869,0.4159,0.0335,-0.0055,1.9801
0.2696,0.0489,1.7164,-0.2753,-0.1518,0.3144,0.0154,0.0109,-1.9200,1.8632,0.4067,-0.0869,0.4159,0.0313,-0.0055,1.9744
0.2794,0.0471,1.7154,-0.2739,-0.1510,0.3128,0.0151,0.0126,-1.9170,1.8621,0.4064,-0.0896,0.4162,0.0302,-0.0039,1.9696
0.2797,0.0447,1.7140,-0.2730,-0.1504,0.3117,0.0141,0.0126,-1.9134,1.8607,0.4060,-0.0910,0.4161,0.0282,-0.0010,1.9636
0.2995,0.0427,1.7128,-0.2730,-0.1505,0.3117,0.0135,0.0125,-1.9104,1.8597,0.4068,-0.0931,0.4174,0.0277,-0.0009,1.9586
0.3000,0.0407,1.7114,-0.2730,-0.1505,0.3117,0.0126,0.0125,-1.9071,1.8585,0.4068,-0.0931,0.4174,0.0273,-0.0009,1.9533
0.3195,0.0386,1.7102,-0.2710,-0.1496,0.3095,0.0117,0.0063,-1.9035,1.8574,0.4053,-0.0957,0.4165,0.0270,-0.0000,1.9477
0.3198,0.0365,1.7089,-0.2710,-0.1496,0.3095,0.0109,0.0063,-1.8999,1.8561,0.4064,-0.0972,0.4178,0.0263,-0.0006,1.9420
0.3396,0.0343,1.7076,-0.2705,-0.1501,0.3094,0.0099,0.0068,-1.8961,1.8549,0.4067,-0.0987,0.4185,0.0246,-0.0016,1.9361
