time_s,leader_x_m,leader_y_m,leader_vx_ms,leader_vy_ms,leader_v_ms,follower_x_m,follower_y_m,follower_vx_ms,follower_vy_ms,follower_v_ms,distance_m
0.0008,0.2170,1.8046,-0.2482,-0.1449,0.2874,-2.0111,1.9941,0.4192,0.0970,0.4302,2.2362
0.0012,0.2170,1.8046,-0.2482,-0.1449,0.2874,-2.0076,1.9951,0.4196,0.0984,0.4310,2.2328
0.0202,0.2145,1.8031,-0.2528,-0.1470,0.2924,-2.0037,1.9960,0.4204,0.0994,0.4320,2.2266
0.0206,0.2119,1.8014,-0.2528,-0.1470,0.2924,-1.9997,1.9970,0.4204,0.0994,0.4320,2.2202
0.0301,0.2091,1.7996,-0.2576,-0.1482,0.2972,-1.9956,1.9981,0.4227,0.1014,0.4347,2.2137
0.0305,0.2065,1.7980,-0.2576,-0.1482,0.2972,-1.9916,1.9992,0.4227,0.1014,0.4347,2.2073
0.0503,0.2039,1.7965,-0.2630,-0.1503,0.3029,-1.9881,2.0003,0.4260,0.1038,0.4385,2.2014
0.0508,0.2014,1.7951,-0.2630,-0.1503,0.3029,-1.9842,2.0014,0.4260,0.1038,0.4385,2.1953
0.0703,0.1990,1.7938,-0.2671,-0.1531,0.3078,-1.9804,2.0023,0.4280,0.1061,0.4409,2.1893
0.0706,0.1965,1.7925,-0.2671,-0.1531,0.3078,-1.9766,2.0033,0.4280,0.1061,0.4409,2.1832
0.0898,0.1939,1.7911,-0.2697,-0.1564,0.3117,-1.9727,2.0042,0.4287,0.1079,0.4420,2.1771
0.0901,0.1912,1.7896,-0.2697,-0.1564,0.3117,-1.9684,2.0053,0.4287,0.1079,0.4420,2.1704
0.1000,0.1888,1.7882,-0.2733,-0.1598,0.3166,-1.9646,2.0062,0.4319,0.1103,0.4458,2.1643
0.1004,0.1862,1.7868,-0.2733,-0.1598,0.3166,-1.9606,2.0072,0.4332,0.1111,0.4473,2.1582
0.1201,0.1838,1.7855,-0.2762,-0.1611,0.3198,-1.9568,2.0082,0.4336,0.1113,0.4477,2.1522
0.1205,0.1810,1.7838,-0.2762,-0.1611,0.3198,-1.9529,2.0094,0.4336,0.1113,0.4477,2.1458
0.1303,0.1785,1.7823,-0.2793,-0.1618,0.3228,-1.9489,2.0105,0.4353,0.1119,0.4495,2.1396
0.1306,0.1758,1.7808,-0.2819,-0.1628,0.3255,-1.9451,2.0115,0.4353,0.1119,0.4495,2.1335
0.1501,0.1734,1.7794,-0.2829,-0.1632,0.3266,-1.9415,2.0125,0.4372,0.1136,0.4517,2.1276
0.1508,0.1707,1.7781,-0.2843,-0.1640,0.3282,-1.9375,2.0137,0.4382,0.1144,0.4529,2.1214
0.1699,0.1683,1.7767,-0.2849,-0.1644,0.3290,-1.9336,2.0149,0.4382,0.1149,0.4530,2.1154
0.1702,0.1658,1.7754,-0.2849,-0.1644,0.3290,-1.9296,2.0161,0.4382,0.1149,0.4530,2.1092
0.1905,0.1632,1.7740,-0.2876,-0.1665,0.3323,-1.9257,2.0175,0.4409,0.1174,0.4562,2.1031
0.1910,0.1610,1.7727,-0.2876,-0.1665,0.3323,-1.9219,2.0187,0.4410,0.1181,0.4565,2.0974
0.2000,0.1581,1.7710,-0.2887,-0.1674,0.3337,-1.9177,2.0201,0.4416,0.1186,0.4573,2.0908
0.2004,0.1558,1.7697,-0.2887,-0.1674,0.3337,-1.9143,2.0211,0.4431,0.1200,0.4591,2.0854
0.2202,0.1534,1.7683,-0.2908,-0.1686,0.3361,-1.9104,2.0221,0.4433,0.1208,0.4595,2.0794
0.2205,0.1507,1.7667,-0.2908,-0.1686,0.3361,-1.9063,2.0232,0.4439,0.1218,0.4603,2.0729
0.2301,0.1483,1.7652,-0.2933,-0.1694,0.3387,-1.9024,2.0243,0.4461,0.1235,0.4629,2.0670
0.2304,0.1456,1.7637,-0.2933,-0.1694,0.3387,-1.8984,2.0253,0.4461,0.1235,0.4629,2.0606
0.2500,0.1434,1.7625,-0.2954,-0.1709,0.3413,-1.8948,2.0263,0.4489,0.1264,0.4664,2.0551
0.2503,0.1406,1.7610,-0.2954,-0.1709,0.3413,-1.8906,2.0277,0.4489,0.1264,0.4664,2.0486
0.2701,0.1382,1.7598,-0.2960,-0.1713,0.3420,-1.8871,2.0288,0.4505,0.1276,0.4682,2.0431
0.2705,0.1357,1.7584,-0.2960,-0.1713,0.3420,-1.8831,2.0299,0.4507,0.1273,0.4683,2.0370
0.2900,0.1332,1.7569,-0.2967,-0.1715,0.3427,-1.8792,2.0310,0.4522,0.1273,0.4697,2.0309
0.2904,0.1308,1.7555,-0.2967,-0.1715,0.3427,-1.8751,2.0321,0.4522,0.1273,0.4697,2.0249
0.3004,0.1287,1.7542,-0.2976,-0.1707,0.3431,-1.8716,2.0329,0.4541,0.1260,0.4712,2.0196
0.3008,0.1258,1.7522,-0.2975,-0.1702,0.3428,-1.8673,2.0343,0.4545,0.1256,0.4716,2.0129
0.3101,0.1235,1.7508,-0.2990,-0.1713,0.3446,-1.8634,2.0354,0.4557,0.1260,0.4728,2.0072
0.3104,0.1209,1.7492,-0.2990,-0.1713,0.3446,-1.8594,2.0366,0.4557,0.1260,0.4728,2.0010
0.3305,0.1183,1.7477,-0.2993,-0.1719,0.3452,-1.8555,2.0380,0.4576,0.1272,0.4749,1.9951
0.3311,0.1160,1.7466,-0.2996,-0.1725,0.3457,-1.8519,2.0392,0.4582,0.1282,0.4758,1.9895
0.3502,0.1136,1.7453,-0.3000,-0.1727,0.3462,-1.8481,2.0404,0.4587,0.1295,0.4766,1.9838
0.3506,0.1112,1.7439,-0.3000,-0.1727,0.3462,-1.8442,2.0417,0.4587,0.1295,0.4766,1.9779
0.3703,0.1085,1.7423,-0.3003,-0.1729,0.3466,-1.8400,2.0431,0.4595,0.1313,0.4779,1.9716
0.3706,0.1063,1.7410,-0.3003,-0.1729,0.3466,-1.8362,2.0442,0.4613,0.1321,0.4798,1.9660
0.3903,0.1038,1.7394,-0.3006,-0.1735,0.3471,-1.8322,2.0455,0.4614,0.1318,0.4799,1.9601
