time_s,leader_x_m,leader_y_m,leader_vx_ms,leader_vy_ms,leader_v_ms,follower_x_m,follower_y_m,follower_vx_ms,follower_vy_ms,follower_v_ms,distance_m
0.0007,-0.6189,1.2544,-0.0191,-0.2701,0.2708,-2.1109,1.3157,0.3301,-0.2708,0.4269,1.4932
0.0009,-0.6189,1.2544,-0.0191,-0.2701,0.2708,-2.1080,1.3133,0.3301,-0.2708,0.4269,1.4902
0.0201,-0.6190,1.2523,-0.0181,-0.2699,0.2705,-2.1051,1.3107,0.3324,-0.2750,0.4314,1.4873
0.0205,-0.6191,1.2501,-0.0176,-0.2694,0.2699,-2.1025,1.3081,0.3327,-0.2765,0.4326,1.4846
0.0402,-0.6191,1.2477,-0.0173,-0.2695,0.2701,-2.0998,1.3055,0.3336,-0.2790,0.4348,1.4818
0.0406,-0.6192,1.2456,-0.0173,-0.2695,0.2701,-2.0972,1.3028,0.3336,-0.2805,0.4359,1.4792
0.0500,-0.6192,1.2435,-0.0161,-0.2689,0.2694,-2.0947,1.3003,0.3339,-0.2823,0.4372,1.4767
0.0504,-0.6192,1.2412,-0.0161,-0.2689,0.2694,-2.0918,1.2976,0.3332,-0.2837,0.4376,1.4737
0.0703,-0.6191,1.2390,-0.0148,-0.2687,0.2691,-2.0885,1.2948,0.3340,-0.2857,0.4395,1.4705
0.0706,-0.6191,1.2368,-0.0148,-0.2687,0.2691,-2.0853,1.2921,0.3340,-0.2857,0.4395,1.4672
0.0902,-0.6191,1.2347,-0.0138,-0.2686,0.2689,-2.0822,1.2896,0.3365,-0.2895,0.4439,1.4640
0.0907,-0.6192,1.2326,-0.0134,-0.2685,0.2689,-2.0789,1.2869,0.3375,-0.2909,0.4456,1.4608
0.0999,-0.6192,1.2305,-0.0130,-0.2681,0.2684,-2.0760,1.2842,0.3381,-0.2922,0.4469,1.4578
0.1004,-0.6193,1.2282,-0.0130,-0.2681,0.2684,-2.0731,1.2817,0.3381,-0.2922,0.4469,1.4548
