time_s,leader_x_m,leader_y_m,leader_vx_map_ms,leader_vy_map_ms,leader_v_ms,leader_yaw_rad,leader_omega_rads,follower_x_m,follower_y_m,follower_vx_map_ms,follower_vy_map_ms,follower_v_ms,follower_yaw_rad,follower_omega_rads,distance_m
0.0008,0.1772,1.7856,-0.2709,-0.1529,0.3111,0.0710,-0.0120,-2.1135,1.9012,0.3650,-0.0569,0.3694,-0.1579,0.0199,2.2936
0.0011,0.1772,1.7856,-0.2709,-0.1529,0.3111,0.0710,-0.0120,-2.1103,1.9006,0.3650,-0.0569,0.3694,-0.1571,0.0199,2.2904
0.0015,0.1747,1.7842,-0.2720,-0.1537,0.3124,0.0698,-0.0099,-2.1071,1.9001,0.3658,-0.0575,0.3703,-0.1565,0.0159,2.2847
0.0018,0.1722,1.7830,-0.2736,-0.1547,0.3143,0.0688,-0.0071,-2.1038,1.8996,0.3675,-0.0583,0.3721,-0.1550,0.0142,2.2791
0.0499,0.1698,1.7817,-0.2761,-0.1550,0.3167,0.0675,-0.0033,-2.1006,1.8990,0.3698,-0.0594,0.3745,-0.1539,0.0097,2.2734
0.0503,0.1670,1.7802,-0.2761,-0.1550,0.3167,0.0661,-0.0033,-2.0908,1.8974,0.3698,-0.0594,0.3745,-0.1499,0.0097,2.2608
0.0506,0.1622,1.7778,-0.2775,-0.1552,0.3180,0.0635,-0.0027,-2.0877,1.8969,0.3720,-0.0607,0.3769,-0.1477,0.0066,2.2530
0.0508,0.1597,1.7765,-0.2790,-0.1554,0.3193,0.0623,-0.0039,-2.0846,1.8965,0.3730,-0.0616,0.3781,-0.1462,0.0041,2.2475
0.0511,0.1573,1.7752,-0.2805,-0.1555,0.3208,0.0611,-0.0084,-2.0812,1.8961,0.3737,-0.0621,0.3788,-0.1442,0.0097,2.2418
0.0513,0.1549,1.7738,-0.2817,-0.1560,0.3220,0.0601,-0.0088,-2.0782,1.8957,0.3734,-0.0622,0.3785,-0.1425,0.0159,2.2364
0.0798,0.1499,1.7708,-0.2830,-0.1574,0.3238,0.0574,-0.0068,-2.0749,1.8952,0.3746,-0.0619,0.3796,-0.1418,0.0129,2.2283
0.0803,0.1477,1.7695,-0.2830,-0.1574,0.3238,0.0561,-0.0068,-2.0716,1.8949,0.3746,-0.0619,0.3796,-0.1396,0.0129,2.2228
0.0898,0.1451,1.7681,-0.2844,-0.1588,0.3258,0.0545,-0.0021,-2.0683,1.8944,0.3764,-0.0620,0.3815,-0.1382,-0.0039,2.2170
0.0900,0.1426,1.7667,-0.2844,-0.1588,0.3258,0.0529,-0.0021,-2.0649,1.8936,0.3764,-0.0620,0.3815,-0.1365,-0.0039,2.2111
0.1097,0.1404,1.7657,-0.2858,-0.1595,0.3273,0.0519,-0.0006,-2.0620,1.8930,0.3776,-0.0629,0.3828,-0.1359,0.0059,2.2061
0.1100,0.1380,1.7646,-0.2858,-0.1595,0.3273,0.0508,-0.0006,-2.0590,1.8925,0.3776,-0.0629,0.3828,-0.1344,0.0059,2.2008
0.1198,0.1354,1.7632,-0.2862,-0.1591,0.3274,0.0492,-0.0010,-2.0555,1.8919,0.3775,-0.0633,0.3828,-0.1335,0.0060,2.1946
0.1201,0.1332,1.7621,-0.2871,-0.1597,0.3285,0.0484,-0.0020,-2.0526,1.8914,0.3782,-0.0639,0.3835,-0.1325,0.0029,2.1897
0.1397,0.1305,1.7606,-0.2872,-0.1597,0.3286,0.0472,-0.0008,-2.0490,1.8908,0.3783,-0.0641,0.3837,-0.1298,0.0041,2.1835
0.1400,0.1283,1.7593,-0.2872,-0.1597,0.3286,0.0463,-0.0008,-2.0458,1.8901,0.3783,-0.0641,0.3837,-0.1282,0.0041,2.1780
0.1499,0.1261,1.7580,-0.2886,-0.1608,0.3303,0.0456,0.0041,-2.0428,1.8894,0.3802,-0.0650,0.3858,-0.1260,0.0189,2.1728
0.1503,0.1236,1.7567,-0.2886,-0.1608,0.3303,0.0446,0.0041,-2.0392,1.8887,0.3796,-0.0653,0.3852,-0.1247,0.0220,2.1668
0.1699,0.1213,1.7553,-0.2888,-0.1607,0.3305,0.0439,0.0025,-2.0362,1.8882,0.3805,-0.0658,0.3862,-0.1234,0.0179,2.1617
0.1702,0.1188,1.7537,-0.2888,-0.1607,0.3305,0.0428,0.0025,-2.0328,1.8876,0.3805,-0.0658,0.3862,-0.1217,0.0179,2.1557
0.1797,0.1164,1.7523,-0.2891,-0.1613,0.3310,0.0420,0.0031,-2.0298,1.8870,0.3812,-0.0661,0.3869,-0.1202,0.0113,2.1504
0.1997,0.1137,1.7508,-0.2892,-0.1618,0.3314,0.0408,0.0034,-2.0262,1.8862,0.3815,-0.0662,0.3872,-0.1163,0.0098,2.1442
0.1999,0.1118,1.7499,-0.2892,-0.1618,0.3314,0.0400,0.0034,-2.0234,1.8858,0.3815,-0.0662,0.3872,-0.1151,0.0098,2.1395
0.2102,0.1090,1.7485,-0.2890,-0.1620,0.3313,0.0387,0.0125,-2.0198,1.8851,0.3818,-0.0664,0.3875,-0.1127,0.0081,2.1332
0.2107,0.1067,1.7474,-0.2890,-0.1620,0.3313,0.0378,0.0125,-2.0168,1.8847,0.3818,-0.0664,0.3875,-0.1108,0.0081,2.1280
0.2298,0.1043,1.7462,-0.2900,-0.1620,0.3322,0.0365,0.0170,-2.0136,1.8841,0.3830,-0.0664,0.3887,-0.1088,0.0041,2.1224
0.2300,0.1021,1.7452,-0.2900,-0.1620,0.3322,0.0354,0.0170,-2.0104,1.8835,0.3830,-0.0664,0.3887,-0.1073,0.0041,2.1171
0.2498,0.0997,1.7439,-0.2894,-0.1603,0.3308,0.0341,0.0048,-2.0072,1.8829,0.3829,-0.0666,0.3886,-0.1049,0.0083,2.1115
0.2501,0.0973,1.7425,-0.2894,-0.1603,0.3308,0.0330,0.0048,-2.0037,1.8823,0.3829,-0.0666,0.3886,-0.1032,0.0083,2.1056
0.2600,0.0949,1.7412,-0.2897,-0.1606,0.3312,0.0318,-0.0022,-2.0005,1.8817,0.3841,-0.0671,0.3900,-0.1018,0.0100,2.1001
0.2603,0.0924,1.7398,-0.2894,-0.1608,0.3310,0.0306,-0.0012,-1.9971,1.8811,0.3845,-0.0670,0.3902,-0.0992,0.0097,2.0943
