time_s,leader_x_m,leader_y_m,leader_vx_ms,leader_vy_ms,leader_v_ms,follower_x_m,follower_y_m,follower_vx_ms,follower_vy_ms,follower_v_ms,distance_m
0.0425,1.5805,0.4935,-0.2961,0.0483,0.3000,0.8079,0.5015,-0.0025,0.1145,0.1145,0.7726
0.0769,1.5686,0.4953,-0.2972,0.0411,0.3000,0.8070,0.5069,-0.0150,0.1100,0.1110,0.7617
0.1433,1.5508,0.4974,-0.2985,0.0305,0.3000,0.8057,0.5119,-0.0215,0.1038,0.1060,0.7452
0.1779,1.5388,0.4985,-0.2991,0.0233,0.3000,0.8041,0.5170,-0.0256,0.1039,0.1070,0.7349
0.2432,1.5208,0.4996,-0.2997,0.0125,0.3000,0.8021,0.5221,-0.0291,0.1063,0.1102,0.7190
0.2777,1.5088,0.4999,-0.3000,0.0053,0.3000,0.7992,0.5276,-0.0423,0.1152,0.1227,0.7101
0.3442,1.4908,0.4999,-0.2999,-0.0055,0.3000,0.7957,0.5329,-0.0535,0.1140,0.1259,0.6960
0.3777,1.4788,0.4996,-0.2997,-0.0127,0.3000,0.7912,0.5376,-0.0698,0.1051,0.1262,0.6886
0.4439,1.4609,0.4985,-0.2991,-0.0235,0.3000,0.7858,0.5417,-0.0941,0.1009,0.1379,0.6765
0.4777,1.4489,0.4974,-0.2984,-0.0307,0.3000,0.7788,0.5457,-0.1235,0.0983,0.1578,0.6718
0.5480,1.4311,0.4952,-0.2971,-0.0414,0.3000,0.7704,0.5498,-0.1531,0.1015,0.1837,0.6629
0.5777,1.4192,0.4934,-0.2961,-0.0485,0.3000,0.7605,0.5543,-0.1795,0.1092,0.2101,0.6615
0.6433,1.4015,0.4902,-0.2941,-0.0591,0.3000,0.7497,0.5585,-0.1965,0.1054,0.2230,0.6553
0.6765,1.3897,0.4877,-0.2926,-0.0662,0.3000,0.7379,0.5615,-0.2253,0.0950,0.2445,0.6560
0.7433,1.3723,0.4834,-0.2900,-0.0766,0.3000,0.7246,0.5650,-0.2495,0.1063,0.2712,0.6528
0.7765,1.3607,0.4802,-0.2881,-0.0836,0.3000,0.7111,0.5690,-0.2630,0.1055,0.2834,0.6557
0.8433,1.3435,0.4749,-0.2849,-0.0939,0.3000,0.6960,0.5732,-0.2866,0.1004,0.3036,0.6550
0.8779,1.3321,0.4710,-0.2826,-0.1007,0.3000,0.6794,0.5769,-0.3094,0.0870,0.3214,0.6613
0.9433,1.3153,0.4646,-0.2788,-0.1108,0.3000,0.6621,0.5800,-0.3409,0.0733,0.3487,0.6633
0.9779,1.3042,0.4601,-0.2760,-0.1175,0.3000,0.6436,0.5823,-0.3607,0.0578,0.3653,0.6718
1.0433,1.2878,0.4527,-0.2716,-0.1273,0.3000,0.6250,0.5841,-0.3784,0.0418,0.3807,0.6757
1.0778,1.2770,0.4475,-0.2685,-0.1338,0.3000,0.6050,0.5856,-0.3933,0.0356,0.3950,0.6860
1.1480,1.2610,0.4392,-0.2635,-0.1434,0.3000,0.5858,0.5873,-0.3940,0.0322,0.3953,0.6913
1.1777,1.2505,0.4333,-0.2600,-0.1497,0.3000,0.5656,0.5895,-0.4113,0.0322,0.4126,0.7025
1.2442,1.2351,0.4241,-0.2544,-0.1589,0.3000,0.5438,0.5922,-0.4294,0.0342,0.4308,0.7115
1.2766,1.2250,0.4176,-0.2505,-0.1650,0.3000,0.5209,0.5950,-0.4478,0.0309,0.4489,0.7261
1.3431,1.2102,0.4074,-0.2445,-0.1739,0.3000,0.4977,0.5984,-0.4717,0.0367,0.4731,0.7376
1.3766,1.2004,0.4003,-0.2402,-0.1797,0.3000,0.4732,0.6010,-0.4824,0.0113,0.4825,0.7545
1.4433,1.1863,0.3893,-0.2336,-0.1882,0.3000,0.4486,0.6033,-0.4892,-0.0062,0.4893,0.7681
1.4778,1.1770,0.3816,-0.2290,-0.1938,0.3000,0.4234,0.6056,-0.4937,-0.0090,0.4938,0.7861
1.5432,1.1635,0.3698,-0.2219,-0.2019,0.3000,0.3990,0.6073,-0.4957,-0.0328,0.4968,0.8005
1.5767,1.1547,0.3616,-0.2170,-0.2072,0.3000,0.3732,0.6085,-0.5116,-0.0409,0.5133,0.8195
1.6432,1.1419,0.3490,-0.2094,-0.2149,0.3000,0.3475,0.6090,-0.5125,-0.0601,0.5161,0.8359
1.6841,1.1336,0.3402,-0.2041,-0.2199,0.3000,0.3211,0.6087,-0.5178,-0.0891,0.5254,0.8557
1.7442,1.1216,0.3268,-0.1961,-0.2270,0.3000,0.2946,0.6084,-0.5187,-0.1040,0.5290,0.8736
1.7776,1.1139,0.3177,-0.1906,-0.2317,0.3000,0.2676,0.6071,-0.5200,-0.1349,0.5372,0.8944
1.8447,1.1027,0.3035,-0.1821,-0.2384,0.3000,0.2402,0.6056,-0.5230,-0.1565,0.5460,0.9139
1.8776,1.0955,0.2939,-0.1764,-0.2427,0.3000,0.2120,0.6031,-0.5223,-0.1784,0.5520,0.9361
1.9435,1.0852,0.2792,-0.1675,-0.2489,0.3000,0.1851,0.6014,-0.5153,-0.1813,0.5462,0.9560
1.9779,1.0786,0.2691,-0.1615,-0.2528,0.3000,0.1573,0.5990,-0.5176,-0.2123,0.5594,0.9785
2.0432,1.0692,0.2539,-0.1523,-0.2585,0.3000,0.1297,0.5961,-0.5001,-0.2339,0.5521,0.9999
2.0779,1.0632,0.2434,-0.1460,-0.2621,0.3000,0.1019,0.5932,-0.4843,-0.2458,0.5431,1.0230
2.1433,1.0548,0.2276,-0.1365,-0.2671,0.3000,0.0750,0.5903,-0.4795,-0.2539,0.5426,1.0448
2.1779,1.0494,0.2168,-0.1301,-0.2703,0.3000,0.0483,0.5874,-0.4705,-0.2653,0.5401,1.0675
2.2433,1.0419,0.2004,-0.1203,-0.2748,0.3000,0.0213,0.5844,-0.4616,-0.2768,0.5382,1.0905
2.2778,1.0372,0.1894,-0.1136,-0.2777,0.3000,-0.0068,0.5808,-0.4573,-0.2961,0.5448,1.1150
2.3456,1.0307,0.1726,-0.1036,-0.2816,0.3000,-0.0337,0.5771,-0.4494,-0.3139,0.5481,1.1387
2.3776,1.0267,0.1613,-0.0968,-0.2840,0.3000,-0.0611,0.5724,-0.4349,-0.3321,0.5472,1.1630
2.4430,1.0212,0.1442,-0.0865,-0.2873,0.3000,-0.0884,0.5679,-0.4286,-0.3321,0.5422,1.1878
2.4776,1.0179,0.1326,-0.0796,-0.2893,0.3000,-0.1152,0.5628,-0.4017,-0.3482,0.5317,1.2121
2.5451,1.0135,0.1152,-0.0691,-0.2919,0.3000,-0.1417,0.5566,-0.3733,-0.3669,0.5234,1.2366
2.5974,1.0105,0.1020,-0.0612,-0.2937,0.3000,-0.1666,0.5507,-0.3631,-0.3683,0.5172,1.2597
2.6458,1.0074,0.0857,-0.0514,-0.2956,0.3000,-0.1920,0.5433,-0.3393,-0.3901,0.5171,1.2837
2.6827,1.0055,0.0739,-0.0443,-0.2967,0.3000,-0.2167,0.5348,-0.3222,-0.4046,0.5172,1.3062
2.7430,1.0032,0.0561,-0.0337,-0.2981,0.3000,-0.2402,0.5252,-0.2899,-0.4195,0.5100,1.3289
2.7772,1.0020,0.0442,-0.0265,-0.2988,0.3000,-0.0429,0.2539,-0.2752,-0.4270,0.5080,1.0657
2.8426,1.0007,0.0262,-0.0157,-0.2996,0.3000,-0.0657,0.2424,-0.2560,-0.4323,0.5024,1.0881
2.8777,1.0002,0.0142,-0.0085,-0.2999,0.3000,-0.0879,0.2308,-0.2479,-0.4282,0.4948,1.1094
2.9435,1.0000,-0.0038,0.0023,-0.3000,0.3000,-0.1098,0.2189,-0.2401,-0.4324,0.4946,1.1319
2.9772,1.0003,-0.0158,0.0095,-0.2998,0.3000,-0.1309,0.2064,-0.2192,-0.4336,0.4858,1.1528
3.0454,1.0011,-0.0337,0.0202,-0.2993,0.3000,-0.1517,0.1928,-0.2070,-0.4453,0.4910,1.1749
3.0765,1.0021,-0.0457,0.0274,-0.2987,0.3000,-0.1722,0.1785,-0.1968,-0.4491,0.4904,1.1955
3.1442,1.0041,-0.0636,0.0381,-0.2976,0.3000,-0.1917,0.1634,-0.1744,-0.4544,0.4867,1.2171
3.1776,1.0057,-0.0755,0.0453,-0.2966,0.3000,-0.2094,0.1483,-0.1527,-0.4489,0.4741,1.2356
3.2442,1.0088,-0.0932,0.0559,-0.2947,0.3000,-0.2268,0.1323,-0.1365,-0.4539,0.4740,1.2560
3.2776,1.0112,-0.1050,0.0630,-0.2933,0.3000,-0.2432,0.1147,-0.1012,-0.4541,0.4653,1.2734
3.3440,1.0152,-0.1225,0.0735,-0.2909,0.3000,-0.2578,0.0972,-0.0816,-0.4524,0.4597,1.2918
3.3777,1.0183,-0.1341,0.0805,-0.2890,0.3000,-0.2708,0.0782,-0.0501,-0.4482,0.4510,1.3065
3.4434,1.0235,-0.1514,0.0908,-0.2859,0.3000,-0.2829,0.0593,-0.0433,-0.4541,0.4562,1.3232
3.4777,1.0272,-0.1628,0.0977,-0.2837,0.3000,-0.2942,0.0393,-0.0267,-0.4529,0.4536,1.3368
3.5431,1.0334,-0.1796,0.1078,-0.2800,0.3000,-0.3040,0.0196,-0.0071,-0.4458,0.4459,1.3522
3.5780,1.0379,-0.1908,0.1145,-0.2773,0.3000,-0.3131,-0.0014,0.0106,-0.4464,0.4466,1.3641
3.6431,1.0450,-0.2073,0.1244,-0.2730,0.3000,-0.3202,-0.0220,0.0292,-0.4426,0.4435,1.3777
3.6776,1.0501,-0.2182,0.1309,-0.2699,0.3000,-0.3269,-0.0435,0.0356,-0.4446,0.4460,1.3881
3.7455,1.0582,-0.2342,0.1405,-0.2651,0.3000,-0.3318,-0.0656,0.0630,-0.4442,0.4486,1.4002
3.7771,1.0640,-0.2448,0.1469,-0.2616,0.3000,-0.3355,-0.0875,0.0715,-0.4411,0.4468,1.4084
3.8431,1.0731,-0.2603,0.1562,-0.2561,0.3000,-0.3386,-0.1098,0.0803,-0.4399,0.4471,1.4197
3.8777,1.0795,-0.2705,0.1623,-0.2523,0.3000,-0.3401,-0.1326,0.1057,-0.4362,0.4488,1.4263
3.9442,1.0895,-0.2854,0.1712,-0.2463,0.3000,-0.3405,-0.1547,0.1216,-0.4311,0.4479,1.4359
3.9775,1.0965,-0.2952,0.1771,-0.2421,0.3000,-0.3398,-0.1775,0.1409,-0.4256,0.4483,1.4411
4.0477,1.1073,-0.3095,0.1857,-0.2356,0.3000,-0.3374,-0.1998,0.1708,-0.4183,0.4519,1.4489
4.0777,1.1149,-0.3189,0.1913,-0.2311,0.3000,-0.3331,-0.2231,0.2042,-0.4221,0.4689,1.4512
4.1442,1.1266,-0.3325,0.1995,-0.2241,0.3000,-0.3278,-0.2464,0.2166,-0.4143,0.4675,1.4569
4.1777,1.1347,-0.3414,0.2048,-0.2192,0.3000,-0.3219,-0.2696,0.2328,-0.4178,0.4783,1.4583
4.2441,1.1472,-0.3543,0.2126,-0.2117,0.3000,-0.3152,-0.2935,0.2504,-0.4204,0.4893,1.4637
4.2776,1.1558,-0.3627,0.2176,-0.2065,0.3000,-0.3075,-0.3179,0.2767,-0.4209,0.5037,1.4640
4.3454,1.1691,-0.3748,0.2249,-0.1986,0.3000,-0.2997,-0.3415,0.2711,-0.4195,0.4995,1.4692
4.3777,1.1782,-0.3827,0.2296,-0.1931,0.3000,-0.2912,-0.3654,0.2726,-0.4114,0.4935,1.4695
4.4441,1.1921,-0.3940,0.2364,-0.1847,0.3000,-0.2828,-0.3891,0.2853,-0.4161,0.5045,1.4750
4.4776,1.2017,-0.4013,0.2408,-0.1790,0.3000,-0.2732,-0.4136,0.3114,-0.4205,0.5233,1.4750
4.5454,1.2163,-0.4117,0.2470,-0.1702,0.3000,-0.2624,-0.4373,0.3425,-0.4090,0.5335,1.4789
4.5896,1.2275,-0.4192,0.2515,-0.1635,0.3000,-0.2503,-0.4610,0.3598,-0.3936,0.5333,1.4784
4.6453,1.2416,-0.4281,0.2568,-0.1550,0.3000,-0.2374,-0.4854,0.3691,-0.3841,0.5327,1.4801
4.6787,1.2519,-0.4341,0.2605,-0.1488,0.3000,-0.2239,-0.5086,0.3906,-0.3715,0.5391,1.4777
4.7432,1.2677,-0.4427,0.2656,-0.1394,0.3000,-0.2094,-0.5315,0.4075,-0.3525,0.5388,1.4797
4.7762,1.2784,-0.4482,0.2689,-0.1330,0.3000,0.0035,-0.5943,0.4210,-0.3442,0.5438,1.2832
4.8429,1.2946,-0.4559,0.2735,-0.1232,0.3000,0.0195,-0.6179,0.4479,-0.3336,0.5585,1.2854
4.8772,1.3057,-0.4607,0.2764,-0.1166,0.3000,0.0359,-0.6407,0.4645,-0.3189,0.5634,1.2825
4.9432,1.3223,-0.4674,0.2804,-0.1066,0.3000,0.0525,-0.6634,0.4661,-0.3081,0.5587,1.2849
4.9775,1.3336,-0.4715,0.2829,-0.0998,0.3000,0.0698,-0.6856,0.4772,-0.2912,0.5590,1.2819
5.0435,1.3507,-0.4772,0.2863,-0.0896,0.3000,0.0882,-0.7083,0.5017,-0.2888,0.5789,1.2835
5.0776,1.3622,-0.4806,0.2884,-0.0827,0.3000,0.1059,-0.7297,0.4809,-0.2640,0.5486,1.2808
5.1452,1.3796,-0.4853,0.2912,-0.0723,0.3000,0.1235,-0.7510,0.4921,-0.2606,0.5569,1.2839
5.1776,1.3913,-0.4880,0.2928,-0.0652,0.3000,0.1412,-0.7721,0.4864,-0.2474,0.5457,1.2819
5.2430,1.4089,-0.4916,0.2950,-0.0547,0.3000,0.1583,-0.7921,0.4833,-0.2361,0.5378,1.2862
5.2834,1.4210,-0.4937,0.2962,-0.0474,0.3000,0.1764,-0.8121,0.4880,-0.2180,0.5345,1.2846
5.3439,1.4385,-0.4962,0.2977,-0.0369,0.3000,0.1948,-0.8314,0.4893,-0.2050,0.5305,1.2880
5.3767,1.4505,-0.4975,0.2985,-0.0297,0.3000,0.2132,-0.8497,0.4812,-0.1884,0.5167,1.2864
5.4432,1.4684,-0.4990,0.2994,-0.0190,0.3000,0.2316,-0.8673,0.4762,-0.1702,0.5057,1.2904
5.4763,1.4804,-0.4996,0.2998,-0.0118,0.3000,0.2507,-0.8838,0.4801,-0.1495,0.5029,1.2884
5.5431,1.4984,-0.5000,0.3000,-0.0010,0.3000,0.2697,-0.8990,0.4713,-0.1243,0.4874,1.2918
5.5776,1.5104,-0.4999,0.2999,0.0063,0.3000,0.2893,-0.9132,0.4660,-0.1014,0.4769,1.2892
5.6431,1.5284,-0.4992,0.2995,0.0170,0.3000,0.3086,-0.9257,0.4636,-0.0809,0.4706,1.2922
5.6776,1.5404,-0.4984,0.2990,0.0242,0.3000,0.3286,-0.9374,0.4553,-0.0616,0.4595,1.2889
5.7447,1.5583,-0.4966,0.2980,0.0350,0.3000,0.3488,-0.9476,0.4630,-0.0420,0.4649,1.2909
5.7775,1.5702,-0.4950,0.2970,0.0421,0.3000,0.3708,-0.9577,0.4685,-0.0322,0.4696,1.2855
5.8434,1.5880,-0.4922,0.2953,0.0528,0.3000,0.3918,-0.9666,0.4613,-0.0212,0.4617,1.2868
5.8781,1.5998,-0.4899,0.2940,0.0599,0.3000,0.4136,-0.9745,0.4530,-0.0034,0.4530,1.2814
5.9426,1.6173,-0.4861,0.2916,0.0704,0.3000,0.4343,-0.9806,0.4469,0.0191,0.4473,1.2822
5.9766,1.6289,-0.4831,0.2899,0.0774,0.3000,0.4564,-0.9862,0.4485,0.0352,0.4499,1.2760
6.0432,1.6462,-0.4782,0.2869,0.0877,0.3000,0.4783,-0.9906,0.4436,0.0516,0.4466,1.2754
6.0777,1.6577,-0.4745,0.2847,0.0946,0.3000,0.5005,-0.9942,0.4454,0.0650,0.4501,1.2685
6.1431,1.6746,-0.4685,0.2811,0.1048,0.3000,0.5225,-0.9963,0.4369,0.0833,0.4448,1.2672
6.1777,1.6858,-0.4642,0.2785,0.1115,0.3000,0.5443,-0.9970,0.4232,0.1053,0.4361,1.2597
6.2431,1.7024,-0.4572,0.2743,0.1214,0.3000,0.5663,-0.9963,0.4221,0.1241,0.4399,1.2575
6.2777,1.7133,-0.4522,0.2713,0.1280,0.3000,0.5900,-0.9939,0.4291,0.1600,0.4580,1.2471
6.3430,1.7294,-0.4443,0.2666,0.1377,0.3000,0.6125,-0.9899,0.4272,0.1869,0.4663,1.2431
6.3765,1.7401,-0.4386,0.2632,0.1440,0.3000,0.6355,-0.9850,0.4215,0.1990,0.4661,1.2324
6.4441,1.7557,-0.4297,0.2578,0.1534,0.3000,0.6581,-0.9793,0.4240,0.2211,0.4781,1.2275
6.4777,1.7659,-0.4234,0.2540,0.1596,0.3000,0.6811,-0.9718,0.4172,0.2477,0.4852,1.2156
6.5447,1.7810,-0.4136,0.2482,0.1686,0.3000,0.7040,-0.9633,0.4114,0.2624,0.4879,1.2092
6.5779,1.7909,-0.4067,0.2440,0.1745,0.3000,0.7278,-0.9545,0.4199,0.2662,0.4972,1.1959
6.6461,1.8053,-0.3959,0.2376,0.1832,0.3000,0.7515,-0.9449,0.4219,0.2829,0.5080,1.1882
6.6793,1.8147,-0.3885,0.2331,0.1888,0.3000,0.7751,-0.9341,0.4184,0.2980,0.5136,1.1741
