time_s,leader_x_m,leader_y_m,leader_vx_ms,leader_vy_ms,leader_v_ms,follower_x_m,follower_y_m,follower_vx_ms,follower_vy_ms,follower_v_ms,distance_m
0.0030,-1.6862,0.2077,0.2861,0.1480,0.3222,3.0076,0.0034,0.0194,-0.0236,0.0305,4.6982
0.1029,-1.6592,0.2222,0.2875,0.1413,0.3204,3.0018,0.0072,-0.1022,0.0581,0.1175,4.6660
0.2078,-1.6347,0.2364,0.2515,0.1289,0.2826,2.9856,0.0119,-0.1524,0.0643,0.1654,4.6257
0.3048,-1.6035,0.2520,0.3049,0.1496,0.3396,2.9643,0.0246,-0.2192,0.1187,0.2493,4.5735
0.4039,-1.5768,0.2664,0.3069,0.1316,0.3339,2.9402,0.0328,-0.2464,0.0993,0.2656,4.5231
0.5055,-1.5529,0.2807,0.2446,0.1356,0.2797,2.9117,0.0502,-0.2891,0.1606,0.3307,4.4705
0.6059,-1.5262,0.2932,0.2648,0.1250,0.2928,2.8790,0.0647,-0.3261,0.1561,0.3615,4.4111
0.7125,-1.4953,0.3089,0.3110,0.1465,0.3438,2.8423,0.0803,-0.3656,0.1626,0.4001,4.3436
0.8112,-1.4711,0.3197,0.2602,0.1205,0.2867,2.8055,0.1008,-0.3748,0.1788,0.4152,4.2822
0.9087,-1.4410,0.3326,0.2789,0.1008,0.2966,2.7670,0.1196,-0.3874,0.1892,0.4311,4.2134
1.0087,-1.4134,0.3460,0.2933,0.1252,0.3189,2.7281,0.1416,-0.3914,0.1961,0.4378,4.1465
1.1093,-1.3871,0.3570,0.2760,0.1102,0.2972,2.6869,0.1666,-0.4094,0.2391,0.4741,4.0784
1.2163,-1.3565,0.3711,0.2972,0.1192,0.3202,2.6473,0.1866,-0.3812,0.2062,0.4334,4.0081
1.3117,-1.3247,0.3817,0.3039,0.1218,0.3274,2.6052,0.2128,-0.4121,0.2477,0.4808,3.9336
1.4118,-1.2956,0.3881,0.2925,0.0721,0.3013,2.5617,0.2359,-0.4332,0.2365,0.4936,3.8603
1.5123,-1.2672,0.3985,0.2981,0.0883,0.3109,2.5182,0.2588,-0.4359,0.2303,0.4930,3.7880
1.6106,-1.2390,0.4050,0.2911,0.0736,0.3003,2.4783,0.2811,-0.4135,0.2321,0.4741,3.7193
1.7113,-1.2067,0.4135,0.2950,0.0628,0.3017,2.4330,0.3034,-0.4435,0.2251,0.4974,3.6413
1.8109,-1.1751,0.4223,0.3129,0.0758,0.3219,2.3911,0.3282,-0.4217,0.2386,0.4845,3.5675
1.9120,-1.1532,0.4431,0.3066,0.0591,0.3122,2.3483,0.3478,-0.4269,0.2047,0.4734,3.5028
2.0118,-1.1265,0.4471,0.2772,0.0323,0.2791,2.3012,0.3702,-0.4583,0.2073,0.5030,3.4286
2.1139,-1.0936,0.4499,0.2979,0.0157,0.2984,2.2570,0.3884,-0.4452,0.1845,0.4819,3.3512
