time_s,leader_x_m,leader_y_m,leader_vx_ms,leader_vy_ms,leader_v_ms,follower_x_m,follower_y_m,follower_vx_ms,follower_vy_ms,follower_v_ms,distance_m
0.0030,-1.8339,0.1120,0.0497,-0.2610,0.2657,2.6671,0.0354,-0.4332,-0.0425,0.4352,4.5017
0.1007,-1.8310,0.0862,0.0226,-0.2651,0.2661,2.6240,0.0346,-0.4293,-0.0409,0.4312,4.4554
0.1992,-1.8293,0.0597,0.0103,-0.2651,0.2653,2.5818,0.0302,-0.4256,-0.0481,0.4283,4.4113
0.3025,-1.8298,0.0354,-0.0187,-0.2514,0.2521,2.5412,0.0237,-0.4367,-0.0416,0.4387,4.3710
0.4026,-1.8303,0.0078,-0.0147,-0.2706,0.2710,2.4982,0.0144,-0.4325,-0.0879,0.4413,4.3285
0.5034,-1.8301,-0.0140,-0.0278,-0.2336,0.2353,2.4538,0.0044,-0.4524,-0.0918,0.4617,4.2839
0.6038,-1.8302,-0.0414,-0.0144,-0.2653,0.2657,2.4093,-0.0062,-0.4470,-0.1094,0.4602,4.2396
0.7049,-1.8338,-0.0677,-0.0259,-0.2602,0.2615,2.3661,-0.0191,-0.4366,-0.1278,0.4549,4.2002
0.8071,-1.8317,-0.1013,-0.0378,-0.2407,0.2436,2.3218,-0.0360,-0.4427,-0.1668,0.4731,4.1541
0.9072,-1.8340,-0.1269,-0.0171,-0.2531,0.2537,2.2767,-0.0507,-0.4600,-0.1594,0.4869,4.1114
1.0057,-1.8436,-0.1499,-0.0880,-0.2328,0.2489,2.2325,-0.0663,-0.4456,-0.1614,0.4740,4.0770
1.1060,-1.8458,-0.1749,-0.0536,-0.2322,0.2383,2.1864,-0.0875,-0.4763,-0.1873,0.5118,4.0332
1.2055,-1.8551,-0.2003,-0.0932,-0.2472,0.2642,2.1430,-0.1075,-0.4420,-0.2027,0.4862,3.9992
1.3060,-1.8640,-0.2243,-0.0996,-0.2431,0.2627,2.0973,-0.1284,-0.4588,-0.2291,0.5129,3.9625
1.4060,-1.8711,-0.2494,-0.0834,-0.2470,0.2607,2.0438,-0.1490,-0.4392,-0.2130,0.4881,3.9162
1.5057,-1.8828,-0.2709,-0.1156,-0.2158,0.2449,1.9972,-0.1726,-0.4498,-0.2416,0.5106,3.8812
1.6076,-1.8926,-0.2944,-0.1087,-0.2284,0.2529,1.9507,-0.1969,-0.4625,-0.2458,0.5237,3.8445
1.7067,-1.9036,-0.3151,-0.1161,-0.2109,0.2408,1.9063,-0.2228,-0.4454,-0.2561,0.5138,3.8110
1.8073,-1.9175,-0.3376,-0.1346,-0.2163,0.2548,1.8576,-0.2461,-0.4803,-0.2390,0.5365,3.7763
1.9067,-1.9306,-0.3594,-0.1376,-0.2131,0.2537,1.8145,-0.2738,-0.4468,-0.2529,0.5134,3.7460
2.0086,-1.9470,-0.3771,-0.1509,-0.1855,0.2391,1.7675,-0.3013,-0.4664,-0.2724,0.5402,3.7153
2.1079,-1.9647,-0.3987,-0.1736,-0.1998,0.2646,1.7229,-0.3266,-0.4793,-0.2669,0.5486,3.6883
2.2094,-1.9776,-0.4164,-0.1437,-0.1884,0.2370,1.6799,-0.3534,-0.4378,-0.2675,0.5131,3.6581
2.3083,-1.9952,-0.4312,-0.1700,-0.1571,0.2315,1.6329,-0.3807,-0.4522,-0.2815,0.5327,3.6285
2.4083,-2.0129,-0.4458,-0.1748,-0.1385,0.2230,1.5870,-0.4092,-0.4589,-0.2825,0.5388,3.6000
2.5087,-2.0300,-0.4638,-0.1781,-0.1605,0.2397,1.5430,-0.4354,-0.4622,-0.2771,0.5389,3.5731
2.6097,-2.0528,-0.4776,-0.2078,-0.1410,0.2511,1.4977,-0.4608,-0.4541,-0.2544,0.5205,3.5505
2.7095,-2.0702,-0.4924,-0.1890,-0.1398,0.2351,1.4532,-0.4889,-0.4519,-0.2825,0.5330,3.5234
2.8086,-2.0966,-0.5044,-0.2358,-0.1174,0.2634,1.4102,-0.5115,-0.4344,-0.2291,0.4911,3.5068
2.9093,-2.1115,-0.5168,-0.1804,-0.1168,0.2149,1.3665,-0.5363,-0.4409,-0.2443,0.5040,3.4780
3.0115,-2.1347,-0.5276,-0.2190,-0.1035,0.2423,1.3187,-0.5592,-0.4740,-0.2264,0.5253,3.4535
3.1098,-2.1595,-0.5373,-0.2411,-0.0922,0.2581,1.2763,-0.5824,-0.4354,-0.2235,0.4894,3.4361
3.2131,-2.1785,-0.5466,-0.2166,-0.0830,0.2319,1.2308,-0.5990,-0.4528,-0.1676,0.4828,3.4097
3.3156,-2.1999,-0.5527,-0.2169,-0.0608,0.2253,1.1877,-0.6213,-0.4380,-0.1985,0.4809,3.3883
3.4133,-2.2231,-0.5612,-0.2372,-0.0726,0.2481,1.1433,-0.6398,-0.4411,-0.1977,0.4834,3.3674
3.5126,-2.2485,-0.5670,-0.2511,-0.0552,0.2571,1.0981,-0.6530,-0.4496,-0.1441,0.4721,3.3477
3.6124,-2.2715,-0.5715,-0.2679,-0.0343,0.2701,1.0538,-0.6722,-0.4598,-0.1721,0.4910,3.3268
3.7126,-2.2947,-0.5777,-0.2449,-0.0460,0.2492,1.0119,-0.6845,-0.4315,-0.1299,0.4506,3.3084
3.8124,-2.3205,-0.5813,-0.2641,-0.0347,0.2664,0.9657,-0.6978,-0.4399,-0.1255,0.4574,3.2883
3.9122,-2.3464,-0.5826,-0.2609,-0.0120,0.2612,0.9220,-0.7087,-0.4392,-0.1062,0.4519,3.2708
4.0128,-2.3675,-0.5864,-0.2441,-0.0161,0.2446,0.8755,-0.7206,-0.4537,-0.1045,0.4655,3.2457
4.1153,-2.3940,-0.5857,-0.2598,0.0086,0.2599,0.8280,-0.7274,-0.4691,-0.0707,0.4744,3.2251
4.2168,-2.4179,-0.5859,-0.2556,0.0048,0.2556,0.7832,-0.7355,-0.4542,-0.0769,0.4607,3.2046
4.3136,-2.4466,-0.5853,-0.2771,0.0148,0.2775,0.7381,-0.7407,-0.4524,-0.0518,0.4554,3.1885
4.4139,-2.4684,-0.5845,-0.2379,0.0219,0.2389,0.6913,-0.7443,-0.4561,-0.0408,0.4579,3.1638
