time_s,leader_x_m,leader_y_m,leader_vx_ms,leader_vy_ms,leader_v_ms,follower_x_m,follower_y_m,follower_vx_ms,follower_vy_ms,follower_v_ms,distance_m
0.1064,-2.7448,0.2969,0.2289,0.1024,0.2508,3.0076,0.0196,-0.0375,-0.0022,0.0376,5.7591
0.2019,-2.7174,0.3106,0.2613,0.1240,0.2892,2.9944,0.0231,-0.1251,0.0340,0.1297,5.7190
0.2997,-2.6942,0.3222,0.2636,0.1215,0.2903,2.9767,0.0313,-0.1886,0.0759,0.2033,5.6783
0.3974,-2.6741,0.3294,0.2415,0.0598,0.2488,2.9599,0.0379,-0.2114,0.0840,0.2274,5.6415
0.4986,-2.6507,0.3364,0.2435,0.0624,0.2514,2.9354,0.0475,-0.2476,0.1042,0.2686,5.5936
0.5983,-2.6243,0.3436,0.2600,0.0680,0.2687,2.9067,0.0589,-0.2947,0.1206,0.3184,5.5383
0.6980,-2.5979,0.3471,0.2616,0.0442,0.2653,2.8742,0.0730,-0.3059,0.1472,0.3395,5.4789
0.8001,-2.5757,0.3522,0.2397,0.0479,0.2444,2.8353,0.0864,-0.3712,0.1457,0.3987,5.4176
0.8979,-2.5499,0.3594,0.2495,0.0219,0.2505,2.8008,0.1000,-0.3699,0.1351,0.3938,5.3570
1.0017,-2.5241,0.3602,0.2557,0.0130,0.2561,2.7593,0.1153,-0.4036,0.1483,0.4300,5.2890
1.0991,-2.5003,0.3596,0.2376,-0.0011,0.2376,2.7200,0.1356,-0.4080,0.1752,0.4440,5.2252
1.1993,-2.4740,0.3593,0.2532,-0.0047,0.2532,2.6782,0.1528,-0.4191,0.1745,0.4540,5.1563
1.2994,-2.4477,0.3616,0.2628,-0.0000,0.2628,2.6374,0.1663,-0.4105,0.1472,0.4361,5.0888
1.4045,-2.4212,0.3613,0.2619,-0.0328,0.2640,2.5953,0.1842,-0.4206,0.1648,0.4517,5.0196
1.5020,-2.3955,0.3570,0.2683,-0.0474,0.2724,2.5534,0.2003,-0.4141,0.1748,0.4495,4.9514
1.6018,-2.3701,0.3547,0.2591,-0.0337,0.2613,2.5088,0.2151,-0.4354,0.1554,0.4623,4.8809
1.7020,-2.3445,0.3541,0.2687,-0.0156,0.2691,2.4539,0.2198,-0.4582,0.1479,0.4814,4.8003
1.8006,-2.3211,0.3448,0.2467,-0.0656,0.2553,2.4103,0.2325,-0.4455,0.1304,0.4642,4.7328
1.9019,-2.2963,0.3418,0.2388,-0.0871,0.2541,2.3650,0.2492,-0.4471,0.1450,0.4700,4.6623
2.0026,-2.2722,0.3366,0.2393,-0.0649,0.2479,2.3235,0.2583,-0.4278,0.1082,0.4413,4.5964
2.1019,-2.2477,0.3262,0.2399,-0.0911,0.2566,2.2770,0.2718,-0.4432,0.1143,0.4577,4.5250
2.2032,-2.2248,0.3210,0.2326,-0.0683,0.2424,2.2337,0.2824,-0.4366,0.1042,0.4488,4.4586
2.3037,-2.1937,0.3213,0.2435,-0.0890,0.2593,2.1909,0.2902,-0.4281,0.0924,0.4379,4.3848
