time_s,leader_x_m,leader_y_m,leader_vx_ms,leader_vy_ms,leader_v_ms,follower_x_m,follower_y_m,follower_vx_ms,follower_vy_ms,follower_v_ms,distance_m
0.0000,-2.2114,0.9401,0.3011,0.0779,0.3110,2.5680,0.1871,-0.5179,0.1742,0.5464,4.8384
0.1029,-2.2114,0.9401,0.3011,0.0779,0.3110,2.5071,0.2092,-0.5576,0.1849,0.5875,4.7749
0.2024,-2.2114,0.9401,0.3011,0.0779,0.3110,2.4530,0.2134,-0.5170,0.1657,0.5429,4.7207
0.3015,-2.2114,0.9401,0.3011,0.0779,0.3110,2.3936,0.2350,-0.5350,0.1741,0.5626,4.6587
0.4027,-2.2114,0.9401,0.3011,0.0779,0.3110,2.3403,0.2557,-0.5559,0.1986,0.5903,4.6029
0.5042,-2.2114,0.9401,0.3011,0.0779,0.3110,2.2808,0.2768,-0.5694,0.1895,0.6001,4.5409
0.6015,-2.2114,0.9401,0.3011,0.0779,0.3110,2.2317,0.2938,-0.5423,0.1824,0.5721,4.4899
0.7020,-2.2114,0.9401,0.3011,0.0779,0.3110,2.1725,0.3173,-0.5440,0.2054,0.5815,4.4280
0.8023,-2.2114,0.9401,0.3011,0.0779,0.3110,2.1180,0.3356,-0.5555,0.1941,0.5884,4.3715
0.9042,-2.1819,0.9460,0.2984,0.0579,0.3039,2.0618,0.3595,-0.5424,0.2124,0.5825,4.2841
1.0041,-2.1485,0.9505,0.3142,0.0292,0.3155,2.0085,0.3789,-0.5474,0.2042,0.5842,4.1962
1.1029,-2.1125,0.9554,0.3490,0.0383,0.3511,1.9460,0.4032,-0.5819,0.2273,0.6247,4.0959
1.2046,-2.0841,0.9585,0.3185,0.0330,0.3202,1.8962,0.4200,-0.5421,0.1953,0.5762,4.0166
1.3043,-2.0509,0.9619,0.3286,0.0285,0.3299,1.8347,0.4435,-0.5703,0.2040,0.6056,3.9201
1.4027,-2.0200,0.9652,0.3359,0.0294,0.3371,1.7789,0.4677,-0.5673,0.2272,0.6111,3.8314
1.5036,-1.9874,0.9651,0.3282,0.0014,0.3283,1.7197,0.4883,-0.5768,0.2091,0.6135,3.7377
1.6031,-1.9548,0.9640,0.3068,-0.0160,0.3072,1.6642,0.5152,-0.5673,0.2456,0.6181,3.6467
1.7041,-1.9225,0.9635,0.3192,-0.0134,0.3194,1.6077,0.5323,-0.5807,0.2044,0.6156,3.5564
1.8036,-1.8874,0.9635,0.3313,-0.0070,0.3314,1.5358,0.5577,-0.6031,0.2363,0.6478,3.4472
1.9057,-1.8622,0.9596,0.2720,-0.0359,0.2743,1.4869,0.5780,-0.5536,0.2206,0.5959,3.3708
2.0077,-1.8289,0.9555,0.2883,-0.0448,0.2917,1.4310,0.6046,-0.5567,0.2498,0.6102,3.2788
2.1068,-1.7956,0.9527,0.3213,-0.0377,0.3235,1.3737,0.6251,-0.5576,0.2298,0.6031,3.1862
2.2076,-1.7687,0.9454,0.2879,-0.0634,0.2948,1.3202,0.6451,-0.5419,0.2133,0.5824,3.1035
2.3088,-1.7387,0.9413,0.2950,-0.0530,0.2997,1.2632,0.6691,-0.5482,0.2220,0.5914,3.0142
2.4074,-1.7060,0.9345,0.3028,-0.0590,0.3084,1.2084,0.6929,-0.5410,0.2318,0.5886,2.9243
2.5069,-1.6789,0.9253,0.2767,-0.0883,0.2904,1.1523,0.7129,-0.5501,0.2064,0.5875,2.8392
2.6063,-1.6500,0.9180,0.2882,-0.0734,0.2974,1.1008,0.7355,-0.5180,0.2134,0.5602,2.7569
2.7087,-1.6637,0.9057,0.3008,-0.1203,0.3240,1.0402,0.7448,-0.5031,0.2061,0.5436,2.7088
2.8105,-1.6383,0.9000,0.2700,-0.0870,0.2837,0.9928,0.7620,-0.4715,0.1771,0.5037,2.6347
