time_s,leader_x_m,leader_y_m,leader_vx_ms,leader_vy_ms,leader_v_ms,follower_x_m,follower_y_m,follower_vx_ms,follower_vy_ms,follower_v_ms,distance_m
0.6006,-2.2217,0.9370,0.3792,0.0732,0.3862,2.6056,0.1533,-0.5439,0.2001,0.5796,4.8905
0.7006,-2.1873,0.9449,0.3693,0.0572,0.3737,2.5531,0.1751,-0.5361,0.2160,0.5780,4.8025
0.8009,-2.1533,0.9505,0.3476,0.0505,0.3513,2.5020,0.1910,-0.5244,0.1998,0.5611,4.7169
0.9002,-2.1178,0.9549,0.3558,0.0485,0.3591,2.4487,0.2080,-0.5310,0.1869,0.5629,4.6272
1.0005,-2.0805,0.9582,0.3699,0.0296,0.3710,2.3929,0.2288,-0.5297,0.1944,0.5642,4.5325
1.0998,-2.0456,0.9590,0.3543,-0.0027,0.3543,2.3360,0.2470,-0.5554,0.1929,0.5880,4.4390
1.2007,-2.0080,0.9606,0.3717,0.0058,0.3717,2.2845,0.2708,-0.5358,0.2263,0.5816,4.3476
1.3012,-1.9714,0.9606,0.3858,-0.0165,0.3861,2.2269,0.2932,-0.5607,0.2284,0.6054,4.2510
1.4007,-1.9359,0.9599,0.3615,-0.0139,0.3618,2.1727,0.3092,-0.5568,0.2013,0.5921,4.1598
1.5012,-1.8978,0.9567,0.3903,-0.0360,0.3920,2.1159,0.3327,-0.5639,0.2253,0.6072,4.0619
1.6016,-1.8644,0.9533,0.3452,-0.0385,0.3473,2.0530,0.3693,-0.5337,0.1971,0.5689,3.9607
1.7031,-1.8277,0.9511,0.3587,-0.0350,0.3604,1.9898,0.3912,-0.5941,0.2163,0.6322,3.8583
1.8019,-1.7900,0.9429,0.3689,-0.0660,0.3747,1.9384,0.4146,-0.5499,0.2386,0.5994,3.7656
1.9028,-1.7588,0.9355,0.3310,-0.0773,0.3399,1.8821,0.4331,-0.5567,0.2099,0.5950,3.6754
2.0035,-1.7208,0.9293,0.3553,-0.0793,0.3641,1.8261,0.4533,-0.5556,0.2154,0.5959,3.5787
2.1044,-1.6866,0.9195,0.3451,-0.0974,0.3585,1.7701,0.4743,-0.5568,0.2172,0.5976,3.4852
2.2046,-1.6535,0.9098,0.3429,-0.1130,0.3610,1.7109,0.4968,-0.5849,0.2275,0.6276,3.3896
2.3062,-1.6200,0.9018,0.3342,-0.0982,0.3484,1.6580,0.5156,-0.5481,0.2065,0.5857,3.3007
2.4061,-1.5886,0.8868,0.3196,-0.1253,0.3433,1.6005,0.5370,-0.5532,0.2319,0.5998,3.2082
2.5082,-1.5886,0.8651,0.3041,-0.1539,0.3408,1.5446,0.5570,-0.5555,0.2149,0.5957,3.1483
2.6064,-1.5602,0.8483,0.2683,-0.1712,0.3183,1.4858,0.5773,-0.5648,0.2190,0.6057,3.0580
2.7062,-1.5296,0.8339,0.2895,-0.1588,0.3302,1.4281,0.5931,-0.5709,0.1834,0.5996,2.9675
2.8062,-1.4976,0.8162,0.3065,-0.1770,0.3539,1.3723,0.6145,-0.5696,0.1963,0.6025,2.8770
2.9070,-1.4759,0.7969,0.2442,-0.1928,0.3112,1.3176,0.6341,-0.5488,0.1947,0.5823,2.7982
3.0085,-1.4460,0.7788,0.2665,-0.1889,0.3266,1.2603,0.6526,-0.5624,0.1967,0.5958,2.7092
3.1085,-1.4154,0.7602,0.2894,-0.1922,0.3474,1.2122,0.6655,-0.5003,0.1484,0.5219,2.6292
3.2094,-1.3922,0.7355,0.2632,-0.2284,0.3485,1.1551,0.7004,-0.5374,0.1552,0.5593,2.5475
3.3082,-1.3645,0.7153,0.2682,-0.2150,0.3437,1.1067,0.7105,-0.4915,0.1126,0.5042,2.4712
3.4084,-1.3400,0.6904,0.2600,-0.2330,0.3491,1.0600,0.7190,-0.4640,0.0955,0.4737,2.4002
3.5087,-1.3187,0.6626,0.2246,-0.2670,0.3489,1.0099,0.7273,-0.4739,0.0781,0.4803,2.3294
3.6089,-1.2979,0.6386,0.2115,-0.2547,0.3310,0.9683,0.7311,-0.4264,0.0529,0.4297,2.2680
3.7108,-1.2723,0.6150,0.2372,-0.2461,0.3418,0.9257,0.7320,-0.4087,0.0112,0.4089,2.2011
3.8106,-1.2546,0.5860,0.2006,-0.2635,0.3312,0.8889,0.7286,-0.3724,-0.0211,0.3730,2.1483
3.9105,-1.2356,0.5562,0.1891,-0.2899,0.3461,0.8539,0.7256,-0.3411,-0.0388,0.3433,2.0963
4.0136,-1.2173,0.5296,0.1900,-0.2720,0.3318,0.8228,0.7169,-0.3127,-0.0763,0.3218,2.0487
4.1123,-1.1979,0.4984,0.1891,-0.3022,0.3565,0.7963,0.7081,-0.2619,-0.0939,0.2783,2.0052
4.2123,-1.1869,0.4684,0.1227,-0.3156,0.3387,0.7699,0.6974,-0.2564,-0.1085,0.2784,1.9702
4.3130,-1.1690,0.4407,0.1579,-0.2911,0.3311,0.7525,0.6812,-0.1829,-0.1596,0.2428,1.9364
4.4142,-1.1571,0.4070,0.1326,-0.3209,0.3472,0.7365,0.6689,-0.1669,-0.1589,0.2305,1.9116
4.5145,-1.1421,0.3757,0.1404,-0.3171,0.3467,0.7191,0.6451,-0.1524,-0.1995,0.2511,1.8806
4.6163,-1.1302,0.3445,0.1279,-0.3328,0.3565,0.7149,0.6233,-0.0842,-0.2356,0.2502,1.8660
4.7141,-1.1184,0.3122,0.1166,-0.3276,0.3477,0.7045,0.5951,-0.0753,-0.2577,0.2685,1.8447
4.8143,-1.1094,0.2796,0.1052,-0.3314,0.3477,0.7020,0.5706,-0.0377,-0.2761,0.2787,1.8347
4.9149,-1.1022,0.2474,0.0778,-0.3258,0.3350,0.7018,0.5395,-0.0059,-0.2921,0.2922,1.8275
5.0134,-1.0951,0.2142,0.0631,-0.3353,0.3412,0.6992,0.5109,-0.0063,-0.3161,0.3162,1.8186
5.1150,-1.0842,0.1811,0.0915,-0.3328,0.3452,0.7054,0.4742,0.0533,-0.3463,0.3504,1.8135
5.2158,-1.0497,0.1280,0.0701,-0.3305,0.3378,0.7072,0.4405,0.0431,-0.3678,0.3703,1.7845
5.3167,-1.0479,0.0961,0.0287,-0.3230,0.3242,0.7175,0.4031,0.0630,-0.3731,0.3784,1.7920
5.4141,-1.0435,0.0613,0.0252,-0.3338,0.3348,0.7273,0.3660,0.0907,-0.3977,0.4079,1.7968
5.5161,-1.0420,0.0262,0.0134,-0.3465,0.3468,0.7395,0.3209,0.1128,-0.4309,0.4454,1.8056
5.6164,-1.0364,-0.0063,0.0506,-0.3339,0.3377,0.7515,0.2842,0.1251,-0.4157,0.4341,1.8113
5.7170,-1.0415,-0.0408,-0.0273,-0.3418,0.3428,0.7698,0.2316,0.1449,-0.4601,0.4824,1.8317
5.8170,-1.0383,-0.0718,0.0026,-0.3289,0.3290,0.7722,0.1942,0.1366,-0.4903,0.5090,1.8299
5.9166,-1.0415,-0.1076,-0.0151,-0.3362,0.3365,0.7947,0.1435,0.1758,-0.5001,0.5301,1.8532
6.0176,-1.0424,-0.1412,-0.0171,-0.3382,0.3387,0.8106,0.0944,0.1706,-0.5157,0.5432,1.8679
6.1167,-1.0484,-0.1753,-0.0446,-0.3460,0.3488,0.8321,0.0378,0.1737,-0.5424,0.5696,1.8925
6.2172,-1.0566,-0.2074,-0.0734,-0.3352,0.3431,0.8498,-0.0166,0.1744,-0.5609,0.5874,1.9159
6.3166,-1.0634,-0.2411,-0.0927,-0.3324,0.3451,0.8717,-0.0723,0.1864,-0.5514,0.5821,1.9424
6.4173,-1.0679,-0.2755,-0.0706,-0.3403,0.3476,0.8909,-0.1303,0.1831,-0.5798,0.6080,1.9642
6.5180,-1.0778,-0.3090,-0.0942,-0.3424,0.3551,0.9089,-0.1885,0.1708,-0.5956,0.6196,1.9904
6.6170,-1.0858,-0.3407,-0.0899,-0.3250,0.3372,0.9266,-0.2456,0.1636,-0.5713,0.5942,2.0146
6.7183,-1.1002,-0.3718,-0.1232,-0.3187,0.3417,0.9368,-0.2992,0.1004,-0.5398,0.5491,2.0384
6.8179,-1.1117,-0.4059,-0.1217,-0.3306,0.3523,0.9466,-0.3521,0.0740,-0.5201,0.5254,2.0590
6.9194,-1.1236,-0.4383,-0.1190,-0.3315,0.3522,0.9570,-0.4069,0.0785,-0.5336,0.5393,2.0808
7.0199,-1.1404,-0.4671,-0.1528,-0.3028,0.3392,0.9584,-0.4548,0.0410,-0.4975,0.4992,2.0988
7.1202,-1.1565,-0.5010,-0.1669,-0.3263,0.3665,0.9555,-0.5046,-0.0333,-0.4860,0.4872,2.1120
7.2209,-1.1734,-0.5273,-0.1726,-0.2860,0.3340,0.9565,-0.5491,-0.0255,-0.4453,0.4461,2.1300
7.3198,-1.1917,-0.5582,-0.1861,-0.2956,0.3493,0.9486,-0.5924,-0.0816,-0.4275,0.4352,2.1406
7.4206,-1.2096,-0.5916,-0.1842,-0.3181,0.3676,0.9373,-0.6363,-0.1088,-0.4213,0.4351,2.1474
7.5203,-1.2295,-0.6163,-0.1956,-0.2837,0.3446,0.9285,-0.6779,-0.1088,-0.4079,0.4221,2.1589
7.6210,-1.2501,-0.6443,-0.2042,-0.2795,0.3461,0.9129,-0.7188,-0.1542,-0.3965,0.4254,2.1643
7.7222,-1.2710,-0.6700,-0.1987,-0.2627,0.3294,0.8653,-0.7617,-0.1858,-0.3434,0.3904,2.1383
7.8235,-1.2972,-0.6953,-0.2410,-0.2537,0.3499,0.8470,-0.7984,-0.2059,-0.3628,0.4172,2.1467
7.9217,-1.3210,-0.7193,-0.2530,-0.2418,0.3500,0.8266,-0.8290,-0.2167,-0.3081,0.3767,2.1504
8.0234,-1.3419,-0.7438,-0.2283,-0.2399,0.3312,0.8033,-0.8604,-0.2496,-0.3027,0.3923,2.1483
8.1231,-1.3662,-0.7855,-0.2275,-0.2258,0.3205,0.7780,-0.8904,-0.2613,-0.2865,0.3878,2.1468
8.2237,-1.3922,-0.8069,-0.2522,-0.2144,0.3310,0.7508,-0.9153,-0.2817,-0.2608,0.3839,2.1457
8.3240,-1.4167,-0.8291,-0.2310,-0.2168,0.3169,0.7193,-0.9424,-0.3181,-0.2574,0.4092,2.1390
8.4237,-1.4493,-0.8471,-0.2940,-0.1908,0.3505,0.6918,-0.9625,-0.2871,-0.2203,0.3619,2.1443
8.5246,-1.4732,-0.8669,-0.2611,-0.1908,0.3233,0.6573,-0.9826,-0.3403,-0.1942,0.3918,2.1336
8.6254,-1.5053,-0.8869,-0.3026,-0.1923,0.3585,0.6227,-1.0017,-0.3480,-0.1791,0.3914,2.1311
8.7266,-1.5320,-0.9002,-0.2860,-0.1596,0.3275,0.5836,-1.0207,-0.3858,-0.1789,0.4252,2.1191
8.8283,-1.5662,-0.9172,-0.3245,-0.1625,0.3629,0.5478,-1.0346,-0.3820,-0.1537,0.4117,2.1172
8.9302,-1.5967,-0.9296,-0.3230,-0.1274,0.3472,0.5091,-1.0466,-0.3894,-0.1180,0.4068,2.1091
9.0279,-1.6251,-0.9479,-0.2996,-0.1603,0.3397,0.4690,-1.0610,-0.4086,-0.1288,0.4284,2.0971
9.1318,-1.6587,-0.9575,-0.3202,-0.1314,0.3462,0.4310,-1.0718,-0.3874,-0.1023,0.4006,2.0928
9.2286,-1.6923,-0.9673,-0.3329,-0.1051,0.3491,0.3877,-1.0814,-0.4243,-0.0904,0.4338,2.0831
9.3361,-1.7232,-0.9775,-0.3101,-0.1019,0.3264,0.3450,-1.0880,-0.4303,-0.0615,0.4346,2.0712
9.4410,-1.7566,-0.9852,-0.3435,-0.0763,0.3519,0.2995,-1.0948,-0.4460,-0.0607,0.4501,2.0590
9.5410,-1.7895,-0.9940,-0.3321,-0.0836,0.3425,0.2587,-1.1012,-0.4257,-0.0545,0.4291,2.0510
9.6405,-1.8231,-1.0004,-0.3398,-0.0699,0.3469,0.2139,-1.1066,-0.4417,-0.0459,0.4441,2.0398
9.7399,-1.8595,-1.0059,-0.3609,-0.0551,0.3651,0.1724,-1.1092,-0.4137,-0.0249,0.4144,2.0346
9.8419,-1.8921,-1.0103,-0.3530,-0.0486,0.3563,0.1283,-1.1108,-0.4312,-0.0118,0.4313,2.0229
9.9406,-1.9249,-1.0135,-0.3324,-0.0307,0.3338,0.0864,-1.1102,-0.4148,0.0058,0.4149,2.0137
10.0406,-1.9618,-1.0146,-0.3259,-0.0248,0.3268,0.0548,-1.1102,-0.4129,0.0078,0.4130,2.0189
10.1403,-1.9972,-1.0158,-0.3511,-0.0115,0.3513,0.0132,-1.1098,-0.4075,0.0125,0.4076,2.0127
10.2412,-2.0314,-1.0160,-0.3236,-0.0120,0.3238,-0.0343,-1.1071,-0.4511,0.0271,0.4519,1.9992
10.3405,-2.0649,-1.0152,-0.3328,0.0078,0.3329,-0.0724,-1.1043,-0.4079,0.0289,0.4089,1.9945
10.4403,-2.1005,-1.0130,-0.3451,0.0170,0.3456,-0.1125,-1.1014,-0.3988,0.0335,0.4002,1.9900
10.5405,-2.1375,-1.0080,-0.3676,0.0485,0.3708,-0.1509,-1.0963,-0.3737,0.0458,0.3765,1.9886
10.6407,-2.1751,-1.0032,-0.3731,0.0504,0.3765,-0.1883,-1.0891,-0.3700,0.0676,0.3762,1.9886
10.7397,-2.2079,-0.9975,-0.3618,0.0583,0.3665,-0.2280,-1.0830,-0.3845,0.0743,0.3917,1.9817
10.8417,-2.2425,-0.9905,-0.3489,0.0701,0.3559,-0.2643,-1.0772,-0.3673,0.0678,0.3735,1.9801
10.9426,-2.2845,-0.9967,-0.3269,0.0765,0.3357,-0.3012,-1.0696,-0.3747,0.0788,0.3829,1.9846
11.0418,-2.3220,-0.9858,-0.3593,0.1024,0.3736,-0.3373,-1.0605,-0.3652,0.0923,0.3767,1.9861
11.1410,-2.3518,-0.9782,-0.3123,0.0789,0.3221,-0.3758,-1.0492,-0.3839,0.1101,0.3994,1.9774
11.2424,-2.3841,-0.9651,-0.3184,0.1184,0.3397,-0.4087,-1.0389,-0.3445,0.1095,0.3615,1.9768
11.3428,-2.4195,-0.9513,-0.3148,0.1307,0.3408,-0.4447,-1.0254,-0.3414,0.1281,0.3647,1.9762
11.4449,-2.4539,-0.9369,-0.3348,0.1427,0.3640,-0.4757,-1.0134,-0.3189,0.1269,0.3432,1.9797
11.5452,-2.4868,-0.9216,-0.3434,0.1364,0.3695,-0.5132,-1.0012,-0.3514,0.1008,0.3655,1.9752
11.6437,-2.5134,-0.9033,-0.2866,0.1725,0.3345,-0.5513,-0.9870,-0.3671,0.1350,0.3911,1.9640
11.7443,-2.5465,-0.8874,-0.3180,0.1603,0.3561,-0.5801,-0.9707,-0.3245,0.1558,0.3600,1.9682
11.8448,-2.5735,-0.8681,-0.2814,0.1877,0.3382,-0.6123,-0.9532,-0.3223,0.1746,0.3666,1.9631
11.9451,-2.6022,-0.8498,-0.2697,0.1764,0.3222,-0.6405,-0.9356,-0.3115,0.1839,0.3618,1.9636
12.0457,-2.6317,-0.8284,-0.2856,0.2059,0.3521,-0.6687,-0.9168,-0.2861,0.1935,0.3454,1.9650
12.1471,-2.6595,-0.8043,-0.2617,0.2184,0.3408,-0.7006,-0.8971,-0.2992,0.1964,0.3579,1.9611
12.2466,-2.6856,-0.7841,-0.2592,0.2087,0.3328,-0.7308,-0.8769,-0.2943,0.2073,0.3599,1.9570
12.3471,-2.7120,-0.7590,-0.2634,0.2290,0.3491,-0.7566,-0.8514,-0.2556,0.2416,0.3517,1.9575
12.4478,-2.7409,-0.7333,-0.2798,0.2518,0.3764,-0.7496,-0.8201,-0.2332,0.2276,0.3259,1.9931
12.5493,-2.7627,-0.7083,-0.2518,0.2511,0.3556,-0.7786,-0.7946,-0.2539,0.2439,0.3521,1.9859
12.6467,-2.7870,-0.6813,-0.2436,0.2672,0.3616,-0.8014,-0.7675,-0.2303,0.2690,0.3541,1.9875
12.7475,-2.8081,-0.6542,-0.2360,0.2756,0.3629,-0.8245,-0.7382,-0.2252,0.2933,0.3698,1.9854
12.8491,-2.8286,-0.6290,-0.2097,0.2607,0.3346,-0.8506,-0.7115,-0.2542,0.2807,0.3787,1.9797
12.9489,-2.8485,-0.5994,-0.1942,0.2895,0.3486,-0.8713,-0.6823,-0.2209,0.2913,0.3656,1.9789
13.0520,-2.8673,-0.5728,-0.1873,0.2740,0.3319,-0.8910,-0.6504,-0.2022,0.3181,0.3769,1.9779
13.1490,-2.8861,-0.5428,-0.1865,0.2955,0.3494,-0.9156,-0.6199,-0.2170,0.3111,0.3793,1.9720
