time_s,leader_x_m,leader_y_m,leader_vx_ms,leader_vy_ms,leader_v_ms,follower_x_m,follower_y_m,follower_vx_ms,follower_vy_ms,follower_v_ms,distance_m
0.0000,-2.4189,0.5871,0.2893,0.1036,0.3073,2.8193,0.1870,-0.1878,0.1453,0.2374,5.2535
0.0998,-2.3884,0.5987,0.3206,0.0970,0.3349,2.8030,0.2057,-0.1806,0.1747,0.2513,5.2063
0.2008,-2.3603,0.6095,0.2916,0.1011,0.3086,2.7815,0.2208,-0.2165,0.1626,0.2708,5.1565
0.3003,-2.3298,0.6175,0.2995,0.0792,0.3098,2.7643,0.2403,-0.1967,0.1864,0.2710,5.1080
0.4015,-2.3011,0.6293,0.2906,0.1041,0.3087,2.7422,0.2625,-0.2203,0.2089,0.3036,5.0566
0.5007,-2.2772,0.6630,0.2850,0.0659,0.2925,2.7200,0.2823,-0.2302,0.2052,0.3084,5.0117
0.6004,-2.2461,0.6719,0.3066,0.0793,0.3166,2.6976,0.3050,-0.2450,0.2259,0.3333,4.9573
0.7008,-2.2182,0.6744,0.2883,0.0461,0.2920,2.6745,0.3251,-0.2440,0.2125,0.3236,4.9051
0.8009,-2.1833,0.6776,0.3361,0.0297,0.3374,2.6516,0.3498,-0.2353,0.2309,0.3296,4.8460
0.9009,-2.1520,0.6840,0.3231,0.0449,0.3262,2.6231,0.3739,-0.2755,0.2414,0.3663,4.7852
1.0008,-2.1251,0.6839,0.3019,0.0068,0.3020,2.5967,0.3986,-0.2766,0.2465,0.3705,4.7304
1.1008,-2.0935,0.6884,0.3106,0.0247,0.3116,2.5699,0.4275,-0.2795,0.2745,0.3917,4.6707
1.2012,-2.0603,0.6875,0.3158,0.0012,0.3158,2.5417,0.4542,-0.2976,0.2689,0.4011,4.6079
1.3011,-2.0298,0.6871,0.3087,-0.0085,0.3088,2.5148,0.4815,-0.2853,0.2726,0.3946,4.5493
1.4023,-1.9951,0.6883,0.3204,-0.0111,0.3206,2.4836,0.5133,-0.3215,0.3067,0.4444,4.4821
1.5026,-1.9689,0.6865,0.2828,-0.0220,0.2837,2.4503,0.5420,-0.3357,0.2956,0.4473,4.4216
1.6018,-1.9340,0.6864,0.3205,-0.0117,0.3207,2.4210,0.5731,-0.3226,0.2998,0.4404,4.3565
1.7020,-1.9041,0.6827,0.3064,-0.0336,0.3082,2.3911,0.6039,-0.3144,0.3014,0.4355,4.2960
