time_s,leader_x_m,leader_y_m,leader_vx_ms,leader_vy_ms,leader_v_ms,follower_x_m,follower_y_m,follower_vx_ms,follower_vy_ms,follower_v_ms,distance_m,nearest_formation_error_m
0.0009,-1.8438,0.7086,0.2984,-0.0552,0.3034,2.2237,0.7167,-0.3610,0.2975,0.4678,4.0675,nan
0.0992,-1.8120,0.7082,0.3103,-0.0234,0.3112,2.1877,0.7431,-0.3683,0.2690,0.4561,3.9999,nan
0.2000,-1.7825,0.7018,0.2695,-0.0558,0.2752,2.1515,0.7692,-0.3633,0.2473,0.4395,3.9346,nan
0.2994,-1.7486,0.6907,0.3138,-0.0910,0.3267,2.1100,0.7974,-0.4032,0.2628,0.4813,3.8600,nan
0.3999,-1.7220,0.6853,0.2921,-0.0747,0.3015,2.0743,0.8219,-0.3808,0.2401,0.4502,3.7988,nan
0.5001,-1.6916,0.6756,0.2996,-0.0891,0.3126,2.0352,0.8517,-0.3950,0.2720,0.4795,3.7310,nan
0.6002,-1.6633,0.6693,0.2795,-0.0736,0.2890,1.9903,0.8753,-0.4301,0.2366,0.4908,3.6593,nan
0.7000,-1.6348,0.6596,0.2756,-0.1094,0.2965,1.9537,0.8976,-0.3943,0.2207,0.4519,3.5964,nan
0.7999,-1.6040,0.6469,0.2983,-0.1152,0.3198,1.9086,0.9221,-0.4219,0.2197,0.4757,3.5233,nan
0.9006,-1.5809,0.6351,0.2536,-0.1180,0.2797,1.8610,0.9475,-0.4644,0.2349,0.5204,3.4561,nan
1.0008,-1.5480,0.6242,0.3042,-0.1055,0.3220,1.8201,0.9672,-0.4481,0.2048,0.4927,3.3856,nan
1.1002,-1.5268,0.6133,0.2437,-0.1088,0.2668,1.7728,0.9897,-0.4711,0.2119,0.5165,3.3210,nan
1.2005,-1.5003,0.5961,0.2486,-0.1557,0.2934,1.7261,1.0137,-0.4824,0.2193,0.5299,3.2533,nan
1.3004,-1.4739,0.5827,0.2587,-0.1416,0.2950,1.6846,1.0290,-0.4429,0.1678,0.4737,3.1898,nan
1.4009,-1.4776,0.5492,0.2771,-0.1623,0.3212,1.6323,1.0522,-0.4904,0.1914,0.5264,3.1503,nan
1.5008,-1.4637,0.5321,0.1843,-0.1689,0.2500,1.5899,1.0679,-0.4487,0.1609,0.4767,3.1003,nan
1.6012,-1.4326,0.5175,0.2441,-0.1652,0.2947,1.5416,1.0849,-0.4624,0.1546,0.4876,3.0278,nan
1.7008,-1.4084,0.5029,0.2312,-0.1691,0.2864,1.4917,1.1026,-0.4898,0.1624,0.5160,2.9614,nan
1.8017,-1.3879,0.4821,0.2288,-0.1759,0.2886,1.4448,1.1197,-0.4733,0.1477,0.4958,2.9035,nan
1.9010,-1.3679,0.4600,0.2092,-0.2062,0.2938,1.3949,1.1377,-0.4894,0.1602,0.5150,2.8447,nan
2.0013,-1.3476,0.4420,0.1924,-0.1906,0.2708,1.3187,1.1231,-0.4670,0.1515,0.4909,2.7519,nan
2.1011,-1.3222,0.4224,0.2332,-0.1955,0.3044,1.2679,1.1355,-0.4936,0.1227,0.5086,2.6865,nan
2.2018,-1.3043,0.4002,0.2046,-0.2369,0.3130,1.2251,1.1492,-0.4511,0.1182,0.4664,2.6379,nan
2.3015,-1.2871,0.3785,0.1817,-0.2244,0.2887,1.1768,1.1614,-0.4692,0.1119,0.4824,2.5853,nan
2.4022,-1.2693,0.3557,0.1956,-0.2295,0.3015,1.1291,1.1717,-0.4789,0.1037,0.4900,2.5333,nan
2.5018,-1.2527,0.3355,0.1752,-0.2115,0.2746,1.0840,1.1826,-0.4557,0.0990,0.4663,2.4855,nan
2.6025,-1.2395,0.3124,0.1350,-0.2154,0.2542,1.0372,1.1928,-0.4742,0.0930,0.4832,2.4410,nan
2.7018,-1.2151,0.2875,0.1947,-0.2495,0.3165,0.9937,1.2004,-0.4442,0.0726,0.4501,2.3900,nan
2.8014,-1.2061,0.2611,0.1285,-0.2548,0.2854,0.9482,1.2084,-0.4605,0.0628,0.4647,2.3534,nan
2.9020,-1.1935,0.2332,0.1260,-0.2722,0.3000,0.9039,1.2171,-0.4461,0.0710,0.4517,2.3168,nan
3.0017,-1.1769,0.2089,0.1615,-0.2590,0.3052,0.8617,1.2228,-0.4438,0.0598,0.4478,2.2767,nan
3.1021,-1.1646,0.1822,0.1333,-0.2659,0.2974,0.8212,1.2256,-0.4147,0.0298,0.4158,2.2432,nan
