time_s,leader_x_m,leader_y_m,leader_vx_ms,leader_vy_ms,leader_v_ms,follower_x_m,follower_y_m,follower_vx_ms,follower_vy_ms,follower_v_ms,distance_m
0.0008,-1.8457,0.6442,0.3394,-0.0787,0.3484,2.6093,0.3880,0.2341,0.3757,0.4427,4.4624
0.1002,-1.8116,0.6325,0.3423,-0.0998,0.3565,2.5685,0.4161,0.1662,0.4375,0.4680,4.3854
0.2000,-1.7753,0.6255,0.3591,-0.0740,0.3667,2.5262,0.4327,0.1308,0.4498,0.4684,4.3058
0.3002,-1.7420,0.6157,0.3898,-0.0825,0.3985,2.4886,0.4547,0.1358,0.4270,0.4481,4.2336
0.4002,-1.7098,0.6050,0.3362,-0.0999,0.3508,2.4504,0.4790,0.1367,0.4369,0.4578,4.1621
0.5018,-1.6751,0.5920,0.3399,-0.1370,0.3664,2.4133,0.4994,0.1188,0.4192,0.4357,4.0894
0.6012,-1.6458,0.5769,0.3038,-0.1458,0.3370,2.3725,0.5169,0.0386,0.4341,0.4358,4.0187
0.7009,-1.6144,0.5637,0.3170,-0.1335,0.3439,2.3298,0.5300,0.0239,0.4420,0.4426,3.9444
0.8018,-1.5818,0.5487,0.3246,-0.1445,0.3553,2.2875,0.5418,0.0078,0.4293,0.4294,3.8694
0.9012,-1.5560,0.5360,0.2836,-0.1325,0.3130,2.2485,0.5581,0.0279,0.4238,0.4247,3.8046
1.0024,-1.5252,0.5166,0.2852,-0.1807,0.3377,2.2028,0.5716,-0.0086,0.4567,0.4568,3.7284
1.1017,-1.4971,0.4958,0.2838,-0.1961,0.3449,2.1485,0.5723,-0.1047,0.4564,0.4682,3.6464
1.2022,-1.4712,0.4774,0.2672,-0.1891,0.3273,2.0992,0.5688,-0.1469,0.4500,0.4734,3.5716
1.3022,-1.4432,0.4574,0.2771,-0.1950,0.3388,2.0534,0.5730,-0.1331,0.4456,0.4650,3.4985
1.4017,-1.4276,0.4382,0.2650,-0.1929,0.3278,2.0035,0.5780,-0.1372,0.4600,0.4800,3.4340
1.5021,-1.4019,0.4126,0.2421,-0.2543,0.3511,1.9601,0.5799,-0.1478,0.4244,0.4494,3.3662
1.6028,-1.3803,0.3897,0.2344,-0.2343,0.3314,1.9068,0.5741,-0.2898,0.4376,0.5248,3.2922
1.7020,-1.3591,0.3639,0.2211,-0.2486,0.3327,1.8537,0.5652,-0.2966,0.4420,0.5323,3.2191
1.8019,-1.3360,0.3397,0.2201,-0.2396,0.3254,1.7959,0.5609,-0.2919,0.4758,0.5582,3.1397
1.8992,-1.3098,0.3168,0.2491,-0.2316,0.3401,1.7447,0.5530,-0.2973,0.4403,0.5313,3.0636
1.9988,-1.2938,0.2850,0.1921,-0.2996,0.3559,1.6884,0.5501,-0.2904,0.4583,0.5425,2.9939
2.0986,-1.2747,0.2573,0.1931,-0.2823,0.3420,1.6344,0.5360,-0.3949,0.3872,0.5531,2.9224
2.1987,-1.2586,0.2288,0.1819,-0.2891,0.3416,1.5856,0.5167,-0.3877,0.3378,0.5142,2.8587
2.2988,-1.2387,0.2009,0.1947,-0.2811,0.3419,1.5284,0.5030,-0.4012,0.3959,0.5637,2.7836
2.3998,-1.2250,0.1728,0.1611,-0.2759,0.3195,1.4783,0.4861,-0.4076,0.3573,0.5420,2.7214
2.4998,-1.2091,0.1429,0.1391,-0.3030,0.3333,1.4251,0.4756,-0.3844,0.3822,0.5421,2.6551
2.5992,-1.1998,0.1100,0.1128,-0.3195,0.3388,1.3762,0.4562,-0.4143,0.3028,0.5131,2.5991
2.7005,-1.1804,0.0790,0.1701,-0.3130,0.3563,1.3317,0.4304,-0.4473,0.2506,0.5127,2.5365
2.7997,-1.1702,0.0466,0.1452,-0.3119,0.3441,1.2879,0.4098,-0.4410,0.2549,0.5094,2.4848
2.8995,-1.1577,0.0138,0.1346,-0.3223,0.3493,1.2652,0.3753,-0.4217,0.2356,0.4830,2.4497
2.9999,-1.1498,-0.0190,0.0707,-0.3340,0.3413,1.2183,0.3552,-0.4417,0.2357,0.5006,2.3974
3.1004,-1.1410,-0.0529,0.0850,-0.3374,0.3479,1.1832,0.3356,-0.3871,0.1241,0.4065,2.3564
3.2002,-1.1320,-0.0859,0.0967,-0.3318,0.3456,1.1450,0.3030,-0.4528,0.1235,0.4693,2.3100
3.3009,-1.1295,-0.1198,0.0489,-0.3356,0.3391,1.1096,0.2771,-0.4340,0.1111,0.4480,2.2739
3.4010,-1.1205,-0.1520,0.0656,-0.3423,0.3486,1.0800,0.2507,-0.4179,0.0820,0.4259,2.2370
3.5013,-1.1156,-0.1860,0.0336,-0.3439,0.3455,1.0414,0.2275,-0.4266,0.1171,0.4424,2.1962
3.6011,-1.1168,-0.2195,0.0175,-0.3382,0.3386,1.0214,0.1984,-0.3716,-0.0023,0.3716,2.1787
3.7011,-1.1157,-0.2522,0.0143,-0.3305,0.3308,1.0032,0.1655,-0.3673,-0.0667,0.3733,2.1597
3.8011,-1.1131,-0.2877,0.0084,-0.3604,0.3605,0.9843,0.1404,-0.3275,-0.0592,0.3328,2.1407
3.9015,-1.1105,-0.3198,0.0228,-0.3326,0.3333,0.9618,0.1070,-0.3749,-0.0743,0.3822,2.1158
4.0012,-1.1108,-0.3529,-0.0109,-0.3262,0.3264,0.9397,0.0797,-0.3646,-0.0719,0.3717,2.0956
4.1014,-1.1154,-0.3887,-0.0349,-0.3500,0.3517,0.9294,0.0495,-0.2737,-0.1777,0.3264,2.0912
4.2018,-1.0764,-0.4418,-0.0032,-0.3386,0.3386,0.9278,0.0168,-0.2618,-0.1865,0.3215,2.0560
4.3029,-1.0798,-0.4787,-0.0237,-0.3594,0.3602,0.9227,-0.0182,-0.2668,-0.2177,0.3444,2.0548
4.4048,-1.0831,-0.5114,-0.0158,-0.3456,0.3460,0.9177,-0.0510,-0.2539,-0.2168,0.3339,2.0530
4.5057,-1.0963,-0.5425,-0.1182,-0.3183,0.3395,0.9063,-0.0837,-0.2839,-0.1907,0.3420,2.0545
4.6057,-1.1020,-0.5763,-0.0749,-0.3270,0.3355,0.9188,-0.1207,-0.1515,-0.3455,0.3772,2.0716
4.7063,-1.1108,-0.6097,-0.0825,-0.3326,0.3427,0.9259,-0.1562,-0.1600,-0.3296,0.3664,2.0866
4.8058,-1.1201,-0.6419,-0.0791,-0.3267,0.3362,0.9365,-0.1961,-0.1638,-0.3575,0.3932,2.1044
4.9068,-1.1313,-0.6757,-0.1003,-0.3358,0.3505,0.9476,-0.2351,-0.1455,-0.3743,0.4016,2.1251
