time_s,leader_x_m,leader_y_m,follower_x_m,follower_y_m,distance_m
0.0430,-3.0694,-0.0206,2.9072,-0.0313,5.9765
0.0986,-3.0310,-0.0038,2.8414,-0.0338,5.8725
0.1973,-2.9827,0.0281,2.7710,-0.0378,5.7540
0.2971,-2.9366,0.0397,2.7045,-0.0334,5.6416
0.3974,-2.8833,0.0597,2.6374,-0.0267,5.5214
0.4977,-2.8357,0.0638,2.5754,-0.0228,5.4118
0.5981,-2.7865,0.0697,2.5068,-0.0125,5.2939
0.6978,-2.7375,0.0668,2.4447,-0.0079,5.1827
0.7972,-2.6848,0.0590,2.3762,0.0012,5.0613
0.8976,-2.6423,0.0503,2.3126,0.0068,4.9551
0.9991,-2.5936,0.0291,2.2444,0.0132,4.8380
1.0979,-2.5461,0.0150,2.1752,0.0149,4.7213
1.1994,-2.5063,-0.0173,2.1053,0.0160,4.6116
1.3014,-2.4676,-0.0975,2.0371,0.0132,4.5060
1.4005,-2.4332,-0.1431,1.9713,0.0053,4.4071
1.4989,-2.4005,-0.1697,1.9011,0.0255,4.3061
1.6005,-2.3729,-0.2232,1.8394,0.0042,4.2184
1.7032,-2.3501,-0.2533,1.7833,-0.0080,4.1407
1.8010,-2.3332,-0.3127,1.7245,-0.0359,4.0672
1.9009,-2.3171,-0.3449,1.6675,-0.0499,3.9956
2.0012,-2.3061,-0.4095,1.6133,-0.0821,3.9331
2.1019,-2.3017,-0.4446,1.5596,-0.1006,3.8766
2.2022,-2.2995,-0.5092,1.5069,-0.1374,3.8245
2.3027,-2.3057,-0.5427,1.4541,-0.1577,3.7794
2.4030,-2.3142,-0.6075,1.4003,-0.1960,3.7372
2.5047,-2.3283,-0.6396,1.3521,-0.2200,3.7043
2.6042,-2.3468,-0.7030,1.3022,-0.2643,3.6752
2.7043,-2.3727,-0.7327,1.2545,-0.2872,3.6544
2.8059,-2.3998,-0.7900,1.2036,-0.3335,3.6322
2.9053,-2.4345,-0.8151,1.1556,-0.3570,3.6192
3.0054,-2.4706,-0.8656,1.1051,-0.4059,3.6050
3.1071,-2.5117,-0.8857,1.0667,-0.4497,3.6049
3.2108,-2.5528,-0.9236,1.0159,-0.4978,3.5941
3.3107,-2.6098,-0.9304,0.9662,-0.5217,3.5993
3.4074,-2.6584,-0.9568,0.9178,-0.5685,3.5972
3.5082,-2.7051,-0.9661,0.8677,-0.5906,3.5924
3.6073,-2.7556,-0.9814,0.8169,-0.6340,3.5894
3.7092,-2.8038,-0.9847,0.7679,-0.6550,3.5869
3.8079,-2.8524,-0.9859,0.7147,-0.6942,3.5790
3.9099,-2.9034,-0.9820,0.6617,-0.7132,3.5752
4.0085,-2.9501,-0.9772,0.6055,-0.7297,3.5643
4.1081,-2.9959,-0.9602,0.5528,-0.7622,3.5543
4.2096,-3.0443,-0.9484,0.4906,-0.7766,3.5391
4.3108,-3.0849,-0.9174,0.4332,-0.8032,3.5200
4.4111,-3.1228,-0.8993,0.3724,-0.8123,3.4963
4.5117,-3.1595,-0.8593,0.3067,-0.8282,3.4663
4.6114,-3.1930,-0.8343,0.2435,-0.8315,3.4365
