time_s,leader_x_m,leader_y_m,leader_vx_ms,leader_vy_ms,leader_v_ms,follower_x_m,follower_y_m,follower_vx_ms,follower_vy_ms,follower_v_ms,distance_m
0.0012,-1.8344,0.6551,0.3383,-0.0944,0.3512,2.3764,0.2097,-0.5622,0.1410,0.5796,4.2343
0.1012,-1.8012,0.6488,0.3309,-0.0729,0.3389,2.3171,0.2258,-0.5859,0.1349,0.6012,4.1399
0.2014,-1.7641,0.6406,0.3600,-0.0798,0.3687,2.2590,0.2421,-0.5834,0.1564,0.6039,4.0429
0.3017,-1.7295,0.6326,0.3646,-0.0750,0.3723,2.1978,0.2561,-0.6038,0.1442,0.6207,3.9454
0.4013,-1.7003,0.6224,0.3003,-0.1277,0.3264,2.1380,0.2706,-0.5999,0.1454,0.6173,3.8543
0.5017,-1.6663,0.6085,0.3261,-0.1339,0.3525,2.0799,0.2873,-0.6058,0.1497,0.6240,3.7598
0.6021,-1.6360,0.5950,0.2945,-0.1376,0.3250,1.9984,0.3114,-0.6303,0.1547,0.6490,3.6455
0.7016,-1.6065,0.5812,0.2945,-0.1374,0.3250,1.9352,0.3264,-0.6340,0.1513,0.6518,3.5509
0.8016,-1.5733,0.5693,0.3104,-0.1318,0.3373,1.8789,0.3378,-0.5929,0.1325,0.6076,3.4599
0.9020,-1.5416,0.5528,0.3089,-0.1791,0.3571,1.8152,0.3490,-0.6197,0.1310,0.6334,3.3630
1.0018,-1.5127,0.5361,0.2941,-0.1697,0.3396,1.7540,0.3628,-0.6145,0.1390,0.6300,3.2712
1.1012,-1.4838,0.5144,0.3009,-0.1961,0.3591,1.6906,0.3706,-0.6252,0.1016,0.6334,3.1777
1.2025,-1.4562,0.4954,0.2903,-0.2021,0.3538,1.6250,0.3831,-0.6483,0.1216,0.6596,3.0832
1.3022,-1.4375,0.4654,0.2884,-0.2026,0.3524,1.5680,0.3938,-0.6020,0.1134,0.6126,3.0063
1.4019,-1.4120,0.4495,0.2406,-0.2123,0.3209,1.5032,0.4000,-0.6195,0.0976,0.6271,2.9156
1.5015,-1.3888,0.4219,0.2188,-0.2448,0.3284,1.4376,0.4057,-0.6398,0.0672,0.6433,2.8265
1.6015,-1.3657,0.3983,0.2278,-0.2378,0.3293,1.3808,0.4108,-0.5799,0.0560,0.5826,2.7466
1.7017,-1.3388,0.3755,0.2573,-0.2174,0.3368,1.3211,0.4145,-0.5806,0.0390,0.5819,2.6602
1.8023,-1.3175,0.3520,0.2233,-0.2309,0.3212,1.2666,0.4144,-0.5477,0.0081,0.5478,2.5849
1.9040,-1.2927,0.3246,0.2102,-0.2806,0.3506,1.2110,0.4185,-0.5404,0.0219,0.5409,2.5055
2.0079,-1.2770,0.2964,0.1755,-0.2841,0.3340,1.1604,0.4108,-0.5243,-0.0334,0.5253,2.4400
2.1080,-1.2587,0.2722,0.1799,-0.2583,0.3148,1.1161,0.4043,-0.4620,-0.0639,0.4664,2.3784
2.2095,-1.2391,0.2408,0.1922,-0.2838,0.3427,1.0662,0.3963,-0.4725,-0.0717,0.4780,2.3106
2.3086,-1.2194,0.2119,0.1953,-0.2877,0.3478,1.0273,0.3822,-0.4088,-0.1221,0.4267,2.2531
2.4086,-1.2024,0.1854,0.1600,-0.2943,0.3349,0.9882,0.3667,-0.3726,-0.1526,0.4026,2.1981
2.5092,-1.1907,0.1523,0.1349,-0.3160,0.3436,0.9505,0.3530,-0.3616,-0.1537,0.3929,2.1506
2.6086,-1.1771,0.1211,0.1356,-0.3129,0.3410,0.9161,0.3314,-0.3439,-0.1958,0.3957,2.1037
2.7095,-1.1617,0.0908,0.1473,-0.3063,0.3399,0.8902,0.3085,-0.2769,-0.2278,0.3585,2.0634
2.8094,-1.1520,0.0577,0.1179,-0.3201,0.3411,0.8618,0.2833,-0.2776,-0.2443,0.3698,2.0264
2.9093,-1.1370,0.0297,0.1131,-0.3056,0.3258,0.8413,0.2574,-0.2173,-0.2626,0.3409,1.9913
3.0100,-1.1298,-0.0053,0.1095,-0.3308,0.3485,0.8223,0.2259,-0.2033,-0.2880,0.3526,1.9658
3.1096,-1.1207,-0.0366,0.0976,-0.3198,0.3344,0.8062,0.1908,-0.1628,-0.3387,0.3758,1.9402
3.2111,-1.1117,-0.0689,0.1047,-0.3120,0.3291,0.7954,0.1548,-0.1376,-0.3617,0.3870,1.9201
3.3105,-1.1023,-0.1034,0.0977,-0.3329,0.3470,0.7845,0.1213,-0.1063,-0.3528,0.3685,1.9001
3.4100,-1.0971,-0.1363,0.0340,-0.3345,0.3363,0.7798,0.0804,-0.0966,-0.3785,0.3906,1.8894
3.5108,-1.0940,-0.1686,0.0333,-0.3261,0.3278,0.7820,0.0403,-0.0063,-0.4015,0.4016,1.8876
3.6107,-1.0908,-0.2027,0.0288,-0.3271,0.3284,0.7753,0.0086,0.0182,-0.4140,0.4144,1.8780
3.7104,-1.0854,-0.2391,0.0452,-0.3510,0.3539,0.7812,-0.0323,0.0552,-0.4176,0.4212,1.8780
3.8111,-1.0823,-0.2699,0.0395,-0.3235,0.3259,0.7893,-0.0789,0.0710,-0.4529,0.4585,1.8814
3.9104,-1.0827,-0.3052,-0.0203,-0.3427,0.3433,0.7999,-0.1254,0.1006,-0.4679,0.4786,1.8912
4.0104,-1.0855,-0.3382,-0.0233,-0.3348,0.3356,0.8139,-0.1735,0.1206,-0.4856,0.5003,1.9066
4.1111,-1.0901,-0.3710,-0.0381,-0.3298,0.3320,0.8260,-0.2253,0.1220,-0.5137,0.5280,1.9217
