time_s,leader_x_m,leader_y_m,follower_x_m,follower_y_m,distance_m
0.6002,-2.7950,-0.4116,2.8949,-0.0253,5.7031
0.6006,-2.7950,-0.4116,2.8486,-0.0788,5.6535
0.6010,-2.7950,-0.4116,2.8006,-0.1303,5.6027
0.6014,-2.7950,-0.4116,2.7544,-0.1548,5.5553
0.6017,-2.7950,-0.4116,2.7014,-0.1986,5.5006
0.6023,-2.7950,-0.4116,2.6501,-0.2173,5.4486
0.6033,-2.7950,-0.4116,2.5955,-0.2374,5.3933
0.6053,-2.7950,-0.4116,2.5372,-0.2691,5.3341
0.7014,-2.8299,-0.3908,2.4813,-0.2802,5.3124
0.7999,-2.8622,-0.3448,2.4188,-0.3029,5.2811
0.9019,-2.8981,-0.3190,2.3540,-0.3094,5.2521
1.0006,-2.9262,-0.2654,2.2854,-0.3187,5.2119
1.1003,-2.9501,-0.2381,2.2134,-0.3184,5.1641
1.2015,-2.9694,-0.1790,2.1514,-0.3158,5.1226
1.3042,-2.9814,-0.1466,2.0879,-0.3095,5.0719
1.4053,-2.9866,-0.0812,2.0283,-0.2946,5.0194
1.5039,-2.9885,-0.0484,1.9685,-0.2810,4.9625
1.6041,-2.9886,0.0150,1.9117,-0.2554,4.9078
1.7061,-2.9796,0.0796,1.8538,-0.2393,4.8439
1.8036,-2.9648,0.1133,1.8010,-0.2081,4.7766
1.9038,-2.9466,0.1454,1.7517,-0.1915,4.7104
2.0054,-2.9265,0.2064,1.6926,-0.1521,4.6331
2.1042,-2.8990,0.2360,1.6464,-0.1329,4.5603
2.2043,-2.8692,0.2931,1.5914,-0.0939,4.4774
2.3042,-2.8338,0.3193,1.5385,-0.0736,4.3900
2.4060,-2.7941,0.3673,1.4875,-0.0327,4.3003
2.5059,-2.7510,0.3886,1.4381,-0.0117,4.2082
2.6056,-2.7080,0.4371,1.3853,0.0311,4.1135
2.7057,-2.6635,0.4524,1.3313,0.0531,4.0147
2.8068,-2.6154,0.4790,1.2835,0.0964,3.9176
2.9060,-2.5663,0.4867,1.2289,0.1176,3.8131
3.0086,-2.5161,0.5007,1.1891,0.1796,3.7191
3.1074,-2.4664,0.5007,1.1337,0.1971,3.6128
3.2071,-2.4158,0.5011,1.0780,0.2342,3.5040
3.3064,-2.3658,0.4899,1.0248,0.2504,3.3991
3.4089,-2.3163,0.4805,0.9685,0.2810,3.2909
3.5087,-2.2732,0.4579,0.9096,0.2952,3.1869
3.6056,-2.2279,0.4424,0.8523,0.3221,3.0825
3.7074,-2.1882,0.4064,0.7917,0.3311,2.9809
3.8067,-2.1507,0.3867,0.7284,0.3489,2.8794
3.9083,-2.1146,0.3406,0.6575,0.3546,2.7722
4.0077,-2.0803,0.3383,0.5987,0.3602,2.6791
4.1082,-2.0563,0.2595,0.5231,0.3584,2.5813
4.2094,-2.0342,0.2295,0.4632,0.3524,2.5004
4.3105,-2.0147,0.1679,0.3966,0.3449,2.4178
4.4089,-2.0010,0.1360,0.3413,0.3293,2.3503
4.5128,-1.9943,0.0707,0.2838,0.3177,2.2915
4.6154,-1.9938,0.0086,0.2207,0.2726,2.2302
4.7127,-1.9918,-0.0579,0.1636,0.2577,2.1784
4.8107,-1.9979,-0.0905,0.1081,0.2270,2.1298
4.9104,-2.0073,-0.1565,0.0597,0.1907,2.0959
5.0107,-2.0251,-0.1872,0.0070,0.1722,2.0636
5.1102,-2.0461,-0.2497,-0.0419,0.1325,2.0403
5.2114,-2.0700,-0.2789,-0.0917,0.1125,2.0167
5.3107,-2.1000,-0.3351,-0.1388,0.0688,2.0024
5.4122,-2.1314,-0.3610,-0.1865,0.0467,1.9872
5.5114,-2.1707,-0.4081,-0.2332,0.0233,1.9849
5.6120,-2.2089,-0.4283,-0.2806,-0.0224,1.9705
5.7132,-2.2531,-0.4633,-0.3286,-0.0677,1.9648
5.8141,-2.2991,-0.4784,-0.3746,-0.0909,1.9630
5.9119,-2.3472,-0.5040,-0.4238,-0.1337,1.9587
6.0126,-2.3958,-0.5129,-0.4739,-0.1551,1.9549
6.1138,-2.4432,-0.5246,-0.5204,-0.1974,1.9505
6.2133,-2.4910,-0.5274,-0.6031,-0.2086,1.9147
6.3140,-2.5393,-0.5246,-0.6516,-0.2487,1.9078
6.4128,-2.5904,-0.5206,-0.7054,-0.2685,1.9018
6.5142,-2.6354,-0.5136,-0.7581,-0.3025,1.8892
6.6146,-2.6837,-0.4846,-0.8121,-0.3180,1.8791
6.7144,-2.7285,-0.4696,-0.8703,-0.3443,1.8624
6.8139,-2.7722,-0.4389,-0.9301,-0.3543,1.8441
6.9158,-2.8130,-0.4197,-0.9926,-0.3718,1.8210
7.0143,-2.8486,-0.3763,-1.0617,-0.3790,1.7869
7.1149,-2.8865,-0.3528,-1.1277,-0.3838,1.7591
7.2155,-2.9101,-0.3009,-1.1978,-0.3833,1.7142
7.3151,-2.9381,-0.2702,-1.2646,-0.3814,1.6772
7.4149,-2.9545,-0.2102,-1.3284,-0.3738,1.6342
7.5162,-2.9732,-0.1779,-1.3843,-0.3656,1.6000
7.6185,-2.9807,-0.1135,-1.4490,-0.3461,1.5492
7.7164,-2.9874,-0.0704,-1.5067,-0.3319,1.5036
7.8174,-2.9868,-0.0034,-1.5598,-0.2997,1.4574
7.9167,-2.9809,0.0284,-1.6197,-0.2496,1.3893
8.0176,-2.9715,0.0955,-1.6664,-0.2062,1.3395
8.1175,-2.9605,0.1258,-1.7107,-0.1782,1.2863
8.2172,-2.9402,0.1906,-1.7503,-0.1152,1.2286
8.3171,-2.9175,0.2205,-1.7810,-0.0763,1.1746
8.4179,-2.8895,0.2795,-1.8008,0.0033,1.1232
8.5180,-2.8602,0.3069,-1.8087,0.0437,1.0840
8.6171,-2.8230,0.3578,-1.8004,0.1222,1.0494
8.7177,-2.7857,0.3804,-1.7888,0.1623,1.0204
8.8190,-2.7416,0.4201,-1.7674,0.2441,0.9900
8.9196,-2.6957,0.4369,-1.7391,0.2834,0.9688
9.0188,-2.6521,0.4647,-1.6999,0.3601,0.9579
9.1204,-2.6037,0.4732,-1.6587,0.3938,0.9483
9.2206,-2.5545,0.4889,-1.6133,0.4511,0.9419
9.3199,-2.5018,0.4921,-1.5623,0.4707,0.9397
9.4199,-2.4547,0.4944,-1.5002,0.5003,0.9546
9.5213,-2.4044,0.4909,-1.4150,0.4967,0.9894
9.6217,-2.3563,0.4799,-1.3580,0.5060,0.9986
9.7225,-2.3159,0.4493,-1.3125,0.5006,1.0047
9.8222,-2.2673,0.4245,-1.2691,0.4784,0.9996
9.9220,-2.2260,0.4087,-1.2263,0.4545,1.0007
10.0213,-2.1852,0.3732,-1.1761,0.4081,1.0097
10.1212,-2.1453,0.3520,-1.1445,0.3870,1.0014
10.2219,-2.1128,0.3042,-1.1196,0.3516,0.9943
10.3230,-2.0820,0.2772,-1.0801,0.3318,1.0034
10.4242,-2.0563,0.2205,-1.0321,0.2910,1.0266
10.5263,-2.0333,0.1908,-1.0112,0.2631,1.0247
10.6240,-2.0152,0.1279,-1.0036,0.2035,1.0145
10.7251,-2.0045,0.0963,-0.9914,0.1717,1.0159
10.8244,-1.9954,0.0310,-0.9810,0.1054,1.0172
10.9250,-1.9913,-0.0012,-0.9786,0.0735,1.0155
11.0263,-1.9955,-0.0339,-0.9816,0.0084,1.0147
11.1261,-2.0047,-0.0998,-0.9867,-0.0200,1.0211
11.2271,-2.0121,-0.1307,-1.0032,-0.0683,1.0109
11.3271,-2.0296,-0.1956,-1.0251,-0.0959,1.0094
11.4298,-2.0552,-0.2269,-1.0380,-0.1526,1.0199
11.5276,-2.0806,-0.2864,-1.0546,-0.1875,1.0308
11.6283,-2.1129,-0.3145,-1.0796,-0.2489,1.0354
11.7287,-2.1345,-0.3939,-1.1305,-0.3150,1.0071
11.8290,-2.1740,-0.4172,-1.1682,-0.3488,1.0082
11.9281,-2.2133,-0.4590,-1.1992,-0.4138,1.0151
12.0295,-2.2594,-0.4774,-1.2403,-0.4418,1.0197
12.1291,-2.3029,-0.5077,-1.2953,-0.4886,1.0078
